seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13281,733209,0,-1,,Lineups are announced and players are warming up.,2025-04-05 08:47:55
13281,733209,1,-1,,First Half begins.,2025-04-05 08:47:55
13281,733209,2,44989249,2',Foul by Felipinho (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,3,44989249,2',Matheus Vargas (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,4,44989387,3',Felipinho (Athletico Paranaense) wins a free kick in the attacking half.,2025-04-05 08:47:55
13281,733209,5,44989387,3',Foul by Matheus Vargas (Paysandu).,2025-04-05 08:47:55
13281,733209,6,44989255,5',"Offside, Athletico Paranaense. Luiz Fernando is caught offside.",2025-04-11 05:15:19
13281,733209,7,44989259,5',Fernando (Athletico Paranaense) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,8,44989259,5',Foul by Rossi (Paysandu).,2025-04-05 08:47:55
13281,733209,9,44989281,8',Foul by Raul (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,10,44989281,8',Leandro Vilela (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,11,44989299,10',Foul by Nicolas (Paysandu).,2025-04-05 08:47:55
13281,733209,12,44989299,10',Raul (Athletico Paranaense) wins a free kick in the attacking half.,2025-04-05 08:47:55
13281,733209,13,44989318,13',Foul by Léo (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,14,44989318,13',Nicolas (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,15,44989335,15',Foul by Bryan (Paysandu).,2025-04-05 08:47:55
13281,733209,16,44989335,15',Luiz Fernando (Athletico Paranaense) wins a free kick on the left wing.,2025-04-05 08:47:55
13281,733209,17,44989348,17',Foul by Hayen Palacios (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,18,44989348,17',Pedro Delvalle (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,19,44989350,18',Foul by Fernando (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,20,44989350,18',Rossi (Paysandu) wins a free kick on the right wing.,2025-04-05 08:47:55
13281,733209,21,44989351,18',Fernando (Athletico Paranaense) is shown the yellow card for a bad foul.,2025-04-05 08:47:55
13281,733209,22,44989372,21',Foul by Pedro Delvalle (Paysandu).,2025-04-05 08:47:55
13281,733209,23,44989372,21',Hayen Palacios (Athletico Paranaense) wins a free kick on the right wing.,2025-04-05 08:47:55
13281,733209,24,44989389,22',Attempt blocked. Kevin Velasco (Athletico Paranaense) left footed shot from the right side of the box is blocked. Assisted by Bruno Zapelli.,2025-04-05 08:47:55
13281,733209,25,44989380,22',"Attempt missed. Luiz Fernando (Athletico Paranaense) right footed shot from outside the box is close, but misses to the left. Assisted by Raul.",2025-04-05 08:47:55
13281,733209,26,44989395,25',Foul by Habraão (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,27,44989395,25',Marlon (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,28,44989405,26',Foul by Fernando (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,29,44989405,26',Rossi (Paysandu) wins a free kick on the right wing.,2025-04-05 08:47:55
13281,733209,30,44989415,27',Foul by Yeferson Quintana (Paysandu).,2025-04-05 08:47:55
13281,733209,31,44989415,27',Hayen Palacios (Athletico Paranaense) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,32,44989443,29',Attempt blocked. Felipinho (Athletico Paranaense) left footed shot from outside the box is blocked. Assisted by Bruno Zapelli.,2025-04-05 08:47:55
13281,733209,33,44989436,33',"Goal! Paysandu 0, Athletico Paranaense 1. Bruno Zapelli (Athletico Paranaense) right footed shot from the centre of the box to the top right corner. Assisted by Luiz Fernando.",2025-04-05 08:47:55
13281,733209,34,44989457,37',"Corner, Paysandu. Conceded by Hayen Palacios.",2025-04-05 08:47:55
13281,733209,35,44989458,37',Attempt missed. Bryan (Paysandu) right footed shot from outside the box is too high following a corner.,2025-04-11 05:15:19
13281,733209,36,44989464,38',Hand ball by Alan Kardec (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,37,44989469,40',Foul by Raul (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,38,44989469,40',Leandro Vilela (Paysandu) wins a free kick on the right wing.,2025-04-05 08:47:55
13281,733209,39,44989470,40',Leandro Vilela (Paysandu) is shown the yellow card.,2025-04-05 08:47:55
13281,733209,40,44989476,41',Attempt missed. Leandro Vilela (Paysandu) header from the centre of the box is high and wide to the right. Assisted by Rossi with a cross following a set piece situation.,2025-04-05 08:47:55
13281,733209,41,44989491,42',"Goal! Paysandu 1, Athletico Paranaense 1. Leandro Vilela (Paysandu) right footed shot from the centre of the box to the top left corner. Assisted by Rossi.",2025-04-05 08:47:55
13281,733209,42,44989510,45',Attempt missed. Matheus Vargas (Paysandu) right footed shot from outside the box is high and wide to the right. Assisted by Pedro Delvalle.,2025-04-05 08:47:55
13281,733209,43,-1,45',Fourth official has announced 2 minutes of added time.,2025-04-11 05:15:19
13281,733209,44,44989519,45'+1',Foul by Bruno Zapelli (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,45,44989519,45'+1',Rossi (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,46,44989521,45'+2',"Corner, Paysandu. Conceded by Raul.",2025-04-05 08:47:55
13281,733209,47,44989537,45'+3',Attempt missed. Matheus Vargas (Paysandu) header from the centre of the box misses to the left. Assisted by Bryan with a cross following a corner.,2025-04-05 08:47:55
13281,733209,48,44989530,45'+3',"First Half ends, Paysandu 1, Athletico Paranaense 1.",2025-04-05 08:47:55
13281,733209,49,-1,45',"Second Half begins Paysandu 1, Athletico Paranaense 1.",2025-04-05 08:47:55
13281,733209,50,44989587,45',"Substitution, Paysandu. André Lima replaces Matheus Vargas.",2025-04-05 08:47:55
13281,733209,51,44989591,47',Foul by Pedro Delvalle (Paysandu).,2025-04-05 08:47:55
13281,733209,52,44989591,47',Kevin Velasco (Athletico Paranaense) wins a free kick on the right wing.,2025-04-05 08:47:55
13281,733209,53,44989604,48',Attempt missed. Alan Kardec (Athletico Paranaense) header from the centre of the box is too high. Assisted by Bruno Zapelli with a cross following a set piece situation.,2025-04-05 08:47:55
13281,733209,54,44989605,49',Bryan (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,55,44989605,49',Foul by Luiz Fernando (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,56,44990114,52',André Lima (Paysandu) wins a free kick in the attacking half.,2025-04-05 08:47:55
13281,733209,57,44990114,52',Foul by Raul (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,58,44989659,53',Attempt saved. Rossi (Paysandu) right footed shot from outside the box is saved in the top right corner.,2025-04-05 08:47:55
13281,733209,59,44989660,54',"Corner, Paysandu. Conceded by Mycael.",2025-04-05 08:47:55
13281,733209,60,44989662,54',"Offside, Paysandu. Nicolas is caught offside.",2025-04-05 08:47:55
13281,733209,61,44989680,55',Foul by Habraão (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,62,44989680,55',Marlon (Paysandu) wins a free kick on the left wing.,2025-04-05 08:47:55
13281,733209,63,44989681,55',Habraão (Athletico Paranaense) is shown the yellow card for a bad foul.,2025-04-05 08:47:55
13281,733209,64,44989684,57',Attempt blocked. Bryan (Paysandu) left footed shot from outside the box is blocked.,2025-04-05 08:47:55
13281,733209,65,44989702,57',"Offside, Paysandu. Nicolas is caught offside.",2025-04-05 08:47:55
13281,733209,66,44989704,58',Foul by Patric Calmon (Paysandu).,2025-04-05 08:47:55
13281,733209,67,44989704,58',Kevin Velasco (Athletico Paranaense) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,68,44989735,61',Attempt blocked. Leandro Vilela (Paysandu) right footed shot from outside the box is blocked. Assisted by André Lima.,2025-04-05 08:47:55
13281,733209,69,44989736,61',Attempt missed. André Lima (Paysandu) right footed shot from outside the box misses to the left.,2025-04-05 08:47:55
13281,733209,70,44989737,62',Foul by Felipinho (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,71,44989737,62',Marlon (Paysandu) wins a free kick in the attacking half.,2025-04-05 08:47:55
13281,733209,72,44989738,62',"Substitution, Paysandu. Jorge Benítez replaces Nicolas.",2025-04-05 08:47:55
13281,733209,73,44989739,62',"Substitution, Paysandu. Benjamín Borasi replaces Pedro Delvalle.",2025-04-05 08:47:55
13281,733209,74,44989745,63',Foul by Felipinho (Athletico Paranaense).,2025-04-05 08:47:55
13281,733209,75,44989745,63',Jorge Benítez (Paysandu) wins a free kick in the defensive half.,2025-04-05 08:47:55
13281,733209,76,44989760,64',"Substitution, Athletico Paranaense. Renan Peixoto replaces Alan Kardec.",2025-04-05 08:47:55
13281,733209,77,44989761,64',"Substitution, Athletico Paranaense. Isaac replaces Kevin Velasco.",2025-04-05 08:47:55
13281,733209,78,44989762,65',"Substitution, Paysandu. Reverson replaces Patric Calmon.",2025-04-11 05:15:19
13281,733209,79,44989790,66',Foul by Marlon (Paysandu).,2025-04-05 08:47:55
13281,733209,80,44989790,66',Habraão (Athletico Paranaense) wins a free kick in the defensive half.,2025-04-05 08:47:55
