seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13203,730311,0,-1,,Lineups are announced and players are warming up.,2025-01-25 05:34:02
13203,730311,1,-1,,First Half begins.,2025-01-25 05:34:02
13203,730311,2,44562333,2',Foul by Kevin Londoño (Boyacá Chicó).,2025-01-25 05:34:02
13203,730311,3,44562333,2',Leonardo Flores (Atlético Bucaramanga) wins a free kick in the defensive half.,2025-01-25 05:34:02
13203,730311,4,44562330,3',Attempt blocked. Aldair Zárate (Atlético Bucaramanga) right footed shot from more than 35 yards is blocked. Assisted by Adalberto Peñaranda.,2025-01-25 05:34:02
13203,730311,5,44562318,3',"Attempt missed. Jean Blanco (Atlético Bucaramanga) right footed shot from the right side of the box is close, but misses the top right corner.",2025-01-25 05:34:02
13203,730311,6,44562322,4',Attempt saved. Jacobo Pimentel (Boyacá Chicó) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Ronald Valencia with a cross.,2025-01-25 05:34:02
13203,730311,7,44562334,5',Adalberto Peñaranda (Atlético Bucaramanga) wins a free kick in the defensive half.,2025-01-25 05:34:02
13203,730311,8,44562334,5',Foul by Kevin Londoño (Boyacá Chicó).,2025-01-25 05:34:02
13203,730311,9,44562341,8',Attempt saved. Jairo Molina (Boyacá Chicó) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Jacobo Pimentel.,2025-01-25 05:34:02
13203,730311,10,44562342,10',Foul by Aldair Zárate (Atlético Bucaramanga).,2025-01-25 05:34:02
13203,730311,11,44562342,10',Sebastián Salazar (Boyacá Chicó) wins a free kick in the defensive half.,2025-01-25 05:34:02
13203,730311,12,44562347,11',Foul by Jefferson Mena (Atlético Bucaramanga).,2025-01-25 05:34:02
13203,730311,13,44562347,11',Jairo Molina (Boyacá Chicó) wins a free kick in the attacking half.,2025-01-25 05:34:02
13203,730311,14,44562353,12',"Attempt missed. Kevin Londoño (Boyacá Chicó) right footed shot from the centre of the box is close, but misses to the left following a set piece situation.",2025-01-25 05:34:02
13203,730311,15,-1,13',Delay in match (Boyacá Chicó).,2025-01-25 05:34:02
13203,730311,16,-1,18',Delay over. They are ready to continue.,2025-01-25 05:34:02
13203,730311,17,44562380,20',"Corner, Boyacá Chicó. Conceded by Aldair Gutiérrez.",2025-01-25 05:34:02
13203,730311,18,44562387,21',Foul by Adalberto Peñaranda (Atlético Bucaramanga).,2025-01-25 05:34:02
13203,730311,19,44562387,21',Sebastián Salazar (Boyacá Chicó) wins a free kick in the defensive half.,2025-01-25 05:34:02
13203,730311,20,44562397,23',Foul by Kevin Londoño (Atlético Bucaramanga).,2025-01-25 05:34:02
13203,730311,21,44562397,23',Jonathan Herrera (Boyacá Chicó) wins a free kick in the attacking half.,2025-01-25 05:34:02
13203,730311,22,44562406,24',Attempt saved. Yael López (Boyacá Chicó) right footed shot from very close range is saved in the bottom left corner. Assisted by Kevin Riascos with a headed pass.,2025-01-25 05:34:02
13203,730311,23,44562408,24',"Goal! Boyacá Chicó 1, Atlético Bucaramanga 0. Jairo Molina (Boyacá Chicó) right footed shot from very close range to the bottom left corner following a set piece situation.",2025-01-25 05:34:02
13203,730311,24,44562424,30',"Corner, Atlético Bucaramanga. Conceded by Kevin Riascos.",2025-01-25 05:34:02
13203,730311,25,44562432,31',Attempt blocked. Fabry Castro (Atlético Bucaramanga) right footed shot from the left side of the box is blocked. Assisted by Kevin Londoño.,2025-01-25 05:34:02
