seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13079,724923,0,-1,,Lineups are announced and players are warming up.,2025-03-22 04:57:33
13079,724923,1,-1,,First Half begins.,2025-03-22 04:57:33
13079,724923,2,44911031,2',Attempt saved. Samuele Zannoni (San Marino) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Nicola Nanni with a through ball.,2025-03-22 04:57:33
13079,724923,3,44911035,4',Attempt saved. Marinos Tzionis (Cyprus) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Ioannis Pittas.,2025-03-24 04:58:04
13079,724923,4,44911053,8',Andrea Contadini (San Marino) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,5,44911053,8',Foul by Grigoris Kastanos (Cyprus).,2025-03-22 04:57:33
13079,724923,6,44911057,8',Foul by Lorenzo Capicchioni (San Marino).,2025-03-22 04:57:33
13079,724923,7,44911057,8',Pieros Sotiriou (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,8,44911067,10',Foul by Pieros Sotiriou (Cyprus).,2025-03-22 04:57:33
13079,724923,9,44911067,10',Lorenzo Capicchioni (San Marino) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,10,-1,11',"Corner, San Marino. Conceded by Giannis Satsias.",2025-03-22 04:57:33
13079,724923,11,44911070,12',"Attempt missed. Filippo Berardi (San Marino) header from a difficult angle on the right is close, but misses the top right corner. Assisted by Lorenzo Capicchioni with a cross following a corner.",2025-03-24 04:58:04
13079,724923,12,44911078,14',Foul by Samuele Zannoni (San Marino).,2025-03-22 04:57:33
13079,724923,13,44911078,14',Grigoris Kastanos (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,14,-1,15',Delay in match because of an injury Edoardo Colombo (San Marino).,2025-03-22 04:57:33
13079,724923,15,-1,16',Delay over. They are ready to continue.,2025-03-22 04:57:33
13079,724923,16,44911102,19',Attempt blocked. Alessandro Golinucci (San Marino) right footed shot from outside the box is blocked. Assisted by Nicola Nanni.,2025-03-22 04:57:33
13079,724923,17,44911104,20',Foul by Filippo Fabbri (San Marino).,2025-03-22 04:57:33
13079,724923,18,44911104,20',Marinos Tzionis (Cyprus) wins a free kick on the left wing.,2025-03-22 04:57:33
13079,724923,19,44911106,21',Foul by Lorenzo Capicchioni (San Marino).,2025-03-22 04:57:33
13079,724923,20,44911106,21',Pieros Sotiriou (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,21,44911157,22',Attempt missed. Ioannis Kousoulos (Cyprus) header from the centre of the box misses to the right. Assisted by Pieros Sotiriou following a set piece situation.,2025-03-22 04:57:33
13079,724923,22,44911125,22',Attempt missed. Pieros Sotiriou (Cyprus) header from the centre of the box misses to the right. Assisted by Grigoris Kastanos following a set piece situation.,2025-03-22 04:57:33
13079,724923,23,44911114,22',Foul by Lorenzo Capicchioni (San Marino).,2025-03-22 04:57:33
13079,724923,24,44911114,22',Pieros Sotiriou (Cyprus) wins a free kick on the left wing.,2025-03-22 04:57:33
13079,724923,25,44911128,24',Attempt saved. Ioannis Pittas (Cyprus) right footed shot from the left side of the box is saved in the top right corner. Assisted by Marinos Tzionis.,2025-03-24 04:58:04
13079,724923,26,44911129,24',"Corner, Cyprus. Conceded by Edoardo Colombo.",2025-03-22 04:57:33
13079,724923,27,44911132,25',Attempt saved. Pieros Sotiriou (Cyprus) header from the centre of the box is saved in the top right corner. Assisted by Giannis Satsias with a cross.,2025-03-22 04:57:33
13079,724923,28,44911133,25',Foul by Lorenzo Capicchioni (San Marino).,2025-03-22 04:57:33
13079,724923,29,44911133,25',Grigoris Kastanos (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,30,44911150,26',"Offside, Cyprus. Pieros Sotiriou is caught offside.",2025-03-22 04:57:33
13079,724923,31,44911139,26',GOAL OVERTURNED BY VAR: Pieros Sotiriou (Cyprus) scores but the goal is ruled out after a VAR review.,2025-03-22 04:57:33
13079,724923,32,44911142,27',VAR Decision: No Goal Cyprus 0-0 San Marino.,2025-03-22 04:57:33
13079,724923,33,44911151,28',Andrea Contadini (San Marino) wins a free kick on the right wing.,2025-03-22 04:57:33
13079,724923,34,44911151,28',Foul by Anderson Correia de Barros (Cyprus).,2025-03-22 04:57:33
13079,724923,35,44911153,29',"Offside, San Marino. Filippo Fabbri is caught offside.",2025-03-22 04:57:33
13079,724923,36,44911159,31',Alessandro Golinucci (San Marino) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,37,44911159,31',Foul by Loizos Loizou (Cyprus).,2025-03-22 04:57:33
13079,724923,38,44911161,32',Foul by Samuele Zannoni (San Marino).,2025-03-22 04:57:33
13079,724923,39,44911161,32',Ioannis Kousoulos (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,40,44911164,32',Foul by Christos Shielis (Cyprus).,2025-03-22 04:57:33
13079,724923,41,44911164,32',Nicola Nanni (San Marino) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,42,44911174,34',Attempt saved. Pieros Sotiriou (Cyprus) header from the centre of the box is saved in the centre of the goal. Assisted by Giannis Satsias with a cross.,2025-03-24 04:58:04
13079,724923,43,44911179,36',Attempt saved. Andrea Contadini (San Marino) left footed shot from the centre of the box is saved in the centre of the goal.,2025-03-22 04:57:33
13079,724923,44,-1,37',Delay in match because of an injury Michele Cevoli (San Marino).,2025-03-22 04:57:33
13079,724923,45,-1,37',Delay over. They are ready to continue.,2025-03-22 04:57:33
13079,724923,46,44911190,38',"Corner, Cyprus. Conceded by Tommaso Benvenuti.",2025-03-22 04:57:33
13079,724923,47,44911191,39',Foul by Alessandro Golinucci (San Marino).,2025-03-22 04:57:33
13079,724923,48,44911191,39',Giannis Satsias (Cyprus) wins a free kick on the right wing.,2025-03-22 04:57:33
13079,724923,49,44911195,41',Attempt missed. Loizos Loizou (Cyprus) left footed shot from outside the box is just a bit too high. Assisted by Anderson Correia de Barros.,2025-03-24 04:58:04
13079,724923,50,-1,41',"Corner, Cyprus. Conceded by Lorenzo Capicchioni.",2025-03-22 04:57:33
13079,724923,51,44911220,43',Anderson Correia de Barros (Cyprus) wins a free kick in the attacking half.,2025-03-22 04:57:33
13079,724923,52,44911220,43',Foul by Andrea Contadini (San Marino).,2025-03-22 04:57:33
13079,724923,53,-1,43',Delay in match because of an injury Anderson Correia de Barros (Cyprus).,2025-03-22 04:57:33
13079,724923,54,-1,45',Delay over. They are ready to continue.,2025-03-22 04:57:33
13079,724923,55,-1,45',Attempt blocked. Pieros Sotiriou (Cyprus) left footed shot from the centre of the box is blocked. Assisted by Loizos Loizou with a cross.,2025-03-22 04:57:33
13079,724923,56,-1,45',Fourth official has announced 4 minutes of added time.,2025-03-22 04:57:33
13079,724923,57,44911231,45'+1',Foul by Filippo Berardi (San Marino).,2025-03-22 04:57:33
13079,724923,58,44911231,45'+1',Grigoris Kastanos (Cyprus) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,59,44911247,45'+4',Filippo Fabbri (San Marino) wins a free kick in the defensive half.,2025-03-22 04:57:33
13079,724923,60,44911247,45'+4',Foul by Marinos Tzionis (Cyprus).,2025-03-22 04:57:33
13079,724923,61,-1,45'+5',"First Half ends, Cyprus 0, San Marino 0.",2025-03-22 04:57:33
13079,724923,62,44911266,45',"Second Half begins Cyprus 0, San Marino 0.",2025-03-22 04:57:33
13079,724923,63,44911272,47',Attempt blocked. Ioannis Kousoulos (Cyprus) right footed shot from outside the box is blocked. Assisted by Grigoris Kastanos.,2025-03-22 04:57:33
13079,724923,64,44911269,47',"Corner, Cyprus. Conceded by Filippo Berardi.",2025-03-22 04:57:33
13079,724923,65,44911274,48',Attempt missed. Ioannis Kousoulos (Cyprus) header from the centre of the box misses to the left. Assisted by Grigoris Kastanos with a cross following a corner.,2025-03-22 04:57:33
13079,724923,66,44911275,48',"Offside, Cyprus. Ioannis Pittas is caught offside.",2025-03-22 04:57:33
13079,724923,67,44911279,49',Andrea Contadini (San Marino) wins a free kick on the right wing.,2025-03-22 04:57:33
13079,724923,68,44911279,49',Foul by Grigoris Kastanos (Cyprus).,2025-03-22 04:57:33
13079,724923,69,44911281,50',Foul by Michele Cevoli (San Marino).,2025-03-22 04:57:33
13079,724923,70,44911281,50',Joël Mall (Cyprus) wins a free kick in the defensive half.,2025-03-22 04:57:33
