seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13041,724225,0,44737655,25',Julia Stierli (Switzerland) Yellow Card at 25',2025-02-22 05:52:36
13041,724225,1,44737790,61',Alayah Pilgrim (Switzerland) Substitution at 61',2025-02-22 05:52:36
13041,724225,2,44737811,71',Alexandra Jóhannsdóttir (Iceland) Yellow Card at 71',2025-02-22 05:52:36
13041,724225,3,44737823,73',Guony Arnadottir (Iceland) Substitution at 73',2025-02-22 05:52:36
13041,724225,4,44737824,73',Sandra Jessen (Iceland) Substitution at 73',2025-02-22 05:52:36
13041,724225,5,44737838,76',Dagný Brynjarsdóttir (Iceland) Yellow Card at 76',2025-02-22 05:52:36
13041,724225,6,44737872,82',Andrea Rán Hauksdóttir (Iceland) Substitution at 82',2025-02-22 05:52:36
13041,724225,7,44737881,84',Nadine Riesen (Switzerland) Substitution at 84',2025-02-22 05:52:36
13041,724225,8,44737882,84',Alena Bienz (Switzerland) Substitution at 84',2025-02-22 05:52:36
13041,724225,9,44737910,90'+1',Alayah Pilgrim (Switzerland) Yellow Card at 91',2025-02-22 05:52:36
13041,724225,10,44737916,90'+2',Berglind Ros Agustsdottir (Iceland) Substitution at 92',2025-02-22 05:52:36
13041,724225,11,44737917,90'+3',Hafrún Halldórsdóttir (Iceland) Substitution at 93',2025-02-22 05:52:36
13041,724231,0,44737646,6',Linda Sembrant (Sweden) Goal at 6',2025-02-22 05:52:36
13041,724231,1,44737675,17',Pernille Harder (Denmark) Penalty - Scored at 17',2025-02-22 05:52:36
13041,724231,2,44737710,31',Filippa Angeldal (Sweden) Yellow Card at 31',2025-02-22 05:52:36
13041,724231,3,44737801,54',Fridolina Rolfö (Sweden) Goal at 54',2025-02-22 05:52:36
13041,724231,4,44737869,65',Katherine Kühl (Denmark) Substitution at 65',2025-02-22 05:52:36
13041,724231,5,44737870,65',Amalie Vangsgaard (Denmark) Substitution at 65',2025-02-22 05:52:36
13041,724231,6,44737871,65',Sofie Svava (Denmark) Substitution at 65',2025-02-22 05:52:36
13041,724231,7,44737925,76',Sofia Jakobsson (Sweden) Substitution at 76',2025-02-22 05:52:36
13041,724231,8,44737926,77',Kosovare Asllani (Sweden) Substitution at 77',2025-02-22 05:52:36
13041,724231,9,44737997,85',Cornelia Kramer (Denmark) Substitution at 85',2025-02-22 05:52:36
13041,724231,10,44738018,87',Emma Kullberg (Sweden) Substitution at 87',2025-02-22 05:52:36
