seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13095,726116,0,44839564,24',Alex Dalou (FC Tulsa) Yellow Card at 24',2025-03-10 04:51:39
13095,726116,1,44839603,25',Alex Dalou (FC Tulsa) Goal at 25',2025-03-10 04:51:39
13095,726116,2,44839753,34',Dariusz Formella (Phoenix Rising FC) Yellow Card at 34',2025-03-10 04:51:39
13095,726116,3,44840445,61',Edwin Laszo (FC Tulsa) Substitution at 61',2025-03-10 04:51:39
13095,726116,4,44840484,66',Abdoulaye Cissoko (FC Tulsa) Yellow Card at 66',2025-03-10 04:51:39
13095,726116,5,44840522,68',Delentz Pierre (FC Tulsa) Substitution at 68',2025-03-10 04:51:39
13095,726116,6,44840545,68',Kalil ElMedkhar (FC Tulsa) Substitution at 68',2025-03-10 04:51:39
13095,726116,7,44840546,71',Ihsan Sacko (Phoenix Rising FC) Substitution at 71',2025-03-10 04:51:39
13095,726116,8,44840547,71',Darius Johnson (Phoenix Rising FC) Substitution at 71',2025-03-10 04:51:39
13095,726116,9,44840560,75',Braxton Montgomery (Phoenix Rising FC) Substitution at 75',2025-03-10 04:51:39
13095,726116,10,44840600,80',Charlie Dennis (Phoenix Rising FC) Substitution at 80',2025-03-10 04:51:39
13095,726116,11,44840672,89',Patrick Seagrist (FC Tulsa) Substitution at 89',2025-03-10 04:51:39
13095,726116,12,44840673,89',Faysal Bettache (FC Tulsa) Substitution at 89',2025-03-10 04:51:39
13095,726117,0,44840197,3',Tyler Gibson (Oakland Roots) Yellow Card at 3',2025-03-10 04:51:39
13095,726117,1,44840538,28',Ryan Doghman (Orange County SC) Goal at 28',2025-03-10 04:51:39
13095,726117,2,44840771,47',Ethan Zubak (Orange County SC) Goal at 47',2025-03-10 04:51:39
13095,726117,3,44840803,52',Nico Benalcazar (Orange County SC) Goal at 52',2025-03-10 04:51:39
13095,726117,4,44840834,57',Wolfgang Prentice (Oakland Roots) Substitution at 57',2025-03-10 04:51:39
13095,726117,5,44840835,57',Emmanuel Johnson (Oakland Roots) Substitution at 57',2025-03-10 04:51:39
13095,726117,6,44840858,59',Emmanuel Johnson (Oakland Roots) Yellow Card at 59',2025-03-10 04:51:39
13095,726117,7,44840870,60',Christopher Hegardt (Orange County SC) Yellow Card at 60',2025-03-10 04:51:39
13095,726117,8,44840886,62',Daniel Gomez (Oakland Roots) Yellow Card at 62',2025-03-10 04:51:39
13095,726117,9,44840926,67',Nico Benalcazar (Orange County SC) Yellow Card at 67',2025-03-10 04:51:39
13095,726117,10,44840944,69',Tristan Trager (Orange County SC) Substitution at 69',2025-03-10 04:51:39
13095,726117,11,44840945,69',Ousmane Sylla (Orange County SC) Substitution at 69',2025-03-10 04:51:39
13095,726117,12,44840958,71',Wolfgang Prentice (Oakland Roots) Goal at 71',2025-03-10 04:51:39
13095,726117,13,44840983,75',Ilya Alekseev (Oakland Roots) Substitution at 75',2025-03-10 04:51:39
13095,726117,14,44840990,78',Tom Brewitt (Orange County SC) Yellow Card at 78',2025-03-10 04:51:39
13095,726117,15,44841002,80',Kyle Scott (Orange County SC) Yellow Card at 80',2025-03-10 04:51:39
13095,726117,16,44841012,82',Roberto Molina (Orange County SC) Substitution at 82',2025-03-10 04:51:39
13095,726117,17,44841013,82',Ashton Miles (Orange County SC) Substitution at 82',2025-03-10 04:51:39
13095,726117,18,44841046,89',Gagi Margvelashvili (Oakland Roots) Substitution at 89',2025-03-10 04:51:39
13095,726117,19,44841047,89',Luis Saldana (Oakland Roots) Substitution at 89',2025-03-10 04:51:39
13095,726117,20,44841051,90'+1',Kyle Scott (Orange County SC) Goal at 91',2025-03-10 04:51:39
13095,726117,21,44841059,90'+2',Benjamin Barjolo (Orange County SC) Substitution at 92',2025-03-10 04:51:39
13095,726117,22,44841060,90'+4',Baboucarr Njie (Oakland Roots) Penalty - Scored at 94',2025-03-10 04:51:39
13095,726118,0,44837325,22',Evan Conway (North Carolina FC) Goal at 22',2025-03-10 04:51:39
13095,726118,1,44837489,38',Louis Pérez (North Carolina FC) Yellow Card at 38',2025-03-10 04:51:39
13095,726118,2,44838060,54',Charles Ahl (Pittsburgh Riverhounds) Substitution at 54',2025-03-10 04:51:39
13095,726118,3,44838124,57',Augustine Williams (Pittsburgh Riverhounds) Goal at 57',2025-03-10 04:51:39
13095,726118,4,44838277,69',Max Broughton (Pittsburgh Riverhounds) Substitution at 69',2025-03-10 04:51:39
13095,726118,5,44838278,69',Abdul Illal Osumanu (Pittsburgh Riverhounds) Substitution at 69',2025-03-10 04:51:39
13095,726118,6,44838296,71',Robbie Mertz (Pittsburgh Riverhounds) Yellow Card at 71',2025-03-10 04:51:39
13095,726118,7,44838363,77',Adam Luckhurst (North Carolina FC) Substitution at 77',2025-03-10 04:51:39
13095,726118,8,44838364,77',Raheem Somersall (North Carolina FC) Substitution at 77',2025-03-10 04:51:39
13095,726118,9,44838365,77',Ahmad Al-Qaq (North Carolina FC) Substitution at 77',2025-03-10 04:51:39
13095,726118,10,44838585,86',Luke Biasi (Pittsburgh Riverhounds) Yellow Card at 86',2025-03-10 04:51:39
13095,726118,11,44838624,87',Brigham Larsen (Pittsburgh Riverhounds) Substitution at 87',2025-03-10 04:51:39
13095,726118,12,44838625,87',Aidan O'Toole (Pittsburgh Riverhounds) Substitution at 87',2025-03-10 04:51:39
13095,726118,13,44838665,89',Rodrigo da Costa (North Carolina FC) Substitution at 89',2025-03-10 04:51:39
13095,726119,0,44837306,17',Sebastián Blanco (Miami FC) Yellow Card at 17',2025-03-10 04:51:39
13095,726119,1,44837330,24',Marcello Polisi (Detroit City FC) Yellow Card at 24',2025-03-10 04:51:39
13095,726119,2,44837371,30',Matías Romero (Miami FC) Yellow Card at 30',2025-03-10 04:51:39
13095,726119,3,44837403,31',Michael Bryant (Detroit City FC) Goal at 31',2025-03-10 04:51:39
13095,726119,4,44837513,39',Francisco Bonfiglio (Miami FC) Yellow Card at 39',2025-03-10 04:51:39
13095,726119,5,44837578,42',Francisco Bonfiglio (Miami FC) Red Card at 42',2025-03-10 04:51:39
13095,726119,6,44837892,45',Cristian Vázquez (Miami FC) Substitution at 45',2025-03-10 04:51:39
13095,726119,7,44838090,55',Brandon Bent (Miami FC) Substitution at 55',2025-03-10 04:51:39
13095,726119,8,44838211,61',Gerald Díaz (Miami FC) Substitution at 61',2025-03-10 04:51:39
13095,726119,9,44838244,65',Sebastián Guenzatti (Detroit City FC) Substitution at 65',2025-03-10 04:51:39
13095,726119,10,44838245,65',Morey Doner (Detroit City FC) Substitution at 65',2025-03-10 04:51:39
13095,726119,11,44838299,69',Gerald Díaz (Miami FC) Yellow Card at 69',2025-03-10 04:51:39
13095,726119,12,44838300,70',Deian Veron (Miami FC) Substitution at 70',2025-03-10 04:51:39
13095,726119,13,44838301,70',Ricardo Rivera (Miami FC) Substitution at 70',2025-03-10 04:51:39
13095,726119,14,44838341,76',Connor Rutz (Detroit City FC) Substitution at 76',2025-03-10 04:51:39
13095,726119,15,44838342,76',Alasanne Ates Diouf (Detroit City FC) Substitution at 76',2025-03-10 04:51:39
13095,726119,16,44838374,77',Jonathan Ricketts (Miami FC) Yellow Card at 77',2025-03-10 04:51:39
13095,726119,17,44838572,85',Deian Veron (Miami FC) Yellow Card at 85',2025-03-10 04:51:39
13095,726119,18,44838596,87',Connor Rutz (Detroit City FC) Goal at 87',2025-03-10 04:51:39
13095,726119,19,44838654,88',Matthew Sheldon (Detroit City FC) Substitution at 88',2025-03-10 04:51:39
13095,726120,0,44837264,9',Joe Hafferty (Lexington) Goal at 9',2025-03-10 04:51:39
13095,726120,1,44838104,56',Joseph Farrell (Hartford Athletic) Substitution at 56',2025-03-10 04:51:39
13095,726120,2,44838226,62',Samuel Careaga (Hartford Athletic) Substitution at 62',2025-03-10 04:51:39
13095,726120,3,44838227,62',Beverly Makangila (Hartford Athletic) Substitution at 62',2025-03-10 04:51:39
13095,726120,4,44838315,72',Eliot Goldthorp (Lexington) Substitution at 72',2025-03-10 04:51:39
13095,726120,5,44838316,72',Braudílio Rodrigues (Lexington) Substitution at 72',2025-03-10 04:51:39
13095,726120,6,44838326,73',Gerold Ngnepi (Hartford Athletic) Yellow Card at 73',2025-03-10 04:51:39
13095,726120,7,44838425,79',Eliot Goldthorp (Lexington) Goal at 79',2025-03-10 04:51:39
13095,726120,8,44838482,81',Jacob Greene (Lexington) Substitution at 81',2025-03-10 04:51:39
13095,726120,9,44838483,81',Marlon Hairston (Hartford Athletic) Yellow Card at 81',2025-03-10 04:51:39
13095,726120,10,44838602,85',Kyle Edwards (Hartford Athletic) Substitution at 85',2025-03-10 04:51:39
13095,726120,11,44838733,90',Gael Gibert (Lexington) Substitution at 90',2025-03-10 04:51:39
13095,726120,12,44838825,90'+2',Emmanuel Samadia (Hartford Athletic) Red Card at 92',2025-03-10 04:51:39
13095,726121,0,44840988,49',Cameron Macpherson (Tampa Bay Rowdies) Yellow Card at 49',2025-03-10 04:51:39
13095,726121,1,44841070,65',Shaft Brewer (Las Vegas Lights FC) Substitution at 65',2025-03-10 04:51:39
13095,726121,2,44841095,71',Lewis Hilton (Tampa Bay Rowdies) Substitution at 71',2025-03-10 04:51:39
13095,726121,3,44841103,73',Edison Azcona (Las Vegas Lights FC) Yellow Card at 73',2025-03-10 04:51:39
13095,726121,4,44841104,73',Christopher Pearson (Las Vegas Lights FC) Substitution at 73',2025-03-10 04:51:39
13095,726121,5,44841105,74',Christian Pinzon (Las Vegas Lights FC) Goal at 74',2025-03-10 04:51:39
13095,726121,6,44841126,78',Nick Moon (Tampa Bay Rowdies) Substitution at 78',2025-03-10 04:51:39
13095,726121,7,44841157,86',Shaft Brewer (Las Vegas Lights FC) Yellow Card at 86',2025-03-10 04:51:39
13095,726121,8,44841162,90',Johnny Rodriguez (Las Vegas Lights FC) Yellow Card at 90',2025-03-10 04:51:39
13095,726122,0,44839048,2',Marco Micaletto (Colorado Springs Switchbacks FC) Penalty - Scored at 2',2025-03-10 04:51:39
13095,726122,1,44839721,14',Álvaro Quezada (El Paso Locomotive FC) Yellow Card at 14',2025-03-10 04:51:39
13095,726122,2,44839642,29',Yosuke Hanya (Colorado Springs Switchbacks FC) Yellow Card at 29',2025-03-10 04:51:39
13095,726122,3,44839672,31',Akeem Ward (Colorado Springs Switchbacks FC) Yellow Card at 31',2025-03-10 04:51:39
13095,726122,4,44839754,36',Mathew Mahoney (Colorado Springs Switchbacks FC) Yellow Card at 36',2025-03-10 04:51:39
13095,726122,5,44839766,39',Matthew Real (Colorado Springs Switchbacks FC) Yellow Card at 39',2025-03-10 04:51:39
13095,726122,6,44839875,43',Amando Moreno (El Paso Locomotive FC) Goal at 43',2025-03-10 04:51:39
13095,726122,7,44840256,49',Ricky Ruiz (El Paso Locomotive FC) Yellow Card at 49',2025-03-10 04:51:39
13095,726122,8,44840510,66',Guillermo Diaz (El Paso Locomotive FC) Substitution at 66',2025-03-10 04:51:39
13095,726122,9,44840511,67',Gabriel Torres (El Paso Locomotive FC) Substitution at 67',2025-03-10 04:51:39
13095,726122,10,44840525,68',Quenzi Huerman (Colorado Springs Switchbacks FC) Substitution at 68',2025-03-10 04:51:39
13095,726122,11,44840526,68',Charlie Adams (Colorado Springs Switchbacks FC) Substitution at 68',2025-03-10 04:51:39
13095,726122,12,44840543,68',Jonas Fjellberg (Colorado Springs Switchbacks FC) Substitution at 68',2025-03-10 04:51:39
13095,726122,13,44840561,74',Jonas Fjellberg (Colorado Springs Switchbacks FC) Goal at 74',2025-03-10 04:51:39
13095,726122,14,44840594,75',Justin Dhillon (Colorado Springs Switchbacks FC) Substitution at 75',2025-03-10 04:51:39
13095,726122,15,44840574,76',Wilmer Cabrera (El Paso Locomotive FC) Substitution at 76',2025-03-10 04:51:39
13095,726122,16,44840575,76',Bryan Romero (El Paso Locomotive FC) Substitution at 76',2025-03-10 04:51:39
13095,726122,17,44840629,84',Amando Moreno (El Paso Locomotive FC) Yellow Card at 84',2025-03-10 04:51:39
13095,726122,18,44840640,85',Steven Echevarria (Colorado Springs Switchbacks FC) Substitution at 85',2025-03-10 04:51:39
13095,726122,19,44840669,85',Daniel Carter (El Paso Locomotive FC) Substitution at 85',2025-03-10 04:51:39
13095,726122,20,44840695,90'+2',Wilmer Cabrera (El Paso Locomotive FC) Goal at 92',2025-03-10 04:51:39
13095,726123,0,44837607,14',Zach Duncan (Louisville City FC) Yellow Card at 14',2025-03-10 04:51:39
13095,726123,1,44838170,45'+2',Emilio Ycaza (Charleston Battery) Yellow Card at 47',2025-03-10 04:51:39
13095,726123,2,44838210,45'+3',Taylor Davila (Louisville City FC) Yellow Card at 48',2025-03-12 04:52:31
13095,726123,3,44838386,45',Douglas Martínez (Charleston Battery) Substitution at 45',2025-03-12 04:52:31
13095,726123,4,44838504,45',Nathan Dossantos (Charleston Battery) Substitution at 45',2025-03-12 04:52:31
13095,726123,5,44838563,53',Ray Serrano Lopez (Louisville City FC) Goal at 53',2025-03-12 04:52:31
13095,726123,6,44838830,62',Kyle Adams (Louisville City FC) Yellow Card at 62',2025-03-12 04:52:31
13095,726123,7,44838851,63',Juan Torres (Charleston Battery) Goal at 63',2025-03-12 04:52:31
13095,726123,8,44838907,63',Arturo Rodriguez (Charleston Battery) Substitution at 63',2025-03-12 04:52:31
13095,726123,9,44838967,67',Kevon Lambert (Louisville City FC) Substitution at 67',2025-03-12 04:52:31
13095,726123,10,44838968,67',Aiden Mcfadden (Louisville City FC) Substitution at 67',2025-03-12 04:52:31
13095,726123,11,44838984,70',Arturo Rodriguez (Charleston Battery) Red Card at 70',2025-03-12 04:52:31
13095,726123,12,44839047,73',Kevon Lambert (Louisville City FC) Yellow Card at 73',2025-03-12 04:52:31
13095,726123,13,44839102,75',Adrien Perez (Louisville City FC) Substitution at 75',2025-03-12 04:52:31
13095,726123,14,44839130,76',Adrien Perez (Louisville City FC) Goal at 76',2025-03-12 04:52:31
13095,726123,15,44839292,82',Jackson Conway (Charleston Battery) Substitution at 82',2025-03-12 04:52:31
13095,726123,16,44839293,83',Juan Torres (Charleston Battery) Yellow Card at 83',2025-03-12 04:52:31
13095,726123,17,44839461,89',Joshua Drack (Charleston Battery) Substitution at 89',2025-03-12 04:52:31
13095,726123,18,44839462,89',Sam Gleadle (Louisville City FC) Substitution at 89',2025-03-12 04:52:31
13095,726123,19,44839530,90'+3',Nathan Dossantos (Charleston Battery) Yellow Card at 93',2025-03-12 04:52:31
13095,726123,20,44839595,90'+7',Aiden Mcfadden (Louisville City FC) Yellow Card at 97',2025-03-12 04:52:31
13095,726124,0,44837927,2',Jacob Rufe (Birmingham Legion FC) Goal at 2',2025-03-10 04:51:39
13095,726124,1,44837954,5',Jacob Erlandson (Loudoun United FC) Goal at 5',2025-03-10 04:51:39
13095,726124,2,44838314,31',Phanuel Kavita (Birmingham Legion FC) Yellow Card at 31',2025-03-10 04:51:39
13095,726124,3,44838340,33',Abdellatif Aboukoura (Loudoun United FC) Goal at 33',2025-03-10 04:51:39
13095,726124,4,44839243,50',Zachary Ryan (Loudoun United FC) Goal at 50',2025-03-10 04:51:39
13095,726124,5,44839432,50',Lucca Dourado (Birmingham Legion FC) Substitution at 50',2025-03-10 04:51:39
13095,726124,6,44850731,58',Ramiz Hamouda (Birmingham Legion FC) Yellow Card at 58',2025-03-12 04:52:31
13095,726124,7,44839524,61',Ereku Temitayo (Birmingham Legion FC) Substitution at 61',2025-03-12 04:52:31
13095,726124,8,44839587,64',Riley Bidois (Loudoun United FC) Substitution at 64',2025-03-12 04:52:31
13095,726124,9,44839588,64',Ben Mines (Loudoun United FC) Substitution at 64',2025-03-12 04:52:31
13095,726124,10,44839685,70',Moses Mensah (Birmingham Legion FC) Yellow Card at 70',2025-03-12 04:52:31
13095,726124,11,44839747,74',Moses Nyeman (Loudoun United FC) Substitution at 74',2025-03-12 04:52:31
13095,726124,12,44839760,75',Jacob Rufe (Birmingham Legion FC) Yellow Card at 75',2025-03-12 04:52:31
13095,726124,13,44839881,82',Riley Bidois (Loudoun United FC) Yellow Card at 82',2025-03-12 04:52:31
13095,726124,14,44840010,90'+1',Christian Sorto (Loudoun United FC) Substitution at 91',2025-03-12 04:52:31
13095,726124,15,44840031,90'+3',Ethan Pendleton (Loudoun United FC) Substitution at 93',2025-03-12 04:52:31
13095,726125,0,44840257,2',Blake Willey (Sacramento Republic FC) Yellow Card at 2',2025-03-10 04:51:39
13095,726125,1,44840517,21',Greg Hurst (New Mexico United) Goal at 21',2025-03-10 04:51:39
13095,726125,2,44840549,26',Tomas Pondeca (New Mexico United) Yellow Card at 26',2025-03-10 04:51:39
13095,726125,3,44840616,33',Dominik Wanner (Sacramento Republic FC) Substitution at 33',2025-03-10 04:51:39
13095,726125,4,44840674,43',Kalen Ryden (New Mexico United) Red Card at 43',2025-03-10 04:51:39
13095,726125,5,44840681,45',Marlon Vargas (New Mexico United) Yellow Card at 45',2025-03-10 04:51:39
13095,726125,6,44840684,45',Russell Cicerone (Sacramento Republic FC) Penalty - Scored at 45',2025-03-10 04:51:39
13095,726125,7,44840697,45'+2',Anthony Herbert (New Mexico United) Substitution at 47',2025-03-10 04:51:39
13095,726125,8,44840842,45',Sergio Rivas (New Mexico United) Substitution at 45',2025-03-10 04:51:39
13095,726125,9,44840843,47',Lewis Jamieson (Sacramento Republic FC) Goal at 47',2025-03-10 04:51:39
13095,726125,10,44840957,60',Nick Ross (Sacramento Republic FC) Yellow Card at 60',2025-03-10 04:51:39
13095,726125,11,44840971,63',McKinze Gaines (New Mexico United) Yellow Card at 63',2025-03-10 04:51:39
13095,726125,12,44840992,66',Lee Desmond (Sacramento Republic FC) Yellow Card at 66',2025-03-10 04:51:39
13095,726125,13,44840993,67',Luiz Fernando (New Mexico United) Substitution at 67',2025-03-10 04:51:39
13095,726125,14,44840994,68',Juan Sebastian Herrera (Sacramento Republic FC) Substitution at 68',2025-03-14 04:55:46
13095,726125,15,44840995,68',Cristian Parano (Sacramento Republic FC) Substitution at 68',2025-03-14 04:55:46
13095,726125,16,44841000,71',Chris Gloster (New Mexico United) Yellow Card at 71',2025-03-10 04:51:39
13095,726125,17,44841037,78',Sergio Rivas (New Mexico United) Yellow Card at 78',2025-03-10 04:51:39
13095,726125,18,44841038,79',Daniel Bruce (New Mexico United) Substitution at 79',2025-03-10 04:51:39
13095,726125,19,44841039,79',Jaylin Lindsey (New Mexico United) Substitution at 79',2025-03-10 04:51:39
13095,726125,20,44841058,82',Aaron Edwards (Sacramento Republic FC) Substitution at 82',2025-03-10 04:51:39
13095,726126,0,44838992,26',Xavi Gnaulati (Monterey Bay) Yellow Card at 26',2025-03-10 04:51:39
13095,726126,1,44839095,33',Jimmy Medranda (San Antonio FC) Yellow Card at 33',2025-03-10 04:51:39
13095,726126,2,44839239,40',Diogo Pacheco (San Antonio FC) Goal at 40',2025-03-10 04:51:39
