seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13145,727630,1,44943529,94,1,1680,28',0,0,Dino Islamovic (Rosenborg) Yellow Card at 28',Dino Islamovic Yellow Card,438,0.0,0.0,0.0,0.0,0.0,0.0,1,181637,2025-03-30 04:56:25
13145,727630,2,44943995,70,1,2340,39',1,0,Iver Fossum (Rosenborg) Goal at 39',Iver Fossum Goal,438,0.0,0.0,0.0,0.0,0.0,0.0,1,186078,2025-03-30 04:56:25
13145,727630,3,44944122,94,1,2520,42',0,0,Ulrik Jenssen (Rosenborg) Yellow Card at 42',Ulrik Jenssen Yellow Card,438,0.0,0.0,0.0,0.0,0.0,0.0,1,222439,2025-03-30 04:56:25
13145,727630,4,44944756,70,2,2940,49',1,0,Emil Konradsen Ceide (Rosenborg) Goal at 49',Emil Konradsen Ceide Goal,438,0.0,0.0,0.0,0.0,0.0,0.0,1,275113,2025-03-30 04:56:25
13145,727630,5,44944803,94,2,3060,51',0,0,Logi Tomasson (Stromsgodset) Yellow Card at 51',Logi Tomasson Yellow Card,9811,0.0,0.0,0.0,0.0,0.0,0.0,1,305194,2025-03-30 04:56:25
13145,727630,6,44945420,76,2,3660,61',0,0,Marko Lawk Farji (Stromsgodset) Substitution at 61',Marko Lawk Farji Substitution,9811,0.0,0.0,0.0,0.0,0.0,0.0,1,326032,2025-03-30 04:56:25
13145,727630,7,44945421,76,2,3660,61',0,0,Lars-Christopher Vilsvik (Stromsgodset) Substitution at 61',Lars-Christopher Vilsvik Substit,9811,0.0,0.0,0.0,0.0,0.0,0.0,1,168749,2025-03-30 04:56:25
13145,727630,6,44945420,76,2,3660,61',0,0,Marko Lawk Farji (Stromsgodset) Substitution at 61',Marko Lawk Farji Substitution,9811,0.0,0.0,0.0,0.0,0.0,0.0,2,359186,2025-03-30 04:56:25
13145,727630,7,44945421,76,2,3660,61',0,0,Lars-Christopher Vilsvik (Stromsgodset) Substitution at 61',Lars-Christopher Vilsvik Substit,9811,0.0,0.0,0.0,0.0,0.0,0.0,2,204768,2025-03-30 04:56:25
13145,727630,8,44945519,94,2,4080,68',0,0,Marius Sivertsen Broholm (Rosenborg) Yellow Card at 68',Marius Sivertsen Broholm Yellow ,438,0.0,0.0,0.0,0.0,0.0,0.0,1,323173,2025-03-30 04:56:25
