seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13102,726686,1,45138629,70,1,600,10',1,0,Christian Chaney (Charlotte Independence) Goal at 10',Christian Chaney Goal,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,254015,2025-04-26 04:57:01
13102,726686,2,45138670,98,1,1500,25',1,0,Luis Alvarez (Charlotte Independence) Penalty - Scored at 25',Luis Alvarez Penalty - Scored,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,360318,2025-04-26 04:57:01
13102,726686,3,45138678,70,1,1620,27',1,0,Oalex Anderson (North Carolina FC) Goal at 27',Oalex Anderson Goal,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,217997,2025-04-26 04:57:01
13102,726686,4,45138682,94,1,1680,28',0,0,Omar Ciss (Charlotte Independence) Yellow Card at 28',Omar Ciss Yellow Card,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,303617,2025-04-26 04:57:01
13102,726686,5,45138770,76,2,2700,45',0,0,Evan Conway (North Carolina FC) Substitution at 45',Evan Conway Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,302900,2025-04-26 04:57:01
13102,726686,5,45138770,76,2,2700,45',0,0,Evan Conway (North Carolina FC) Substitution at 45',Evan Conway Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,2,330015,2025-04-26 04:57:01
13102,726686,6,45138857,94,2,3900,65',0,0,Rafael Jauregui (Charlotte Independence) Yellow Card at 65',Rafael Jauregui Yellow Card,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,304323,2025-04-26 04:57:01
13102,726686,8,45138886,76,2,4140,69',0,0,Christopher Jaime (Charlotte Independence) Substitution at 69',Christopher Jaime Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,318882,2025-04-26 04:57:01
13102,726686,7,45138882,76,2,4140,69',0,0,Alfredo Midence (Charlotte Independence) Substitution at 69',Alfredo Midence Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,381420,2025-04-26 04:57:01
13102,726686,8,45138886,76,2,4140,69',0,0,Christopher Jaime (Charlotte Independence) Substitution at 69',Christopher Jaime Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,2,303617,2025-04-26 04:57:01
13102,726686,7,45138882,76,2,4140,69',0,0,Alfredo Midence (Charlotte Independence) Substitution at 69',Alfredo Midence Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,2,254294,2025-04-26 04:57:01
13102,726686,9,45138907,94,2,4320,72',0,0,Oalex Anderson (North Carolina FC) Yellow Card at 72',Oalex Anderson Yellow Card,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,217997,2025-04-26 04:57:01
13102,726686,10,45138908,76,2,4380,73',0,0,Rodrigo da Costa (North Carolina FC) Substitution at 73',Rodrigo da Costa Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,286805,2025-04-26 04:57:01
13102,726686,11,45138909,76,2,4380,73',0,0,Jaden Servania (North Carolina FC) Substitution at 73',Jaden Servania Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,288119,2025-04-26 04:57:01
13102,726686,10,45138908,76,2,4380,73',0,0,Rodrigo da Costa (North Carolina FC) Substitution at 73',Rodrigo da Costa Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,2,217997,2025-04-26 04:57:01
13102,726686,11,45138909,76,2,4380,73',0,0,Jaden Servania (North Carolina FC) Substitution at 73',Jaden Servania Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,2,241016,2025-04-26 04:57:01
13102,726686,12,45138974,76,2,4980,83',0,0,Triston Hodge (North Carolina FC) Substitution at 83',Triston Hodge Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,236428,2025-04-26 04:57:01
13102,726686,12,45138974,76,2,4980,83',0,0,Triston Hodge (North Carolina FC) Substitution at 83',Triston Hodge Substitution,9725,0.0,0.0,0.0,0.0,0.0,0.0,2,217000,2025-04-26 04:57:01
13102,726686,13,45138988,93,2,5160,86',0,0,Michael Maldonado (North Carolina FC) Red Card at 86',Michael Maldonado Red Card,9725,0.0,0.0,0.0,0.0,0.0,0.0,1,317488,2025-04-26 04:57:01
13102,726686,14,45139002,76,2,5340,89',0,0,Nathan Gray (Charlotte Independence) Substitution at 89',Nathan Gray Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,363004,2025-04-26 04:57:01
13102,726686,15,45139014,76,2,5340,89',0,0,Souaibou Marou (Charlotte Independence) Substitution at 89',Souaibou Marou Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,315640,2025-04-26 04:57:01
13102,726686,14,45139002,76,2,5340,89',0,0,Nathan Gray (Charlotte Independence) Substitution at 89',Nathan Gray Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,2,360318,2025-04-26 04:57:01
13102,726686,15,45139014,76,2,5340,89',0,0,Souaibou Marou (Charlotte Independence) Substitution at 89',Souaibou Marou Substitution,17826,0.0,0.0,0.0,0.0,0.0,0.0,2,304323,2025-04-26 04:57:01
13102,726686,16,45139030,94,2,5400,90'+4',0,0,Matt Levy (Charlotte Independence) Yellow Card at 94',Matt Levy Yellow Card,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,280287,2025-04-26 04:57:01
13102,726686,17,45139034,94,2,5400,90'+5',0,0,Christian Chaney (Charlotte Independence) Yellow Card at 95',Christian Chaney Yellow Card,17826,0.0,0.0,0.0,0.0,0.0,0.0,1,254015,2025-04-26 04:57:01
13102,726687,1,45151461,94,1,840,14',0,0,Bryan Romero (El Paso Locomotive FC) Yellow Card at 14',Bryan Romero Yellow Card,19407,0.0,0.0,0.0,0.0,0.0,0.0,1,325392,2025-04-27 04:58:48
13102,726687,2,45152526,76,2,2700,45',0,0,Wilmer Cabrera (El Paso Locomotive FC) Substitution at 45',Wilmer Cabrera Substitution,19407,0.0,0.0,0.0,0.0,0.0,0.0,1,82287,2025-04-27 04:58:48
13102,726687,3,45152844,76,2,2700,45',0,0,Álvaro Quezada (El Paso Locomotive FC) Substitution at 45',Álvaro Quezada Substitution,19407,0.0,0.0,0.0,0.0,0.0,0.0,1,318369,2025-04-27 04:58:48
13102,726687,3,45152844,76,2,2700,45',0,0,Álvaro Quezada (El Paso Locomotive FC) Substitution at 45',Álvaro Quezada Substitution,19407,0.0,0.0,0.0,0.0,0.0,0.0,2,325392,2025-04-27 04:58:48
13102,726687,2,45152526,76,2,2700,45',0,0,Wilmer Cabrera (El Paso Locomotive FC) Substitution at 45',Wilmer Cabrera Substitution,19407,0.0,0.0,0.0,0.0,0.0,0.0,2,112829,2025-04-27 04:58:48
13102,726687,4,45152639,76,2,3420,57',0,0,Roberto Avila (El Paso Locomotive FC) Substitution at 57',Roberto Avila Substitution,19407,0.0,0.0,0.0,0.0,0.0,0.0,1,287792,2025-04-27 04:58:48
13102,726687,5,45152675,76,2,3420,57',0,0,Brayan Padilla (Texoma FC) Substitution at 57',Brayan Padilla Substitution,22527,0.0,0.0,0.0,0.0,0.0,0.0,1,281405,2025-04-27 04:58:48
