seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13099,726529,1,44825493,94,1,960,16',0,0,Sebastián Vivas (South Georgia Tormenta FC) Yellow Card at 16',Sebastián Vivas Yellow Card,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,265386,2025-03-08 05:51:36
13099,726529,2,44825517,70,1,1140,19',1,0,Hayden Anderson (Richmond Kickers) Goal at 19',Hayden Anderson Goal,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,381429,2025-03-08 05:51:36
13099,726529,3,44825526,94,1,1380,23',0,0,Klaidi Cela (Richmond Kickers) Yellow Card at 23',Klaidi Cela Yellow Card,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,290946,2025-03-08 05:51:36
13099,726529,4,44825528,98,1,1440,24',1,0,Mason Tunbridge (South Georgia Tormenta FC) Penalty - Scored at 24',Mason Tunbridge Penalty - Scored,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,348717,2025-03-08 05:51:36
13099,726529,5,44825562,70,1,2040,34',1,0,Chandler O'Dwyer (Richmond Kickers) Goal at 34',Chandler O'Dwyer Goal,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,296425,2025-03-08 05:51:36
13099,726529,6,44825579,70,1,2460,41',1,0,Dakota Barnathan (Richmond Kickers) Goal at 41',Dakota Barnathan Goal,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,254073,2025-03-08 05:51:36
13099,726529,8,44825600,94,1,2700,45'+3',0,0,Dakota Barnathan (Richmond Kickers) Yellow Card at 48',Dakota Barnathan Yellow Card,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,254073,2025-03-08 05:51:36
13099,726529,7,44825595,70,1,2700,45'+1',1,0,Mason Tunbridge (South Georgia Tormenta FC) Goal at 46',Mason Tunbridge Goal,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,348717,2025-03-08 05:51:36
13099,726529,9,44825751,76,2,3300,55',0,0,Callum Stretch (South Georgia Tormenta FC) Substitution at 55',Callum Stretch Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,295349,2025-03-08 05:51:36
13099,726529,9,44825751,76,2,3300,55',0,0,Callum Stretch (South Georgia Tormenta FC) Substitution at 55',Callum Stretch Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,2,252982,2025-03-08 05:51:36
13099,726529,10,44825764,94,2,3420,57',0,0,Anatolie Prepelita (South Georgia Tormenta FC) Yellow Card at 57',Anatolie Prepelita Yellow Card,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,238246,2025-03-08 05:51:36
13099,726529,11,44825832,76,2,4080,68',0,0,Yaniv Bazini (South Georgia Tormenta FC) Substitution at 68',Yaniv Bazini Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,326111,2025-03-08 05:51:36
13099,726529,11,44825832,76,2,4080,68',0,0,Yaniv Bazini (South Georgia Tormenta FC) Substitution at 68',Yaniv Bazini Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,2,265386,2025-03-08 05:51:36
13099,726529,12,44825847,76,2,4260,71',0,0,Joshua Kirkland (Richmond Kickers) Substitution at 71',Joshua Kirkland Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,391738,2025-03-08 05:51:36
13099,726529,12,44825847,76,2,4260,71',0,0,Joshua Kirkland (Richmond Kickers) Substitution at 71',Joshua Kirkland Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,2,381429,2025-03-08 05:51:36
13099,726529,13,44825865,70,2,4440,74',1,0,Nils Seufert (Richmond Kickers) Goal at 74',Nils Seufert Goal,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,238514,2025-03-08 05:51:36
13099,726529,15,44825900,76,2,4560,76',0,0,Conor Doyle (South Georgia Tormenta FC) Substitution at 76',Conor Doyle Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,150495,2025-03-09 05:51:43
13099,726529,16,44825920,76,2,4560,76',0,0,Taylor Gray (South Georgia Tormenta FC) Substitution at 76',Taylor Gray Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,339151,2025-03-09 05:51:43
13099,726529,14,44825881,76,2,4560,76',0,0,Handwalla Bwana (South Georgia Tormenta FC) Substitution at 76',Handwalla Bwana Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,1,256518,2025-03-08 05:51:36
13099,726529,16,44825920,76,2,4560,76',0,0,Taylor Gray (South Georgia Tormenta FC) Substitution at 76',Taylor Gray Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,2,315564,2025-03-09 05:51:43
13099,726529,14,44825881,76,2,4560,76',0,0,Handwalla Bwana (South Georgia Tormenta FC) Substitution at 76',Handwalla Bwana Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,2,252979,2025-03-08 05:51:36
13099,726529,15,44825900,76,2,4560,76',0,0,Conor Doyle (South Georgia Tormenta FC) Substitution at 76',Conor Doyle Substitution,19181,0.0,0.0,0.0,0.0,0.0,0.0,2,348717,2025-03-09 05:51:43
13099,726529,17,44825964,76,2,5160,86',0,0,Beckett Howell (Richmond Kickers) Substitution at 86',Beckett Howell Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,360311,2025-03-08 05:51:36
13099,726529,17,44825964,76,2,5160,86',0,0,Beckett Howell (Richmond Kickers) Substitution at 86',Beckett Howell Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,2,235422,2025-03-08 05:51:36
13099,726529,18,44825982,76,2,5340,89',0,0,Landon Johnson (Richmond Kickers) Substitution at 89',Landon Johnson Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,366098,2025-03-08 05:51:36
13099,726529,18,44825982,76,2,5340,89',0,0,Landon Johnson (Richmond Kickers) Substitution at 89',Landon Johnson Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,2,159576,2025-03-08 05:51:36
13099,726529,19,44825983,76,2,5400,90',0,0,James Vaughan (Richmond Kickers) Substitution at 90',James Vaughan Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,51841,2025-03-08 05:51:36
13099,726529,19,44825983,76,2,5400,90',0,0,James Vaughan (Richmond Kickers) Substitution at 90',James Vaughan Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,1,288325,2025-03-08 05:51:36
13099,726529,19,44825983,76,2,5400,90',0,0,James Vaughan (Richmond Kickers) Substitution at 90',James Vaughan Substitution,17545,0.0,0.0,0.0,0.0,0.0,0.0,2,296425,2025-03-08 05:51:36
13099,726530,1,44835705,76,1,480,8',0,0,Evan Lee (Greenville Triumph) Substitution at 8',Evan Lee Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,236639,2025-03-09 05:51:43
13099,726530,1,44835705,76,1,480,8',0,0,Evan Lee (Greenville Triumph) Substitution at 8',Evan Lee Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,2,288064,2025-03-09 05:51:43
13099,726530,2,44835795,98,1,840,14',1,0,Juan Carlos Obregón Jr (Westchester SC) Penalty - Scored at 14',Juan Carlos Obregón Jr Penalty -,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,296169,2025-03-09 05:51:43
13099,726530,3,44835901,94,1,1260,21',0,0,Conor McGlynn (Westchester SC) Yellow Card at 21',Conor McGlynn Yellow Card,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,303582,2025-03-09 05:51:43
13099,726530,4,44836045,98,1,1860,31',1,0,Sebastián Velásquez (Greenville Triumph) Penalty - Scored at 31',Sebastián Velásquez Penalty - Sc,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,171799,2025-03-09 05:51:43
13099,726530,5,44836410,76,2,2700,45',0,0,Carlos Anguiano (Greenville Triumph) Substitution at 45',Carlos Anguiano Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,254449,2025-03-09 05:51:43
13099,726530,5,44836410,76,2,2700,45',0,0,Carlos Anguiano (Greenville Triumph) Substitution at 45',Carlos Anguiano Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,2,171799,2025-03-09 05:51:43
13099,726530,6,44836580,94,2,3840,64',0,0,Zane Bubb (Greenville Triumph) Yellow Card at 64',Zane Bubb Yellow Card,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,308817,2025-03-09 05:51:43
13099,726530,7,44836588,76,2,3960,66',0,0,Noah Powder (Westchester SC) Substitution at 66',Noah Powder Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,259552,2025-03-15 04:52:29
13099,726530,7,44836588,76,2,3960,66',0,0,Noah Powder (Westchester SC) Substitution at 66',Noah Powder Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,2,281907,2025-03-15 04:52:29
13099,726530,8,44836589,76,2,4020,67',0,0,Daniel Bouman (Westchester SC) Substitution at 67',Daniel Bouman Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,291611,2025-03-09 05:51:43
13099,726530,8,44836589,76,2,4020,67',0,0,Daniel Bouman (Westchester SC) Substitution at 67',Daniel Bouman Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,2,304577,2025-03-09 05:51:43
13099,726530,9,44836646,76,2,4500,75',0,0,Chevone Marsh (Greenville Triumph) Substitution at 75',Chevone Marsh Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,227211,2025-03-09 05:51:43
13099,726530,9,44836646,76,2,4500,75',0,0,Chevone Marsh (Greenville Triumph) Substitution at 75',Chevone Marsh Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,2,381430,2025-03-09 05:51:43
13099,726530,10,44836656,94,2,4680,78',0,0,Joel Johnson Alajarin (Westchester SC) Yellow Card at 78',Joel Johnson Alajarin Yellow Car,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,145151,2025-03-09 05:51:43
13099,726530,11,44836701,76,2,4980,83',0,0,Koen Blommestijn (Westchester SC) Substitution at 83',Koen Blommestijn Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,1,306431,2025-03-09 05:51:43
13099,726530,11,44836701,76,2,4980,83',0,0,Koen Blommestijn (Westchester SC) Substitution at 83',Koen Blommestijn Substitution,22524,0.0,0.0,0.0,0.0,0.0,0.0,2,145151,2025-03-09 05:51:43
13099,726530,12,44836741,76,2,5340,89',0,0,Devin Benton (Greenville Triumph) Substitution at 89',Devin Benton Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,1,325969,2025-03-09 05:51:43
13099,726530,12,44836741,76,2,5340,89',0,0,Devin Benton (Greenville Triumph) Substitution at 89',Devin Benton Substitution,19964,0.0,0.0,0.0,0.0,0.0,0.0,2,381433,2025-03-09 05:51:43
13099,726531,1,44837345,94,1,1380,23',0,0,Christopher Heckenberg (FC Naples) Yellow Card at 23',Christopher Heckenberg Yellow Ca,22525,0.0,0.0,0.0,0.0,0.0,0.0,1,338762,2025-03-09 05:51:43
13099,726531,2,44837396,94,1,1740,29',0,0,Matthew Bentley (Chattanooga Red Wolves) Yellow Card at 29',Matthew Bentley Yellow Card,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,302930,2025-03-09 05:51:43
13099,726531,3,44837594,94,1,2520,42',0,0,Jonathan Filipe (Chattanooga Red Wolves) Yellow Card at 42',Jonathan Filipe Yellow Card,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,266528,2025-03-09 05:51:43
13099,726531,4,44838059,70,2,2820,47',1,0,Omar Hernandez (Chattanooga Red Wolves) Goal at 47',Omar Hernandez Goal,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,288012,2025-03-09 05:51:43
13099,726531,5,44838266,76,2,3600,60',0,0,Owen Green (Chattanooga Red Wolves) Substitution at 60',Owen Green Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,338831,2025-03-09 05:51:43
13099,726531,5,44838266,76,2,3600,60',0,0,Owen Green (Chattanooga Red Wolves) Substitution at 60',Owen Green Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,2,266528,2025-03-09 05:51:43
13099,726531,6,44838373,76,2,4260,71',0,0,Marc Torrellas (FC Naples) Substitution at 71',Marc Torrellas Substitution,22525,0.0,0.0,0.0,0.0,0.0,0.0,1,337178,2025-03-09 05:51:43
13099,726531,6,44838373,76,2,4260,71',0,0,Marc Torrellas (FC Naples) Substitution at 71',Marc Torrellas Substitution,22525,0.0,0.0,0.0,0.0,0.0,0.0,2,338762,2025-03-09 05:51:43
13099,726531,8,44838442,76,2,4440,74',0,0,Jordan Ayimbila (Chattanooga Red Wolves) Substitution at 74',Jordan Ayimbila Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,337096,2025-03-09 05:51:43
13099,726531,7,44838441,76,2,4440,74',0,0,Gharett Morris (Chattanooga Red Wolves) Substitution at 74',Gharett Morris Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,360568,2025-03-09 05:51:43
13099,726531,8,44838442,76,2,4440,74',0,0,Jordan Ayimbila (Chattanooga Red Wolves) Substitution at 74',Jordan Ayimbila Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,2,299119,2025-03-09 05:51:43
13099,726531,7,44838441,76,2,4440,74',0,0,Gharett Morris (Chattanooga Red Wolves) Substitution at 74',Gharett Morris Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,2,288012,2025-03-09 05:51:43
13099,726531,9,44838484,94,2,4500,75',0,0,Eric Kinzner (Chattanooga Red Wolves) Yellow Card at 75',Eric Kinzner Yellow Card,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,302995,2025-03-09 05:51:43
13099,726531,10,44838503,98,2,4620,77',1,0,Andrés Ferrín (FC Naples) Penalty - Scored at 77',Andrés Ferrín Penalty - Scored,22525,0.0,0.0,0.0,0.0,0.0,0.0,1,310211,2025-03-09 05:51:43
13099,726531,11,44838678,76,2,4920,82',0,0,Ian Cerro (FC Naples) Substitution at 82',Ian Cerro Substitution,22525,0.0,0.0,0.0,0.0,0.0,0.0,1,339143,2025-03-09 05:51:43
13099,726531,11,44838678,76,2,4920,82',0,0,Ian Cerro (FC Naples) Substitution at 82',Ian Cerro Substitution,22525,0.0,0.0,0.0,0.0,0.0,0.0,2,310211,2025-03-09 05:51:43
13099,726531,13,44838972,76,2,5400,90'+3',0,0,Kimball Jackson (Chattanooga Red Wolves) Substitution at 93',Kimball Jackson Substitution,20000,0.0,0.0,0.0,0.0,0.0,0.0,1,360237,2025-03-09 05:51:43
13099,726531,12,44838887,76,2,5400,90',0,0,Tyler Pasnik (FC Naples) Substitution at 90',Tyler Pasnik Substitution,22525,0.0,0.0,0.0,0.0,0.0,0.0,1,366591,2025-03-09 05:51:43
