seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13214,730658,18439,home,1,4-4-2,1,1,1,70683,Cristian Correa,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,11,379633,Leonar Espinoza,Right Back,2,0,0,-1,,,,1,207107,6,207107.0,2700.0,45',2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,13,176863,Luis Ayala,Left Back,3,0,0,-1,,,,1,202633,29,202633.0,4740.0,79',2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,8,310725,Gaston Blanc,Center Right Midfielder,4,0,0,-1,,,,1,235161,5,235161.0,4740.0,79',2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,2,254180,Nahuel Arena,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,14,195364,Jose Marrufo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,19,251977,Adolfo Muñoz,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,16,215880,José Cazares,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,15,379639,Martín Tello,Center Left Forward,9,0,0,-1,,,,1,203359,22,203359.0,2700.0,45'+1',2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,17,77969,Darwin López,Center Right Forward,10,0,0,-1,,,,1,380667,9,380667.0,2700.0,45',2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,1,10,268764,Janpol Morales,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,77,291017,Víctor Ávila,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13214,730658,18439,home,1,4-4-2,1,0,5,235161,Leonel Álvarez,Substitute,0,1,310725,8,310725.0,4740.0,79',0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,4,313763,John Jiménez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,7,379630,Federico Paz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,6,207107,Bryan Caicedo,Substitute,0,1,379633,11,379633.0,2700.0,45',0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,22,203359,José Cevallos,Substitute,0,1,379639,15,379639.0,2700.0,45'+1',0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,9,380667,Antony Chére,Substitute,0,1,77969,17,77969.0,2700.0,45',0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,20,380980,Mateo Viera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,50,381059,Carlos Caicedo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,18439,home,1,4-4-2,1,0,29,202633,Rody Jossephe Zambrano,Substitute,0,1,176863,13,176863.0,4740.0,79',0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,12,314384,Rolando Silva,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,31,150074,Pedro Velasco,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,15,251962,Beder Caicedo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,16,285890,Jefferson Valverde,Left Midfielder,4,0,0,-1,,,,1,301496,26,301496.0,4800.0,80',2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,24,96165,Gabriel Achilier,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,3,302190,Sixto Mina,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,13,199038,Ángel Mena,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,50,359716,Sergio Vásquez,Right Midfielder,8,0,0,-1,,,,1,364835,29,364835.0,2700.0,45',2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,10,173003,Miguel Parrales,Forward,9,0,0,-1,,,,1,315936,11,315936.0,4380.0,73',2025-02-16 05:49:53
13214,730658,20695,away,0,4-2-3-1,1,1,8,137516,Diego Armas,Attacking Midfielder,10,0,0,-1,,,,1,365154,17,365154.0,4380.0,73',2025-02-16 05:49:53
