seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12995,723617,660,home,1,4-2-3-1,1,1,1,275080,Patrick Schulte,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,18,219275,Shaq Moore,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,15,359542,Max Arfsten,Left Back,3,0,0,-1,,,,1,249985,5,249985.0,3879.0,65',2025-04-05 08:30:15
12995,723617,660,home,1,4-2-3-1,1,1,16,303512,Jack McGlynn,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,20,231066,George Campbell,Center Right Defender,5,0,0,-1,,,,1,183764,3,183764.0,5260.0,88',2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,12,249768,Miles Robinson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,23,302991,Caden Clark,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,6,356358,Benjamin Cremaschi,Right Midfielder,8,0,0,-1,,,,1,296109,14,296109.0,3859.0,65',2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,7,5289,Patrick Agyemang,Forward,9,0,0,-1,,,,1,249490,8,249490.0,3870.0,65',2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,11,276283,Matko Miljevic,Attacking Midfielder,10,0,0,-1,,,,1,148356,10,148356.0,3894.0,65',2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,1,17,303577,Brian Gutiérrez,Attacking Midfielder Left,11,0,0,-1,,,,1,266026,19,266026.0,4335.0,73',2025-01-24 05:41:43
12995,723617,660,home,1,4-2-3-1,1,0,22,219276,Zack Steffen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,8,249490,Brian White,Substitute,0,1,5289,7,5289.0,3870.0,65',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,3,183764,Walker Zimmerman,Substitute,0,1,231066,20,231066.0,5260.0,88',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,14,296109,Emeka Eneli,Substitute,0,1,356358,6,356358.0,3859.0,65',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,10,148356,Diego Luna,Substitute,0,1,276283,11,276283.0,3894.0,65',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,13,146290,Tim Ream,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,5,249985,DeJuan Jones,Substitute,0,1,359542,15,359542.0,3879.0,65',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,19,266026,Indiana Vassilev,Substitute,0,1,303577,17,303577.0,4335.0,73',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,660,home,1,4-2-3-1,1,0,21,252974,Matthew Freese,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,1,220056,Wuilker Faríñez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,16,98062,Roberto Rosales,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,3,192089,Anthony Graterol,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,6,314281,Bryant Ortega,Center Right Midfielder,4,0,0,-1,,,,1,195838,7,195838.0,5085.0,85',2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,2,302480,Carlos Vivas,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,14,177188,Francisco La Mantía,Center Left Defender,6,0,0,-1,,,,1,266583,4,266583.0,3590.0,60',2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,10,207279,Juanpi,Right Midfielder,7,0,0,-1,,,,1,140457,8,140457.0,3569.0,60',2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,15,316077,Dani Pereira,Center Left Midfielder,8,0,0,-1,,,,1,271535,19,271535.0,2700.0,45',2025-04-05 08:30:15
12995,723617,213,away,0,4-4-2,1,1,11,285614,Jovanny Bolívar,Center Left Forward,9,0,0,-1,,,,1,301499,18,301499.0,2700.0,45',2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,9,252023,Jan Hurtado,Center Right Forward,10,0,0,-1,,,,1,303322,20,303322.0,3557.0,60',2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,1,21,382379,Gleiker Mendoza,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,8,140457,Maurice Cova,Substitute,0,1,207279,10,207279.0,3569.0,60',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,17,316318,Moises Tablante,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,12,316317,Javier Otero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,23,313473,Bryan Castillo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,20,303322,Saúl Guarirapa,Substitute,0,1,252023,9,252023.0,3557.0,60',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,18,301499,Edson Tortolero,Substitute,0,1,285614,11,285614.0,2700.0,45',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,19,271535,Jorge Yriarte,Substitute,0,1,316077,15,316077.0,2700.0,45',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,4,266583,Thomas Gutiérrez,Substitute,0,1,177188,14,177188.0,3590.0,60',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,7,195838,Erickson Gallardo,Substitute,0,1,314281,6,314281.0,5085.0,85',0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,5,180468,Júnior Moreno,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,723617,213,away,0,4-4-2,1,0,13,318205,Carlos Rojas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-19 05:36:40
12995,724802,660,home,1,4-2-3-1,1,1,22,219276,Zack Steffen,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,12,249768,Miles Robinson,Right Back,2,0,0,-1,,,,1,219275,18,219275.0,3504.0,59',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,5,249985,DeJuan Jones,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,14,296109,Emeka Eneli,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,3,183764,Walker Zimmerman,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,13,146290,Tim Ream,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,19,266026,Indiana Vassilev,Attacking Midfielder Right,7,0,0,-1,,,,1,359542,15,359542.0,4138.0,69',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,6,356358,Benjamin Cremaschi,Right Midfielder,8,0,0,-1,,,,1,302991,23,302991.0,2700.0,45',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,8,249490,Brian White,Forward,9,0,0,-1,,,,1,5289,7,5289.0,4457.0,75',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,10,148356,Diego Luna,Attacking Midfielder,10,0,0,-1,,,,1,276283,11,276283.0,2700.0,45',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,1,17,303577,Brian Gutiérrez,Attacking Midfielder Left,11,0,0,-1,,,,1,303512,16,303512.0,2700.0,45',2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,21,252974,Matthew Freese,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,11,276283,Matko Miljevic,Substitute,0,1,148356,10,148356.0,2700.0,45',0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,7,5289,Patrick Agyemang,Substitute,0,1,249490,8,249490.0,4457.0,75',0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,18,219275,Shaq Moore,Substitute,0,1,249768,12,249768.0,3504.0,59',0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,23,302991,Caden Clark,Substitute,0,1,356358,6,356358.0,2700.0,45',0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,1,275080,Patrick Schulte,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,16,303512,Jack McGlynn,Substitute,0,1,303577,17,303577.0,2700.0,45',0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,20,231066,George Campbell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,660,home,1,4-2-3-1,1,0,15,359542,Max Arfsten,Substitute,0,1,266026,19,266026.0,4138.0,69',0,0,-1,,,,2025-04-05 08:30:15
12995,724802,214,away,0,5-3-2,1,1,1,101828,Esteban Alvarado,Goalkeeper,1,0,0,-1,,,,1,159308,18,159308.0,2700.0,45',2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,22,370139,Haxzel Quirós,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,8,163238,Joseph Mora,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,6,12308,Ryan Davis,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,5,265904,Fernán Faerrón,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,4,317947,Santiago van der Putten,Center Right Defender,6,0,0,-1,,,,1,178984,3,178984.0,2700.0,45',2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,17,360069,Creichel Pérez,Center Right Midfielder,7,0,0,-1,,,,1,271551,11,271551.0,4293.0,72',2025-01-24 05:41:43
12995,724802,214,away,0,5-3-2,1,1,20,293397,Rashir Parkins,Center Midfielder,8,0,0,-1,,,,1,229883,13,229883.0,2700.0,45',2025-01-24 05:41:43
