seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13079,724923,445,home,1,4-2-3-1,1,1,1,121738,Joël Mall,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,6,305924,Giannis Satsias,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,7,171228,Anderson Correia,Left Back,3,0,0,-1,,,,1,323266,14,323266.0,4388.0,74',2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,20,218082,Grigoris Kastanos,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,15,261078,Christos Shelis,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,3,276403,Nikolas Panagiotou,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,17,305501,Loizos Loizou,Attacking Midfielder Right,7,0,0,-1,,,,1,305923,12,305923.0,5321.0,89',2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,8,279962,Ioannis Kousoulos,Right Midfielder,8,0,0,-1,,,,1,192934,2,192934.0,4395.0,74',2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,9,221149,Ioannis Pittas,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,10,179397,Pieros Soteriou,Attacking Midfielder,10,0,0,-1,,,,1,305500,11,305500.0,3767.0,63',2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,1,21,305498,Marinos Tzionis,Attacking Midfielder Left,11,0,0,-1,,,,1,289061,23,289061.0,3734.0,63',2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,14,323266,Giorgos Malekkides,Substitute,0,1,171228,7,171228.0,4388.0,74',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,19,391471,Andreas Shikkis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,16,338236,Evagoras Antoniou,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,12,305923,Stavros Gavriel,Substitute,0,1,305501,17,305501.0,5321.0,89',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,11,305500,Andronikos Kakoulis,Substitute,0,1,179397,10,179397.0,3767.0,63',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,4,289365,Hector Kyprianou,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,23,289061,Ioannis Kosti,Substitute,0,1,305498,21,305498.0,3734.0,63',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,13,274677,Dimitris Dimitriou,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,22,235291,Neophytos Michael,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,2,192934,Charis Kyriakou,Substitute,0,1,279962,8,279962.0,4395.0,74',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,18,179369,Kostakis Artymatas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,445,home,1,4-2-3-1,1,0,5,305496,Charalampos Charalampous,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,1,278810,Edoardo Colombo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,4,316714,Filippo Fabbri,Right Back,2,0,0,-1,,,,1,382398,2,382398.0,5060.0,85',2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,12,338194,Alessandro Tosi,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,8,199564,Lorenzo Capicchioni,Center Midfielder,4,0,0,-1,,,,1,382402,23,382402.0,3785.0,64',2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,5,257233,Michele Cevoli,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,3,166362,Tommaso Benvenuti,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,17,218210,Alessandro Golinucci,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,18,338195,Samuele Zannoni,Left Midfielder,8,0,0,-1,,,,1,382401,19,382401.0,4604.0,77',2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,9,277478,Nicola Nanni,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,11,326748,Andrea Contadini,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,1,10,245274,Filippo Berardi,Left Forward,11,0,0,-1,,,,1,363701,20,363701.0,3768.0,63',2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,21,390956,Alberto Riccardi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,23,382402,Matteo Valli Casadei,Substitute,0,1,199564,8,199564.0,3785.0,64',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,19,382401,Nicolas Giacopetti,Substitute,0,1,338195,18,338195.0,4604.0,77',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,2,382398,Giacomo Benvenuti,Substitute,0,1,316714,4,316714.0,5060.0,85',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,15,341814,Marco Pasolini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,20,363701,Nicko Sensoli,Substitute,0,1,245274,10,245274.0,3768.0,63',0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,16,338732,Pietro Amici,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,14,326742,Giacomo Valentini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,6,306506,Dante Rossi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,22,282092,Marcello Mularoni,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,13,280247,Matteo Zavoli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724923,588,away,0,4-3-3,1,0,7,111851,Matteo Vitaioli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,1,179358,Lukasz Skorupski,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,2,234698,Matty Cash,Right Midfielder,2,0,0,-1,,,,1,304933,13,304933.0,4051.0,68',2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,19,190806,Przemyslaw Frankowski,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,14,304965,Jakub Kiwior,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,5,221788,Jan Bednarek,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,15,316280,Kamil Piatkowski,Center Right Defender,6,0,0,-1,,,,1,212258,4,212258.0,4579.0,77',2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,10,243844,Sebastian Szymanski,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13079,724924,471,home,1,3-5-2,1,1,6,276267,Jakub Piotrowski,Center Left Midfielder,8,0,0,-1,,,,1,287841,21,287841.0,4585.0,77',2025-03-22 04:54:47
