seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13259,734946,22543,home,1,5-3-2,1,1,54,290563,Luke Pruter,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,32,349907,Quinton Elliot,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,49,399918,Tristan Brown,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,55,37298,Christopher Rogers,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,40,297115,Keesean Ferdinand,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,48,362680,Malcom Palacios,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,30,338752,Nicolas Rincon,Center Right Midfielder,7,0,0,-1,,,,1,401368,63,401368.0,5400.0,90'+3',2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,33,297823,Ibrahima Sy,Center Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,52,399994,Chase Adams,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,47,381580,Cristian Ortiz,Center Right Forward,10,0,0,-1,,,,1,399925,42,399925.0,4712.0,79',2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,1,45,391430,Owen Presthus,Center Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,42,399925,Brent Adu-Gyamfi,Substitute,0,1,381580,47,381580.0,4712.0,79',0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,50,381292,Juan Granda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,65,399982,Prince Forfor,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,41,382614,Stanislav Lapkes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,67,400004,Artem Grinblat,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
13259,734946,22543,home,1,5-3-2,1,0,63,401368,Gianmarco Di Noto,Substitute,0,1,338752,30,338752.0,5400.0,90'+3',0,0,-1,,,,2025-04-02 04:55:51
13259,734946,21822,away,0,4-4-2,1,1,31,280766,Brooks Thompson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-02 04:55:51
