seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12654,2024,ENG.1,368,4946,12,2,8,0,5,0,0,0,4,3,9,3,0,7,20,2025-05-13 04:45:53
12654,2024,ENG.1,367,6327,15,2,16,7,4,0,0,0,3,1,5,0,0,19,19,2025-05-13 04:45:56
12654,2024,ENG.1,349,7441,5,0,0,1,0,0,0,0,0,0,0,0,77,20,5,2025-01-30 14:42:57
12654,2024,ENG.1,373,9426,23,9,26,6,4,1,0,2,1,3,6,1,0,5,38,2025-05-13 04:45:54
12654,2024,ENG.1,331,17828,12,3,6,2,0,0,0,0,1,1,1,0,0,9,8,2025-05-13 04:45:52
12654,2024,ENG.1,375,17861,2,1,0,0,0,0,0,0,0,0,0,0,5,4,6,2025-05-13 04:45:54
12654,2024,ENG.1,331,20975,12,10,3,7,0,0,0,0,0,10,19,0,0,0,4,2025-01-23 05:30:56
12654,2024,ENG.1,373,20975,24,11,11,27,3,0,0,3,1,20,46,2,0,1,19,2025-05-13 04:45:54
12654,2024,ENG.1,331,26843,3,0,3,1,1,0,0,0,0,0,2,0,0,2,1,2025-05-13 04:45:52
12654,2024,ENG.1,393,30377,15,4,12,6,2,0,0,1,5,0,5,0,0,5,16,2025-05-13 04:45:56
12654,2024,ENG.1,368,31810,30,12,25,19,6,1,0,3,5,1,5,1,0,4,23,2025-05-13 04:45:53
12654,2024,ENG.1,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:45:55
12654,2024,ENG.1,301,41311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,360,42250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:45:55
12654,2024,ENG.1,361,42359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:45:56
12654,2024,ENG.1,380,43575,29,5,17,11,6,0,1,1,4,4,11,2,0,15,34,2025-05-13 04:45:57
12654,2024,ENG.1,398,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:24
12654,2024,ENG.1,361,48128,9,8,1,3,0,0,0,0,1,2,5,0,0,0,3,2025-01-31 14:42:48
12654,2024,ENG.1,349,72487,27,19,8,16,3,0,0,0,0,10,22,2,0,2,11,2025-05-13 04:45:51
12654,2024,ENG.1,371,77403,13,1,2,1,2,0,0,0,1,0,0,0,171,47,20,2025-05-13 04:45:57
12654,2024,ENG.1,380,78836,10,9,2,1,2,0,0,0,0,0,3,0,0,0,9,2025-05-13 04:45:57
12654,2024,ENG.1,360,83176,6,3,5,6,1,0,0,0,0,0,1,0,0,1,2,2025-05-13 04:45:55
12654,2024,ENG.1,393,83526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:45:56
12654,2024,ENG.1,301,85285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
