seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12747,2024,GER.1,137,3368,15,11,4,9,1,0,0,2,4,9,21,2,0,2,18,2025-05-13 04:46:11
12747,2024,GER.1,11420,3368,8,8,0,2,0,0,0,2,1,3,8,1,0,0,6,2025-02-03 14:48:10
12747,2024,GER.1,3841,47969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:08
12747,2024,GER.1,270,79941,32,0,1,1,1,1,0,0,3,0,0,0,312,90,36,2025-05-13 04:46:10
12747,2024,GER.1,132,84774,21,0,0,1,0,0,0,0,1,0,0,0,133,31,15,2025-05-13 04:46:07
12747,2024,GER.1,122,89497,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:34
12747,2024,GER.1,132,97111,6,3,2,3,1,0,0,0,0,1,1,1,0,2,5,2025-05-13 04:46:07
12747,2024,GER.1,132,113733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:07
12747,2024,GER.1,6418,117279,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-05-13 04:46:06
12747,2024,GER.1,11420,119620,29,0,0,1,0,0,0,0,3,0,0,0,377,96,36,2025-05-13 04:46:09
12747,2024,GER.1,125,120829,25,4,12,22,1,0,0,6,7,5,14,3,0,0,24,2025-05-13 04:46:08
12747,2024,GER.1,268,122273,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2025-05-13 04:46:08
12747,2024,GER.1,125,122280,25,0,0,1,0,0,0,0,4,0,0,0,288,82,32,2025-05-13 04:46:08
12747,2024,GER.1,7884,122289,24,12,12,22,1,1,0,2,3,0,7,0,0,2,38,2025-05-13 04:46:09
12747,2024,GER.1,126,122292,9,1,0,1,0,0,0,0,2,0,0,0,75,15,15,2025-05-13 04:46:10
12747,2024,GER.1,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:08
12747,2024,GER.1,132,123465,29,18,13,13,3,0,0,4,3,9,27,1,0,0,17,2025-05-13 04:46:07
12747,2024,GER.1,125,128521,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:46:08
12747,2024,GER.1,124,132659,30,2,17,12,5,1,0,10,6,5,27,0,0,12,35,2025-05-13 04:46:07
12747,2024,GER.1,598,132973,18,2,10,7,6,0,0,0,2,1,1,1,0,8,19,2025-05-13 04:46:06
12747,2024,GER.1,2950,134103,32,2,21,38,4,0,0,6,9,12,40,7,0,3,35,2025-05-13 04:46:09
