seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12826,2024,KSA.1,817,22774,28,0,9,25,2,0,0,3,0,62,135,23,0,0,28,2025-05-13 04:51:12
12826,2024,KSA.1,21966,41549,14,3,22,10,5,1,0,1,0,7,26,3,0,0,16,2025-05-13 04:51:12
12826,2024,KSA.1,2276,46858,28,0,9,13,1,0,0,9,0,50,104,21,0,0,32,2025-05-13 04:51:11
12826,2024,KSA.1,2276,76717,23,1,6,14,4,0,1,0,0,2,10,1,0,0,28,2025-05-13 04:51:11
12826,2024,KSA.1,21834,87043,10,0,0,1,1,0,0,0,0,0,0,0,0,39,22,2025-05-13 04:51:13
12826,2024,KSA.1,8363,98342,31,1,12,27,0,0,0,4,0,26,46,13,0,0,42,2025-05-13 04:51:10
12826,2024,KSA.1,793,113667,27,2,23,40,4,0,0,2,0,10,39,1,0,0,29,2025-05-13 04:51:14
12826,2024,KSA.1,22022,122260,29,0,19,19,1,1,0,2,0,51,104,14,0,0,26,2025-05-13 04:51:13
12826,2024,KSA.1,21827,123605,27,0,17,6,3,1,1,0,0,4,10,1,0,0,34,2025-05-13 04:51:10
12826,2024,KSA.1,13033,123988,13,0,11,0,4,0,1,0,0,0,2,0,0,0,15,2025-05-13 04:51:10
12826,2024,KSA.1,21835,129195,29,2,17,39,2,0,0,2,0,18,45,5,0,0,43,2025-05-13 04:51:15
12826,2024,KSA.1,22029,132709,23,5,9,6,3,0,0,2,0,15,39,5,0,0,32,2025-05-13 04:51:13
12826,2024,KSA.1,21834,133818,17,6,6,6,2,0,0,0,0,1,3,1,0,0,22,2025-05-13 04:51:13
12826,2024,KSA.1,22029,134205,25,0,26,21,7,0,0,4,0,14,30,4,0,0,39,2025-05-13 04:51:13
12826,2024,KSA.1,21966,138157,26,9,34,9,3,0,0,1,0,9,47,5,0,0,25,2025-05-13 04:51:12
12826,2024,KSA.1,22022,140079,31,0,0,3,1,0,0,0,0,0,0,0,0,77,27,2025-05-13 04:51:13
12826,2024,KSA.1,8346,147234,17,4,18,10,0,0,0,3,0,18,36,5,0,0,8,2025-05-13 04:51:09
12826,2024,KSA.1,21829,148180,24,0,0,3,1,0,0,0,0,0,0,0,0,70,33,2025-05-13 04:51:11
12826,2024,KSA.1,22022,148189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-03 05:02:55
12826,2024,KSA.1,793,149938,31,0,12,14,0,0,0,11,0,27,71,9,0,0,36,2025-05-13 04:51:14
12826,2024,KSA.1,929,150312,26,0,24,5,2,1,0,0,0,3,15,2,0,0,30,2025-05-13 04:51:11
12826,2024,KSA.1,21965,157292,31,0,1,5,2,0,0,0,0,0,0,0,0,112,45,2025-05-13 04:51:14
12826,2024,KSA.1,22022,157710,29,0,13,15,4,0,1,1,0,6,18,0,0,0,24,2025-05-13 04:51:13
12826,2024,KSA.1,21827,158604,27,4,20,35,2,0,0,4,0,9,19,4,0,0,32,2025-05-13 04:51:10
12826,2024,KSA.1,817,159317,20,2,2,9,2,0,0,0,0,9,19,4,0,0,19,2025-05-13 04:51:12
12826,2024,KSA.1,22029,159319,15,3,6,0,1,0,0,0,0,0,4,0,0,0,26,2025-05-13 04:51:13
12826,2024,KSA.1,21829,160020,28,1,13,58,3,0,0,5,0,30,73,5,0,0,44,2025-05-13 04:51:11
12826,2024,KSA.1,21834,160114,28,2,54,32,7,0,0,0,0,5,24,2,0,0,50,2025-05-13 04:51:13
12826,2024,KSA.1,18459,163121,27,5,29,32,4,0,0,6,0,0,5,0,0,0,22,2025-05-13 04:51:14
12826,2024,KSA.1,21965,163213,26,7,31,17,2,1,0,1,0,15,37,4,0,0,30,2025-05-13 04:51:14
12826,2024,KSA.1,929,163850,28,0,20,33,2,0,0,12,0,33,76,13,0,0,32,2025-05-13 04:51:11
12826,2024,KSA.1,21835,163852,24,4,14,9,1,0,0,0,0,1,8,1,0,0,44,2025-05-13 04:51:15
12826,2024,KSA.1,8346,163940,29,0,28,35,4,0,0,10,0,22,52,7,0,0,22,2025-05-13 04:51:09
12826,2024,KSA.1,13033,165167,22,4,17,24,3,0,0,0,0,18,41,5,0,0,31,2025-05-13 04:51:10
12826,2024,KSA.1,21966,169591,12,5,5,12,0,0,0,2,0,6,18,1,0,0,7,2025-05-13 04:51:12
12826,2024,KSA.1,817,169797,28,0,33,64,4,0,0,10,0,28,69,9,0,0,32,2025-05-13 04:51:12
12826,2024,KSA.1,21835,170754,28,5,17,24,1,0,0,7,0,15,36,6,0,0,49,2025-05-13 04:51:15
12826,2024,KSA.1,8363,171652,29,7,28,30,3,0,0,7,0,17,50,5,0,0,30,2025-05-13 04:51:10
12826,2024,KSA.1,929,171877,11,6,9,1,1,0,0,0,0,0,1,0,0,0,3,2025-05-13 04:51:11
12826,2024,KSA.1,22022,171878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:13
12826,2024,KSA.1,21965,172190,25,1,18,14,7,2,0,0,0,2,10,1,0,0,34,2025-05-13 04:51:14
12826,2024,KSA.1,13033,172267,11,0,4,27,1,0,0,2,0,10,25,1,0,0,20,2025-01-03 05:41:06
12826,2024,KSA.1,817,172933,13,8,11,2,1,1,1,0,0,1,2,1,0,0,10,2025-05-13 04:51:12
12826,2024,KSA.1,2276,173556,28,0,27,14,5,0,0,2,0,7,14,4,0,0,29,2025-05-13 04:51:11
12826,2024,KSA.1,793,174893,13,2,8,20,3,0,0,3,0,8,30,1,0,0,10,2025-05-13 04:51:14
12826,2024,KSA.1,21966,174978,25,1,25,43,10,0,0,1,0,4,16,0,0,0,28,2025-05-13 04:51:12
12826,2024,KSA.1,793,175064,10,2,7,8,1,0,0,0,0,0,0,0,0,0,8,2025-05-13 04:51:14
12826,2024,KSA.1,929,175149,27,0,1,1,2,0,0,0,0,0,0,0,0,49,37,2025-05-13 04:51:11
12826,2024,KSA.1,793,175921,8,0,0,1,2,0,0,0,0,0,0,0,0,17,5,2025-05-13 04:51:14
12826,2024,KSA.1,2276,176287,30,0,37,28,7,0,0,1,0,6,14,2,0,0,30,2025-05-13 04:51:11
12826,2024,KSA.1,929,176399,22,1,45,18,5,0,0,5,0,8,23,0,0,0,24,2025-05-13 04:51:11
12826,2024,KSA.1,21828,176678,28,0,17,34,4,0,0,7,0,30,75,5,0,0,42,2025-05-13 04:51:15
12826,2024,KSA.1,2276,177897,18,15,14,8,2,0,0,1,0,10,14,4,0,0,4,2025-05-13 04:51:11
12826,2024,KSA.1,817,178383,25,1,34,16,9,0,0,5,0,10,24,1,0,0,31,2025-05-13 04:51:12
12826,2024,KSA.1,793,178673,9,0,0,0,0,0,0,0,0,0,0,0,0,37,17,2025-05-13 04:51:14
12826,2024,KSA.1,793,178844,2,0,5,3,0,0,0,0,0,1,1,0,0,0,1,2025-05-13 04:51:14
12826,2024,KSA.1,8346,180639,27,1,34,35,5,0,0,4,0,50,101,20,0,0,27,2025-05-13 04:51:09
12826,2024,KSA.1,21965,181748,30,0,36,36,5,0,0,4,0,24,56,5,0,0,45,2025-05-13 04:51:14
12826,2024,KSA.1,13033,182336,15,1,7,2,1,0,0,0,0,1,3,0,0,0,28,2025-02-02 14:47:33
12826,2024,KSA.1,929,183209,19,1,19,17,3,0,0,1,0,35,74,15,0,0,22,2025-05-13 04:51:11
12826,2024,KSA.1,8363,184118,13,2,10,9,1,0,0,0,0,4,22,0,0,0,14,2025-01-01 05:42:06
12826,2024,KSA.1,793,185520,25,0,22,35,4,1,0,2,0,37,88,21,0,0,29,2025-05-13 04:51:14
12826,2024,KSA.1,2276,185636,29,3,26,9,3,0,0,1,0,2,7,2,0,0,29,2025-05-13 04:51:11
12826,2024,KSA.1,18459,186952,27,2,27,11,5,1,1,0,0,3,13,1,0,0,24,2025-05-13 04:51:14
12826,2024,KSA.1,21829,187549,20,17,1,9,0,0,0,0,0,11,28,3,0,0,17,2025-05-13 04:51:11
12826,2024,KSA.1,21828,187579,5,2,5,4,1,0,0,0,0,1,3,0,0,0,4,2025-05-13 04:51:15
12826,2024,KSA.1,21834,189615,25,1,18,35,4,0,0,7,0,14,50,8,0,0,47,2025-05-13 04:51:13
12826,2024,KSA.1,22028,189897,30,0,21,22,2,0,0,1,0,3,7,0,0,0,58,2025-05-13 04:51:12
12826,2024,KSA.1,21828,189967,28,0,0,3,3,0,0,0,0,0,0,0,0,89,44,2025-05-13 04:51:15
12826,2024,KSA.1,21829,190651,13,3,6,13,1,0,0,0,0,6,13,1,0,0,16,2025-05-13 04:51:11
12826,2024,KSA.1,793,190977,28,0,30,8,6,0,0,0,0,9,18,5,0,0,34,2025-05-13 04:51:14
12826,2024,KSA.1,22028,191507,29,0,18,4,1,0,0,1,0,5,19,2,0,0,53,2025-05-13 04:51:12
12826,2024,KSA.1,21827,191806,27,0,1,1,2,1,0,0,0,0,0,0,0,80,33,2025-05-13 04:51:10
12826,2024,KSA.1,21829,191942,21,0,26,7,3,0,0,0,0,0,6,0,0,0,30,2025-05-13 04:51:11
12826,2024,KSA.1,21828,192055,26,0,20,71,3,0,0,3,0,31,65,13,0,0,39,2025-05-13 04:51:15
12826,2024,KSA.1,2276,192126,27,0,0,4,1,0,0,0,0,0,0,0,0,80,26,2025-05-13 04:51:11
12826,2024,KSA.1,18459,192180,15,3,23,24,2,0,0,1,0,10,28,2,0,0,12,2025-05-13 04:51:14
12826,2024,KSA.1,22029,193539,5,0,6,2,1,0,0,0,0,1,4,1,0,0,8,2025-05-13 04:51:13
12826,2024,KSA.1,8363,194403,21,5,20,27,1,0,0,0,0,9,28,0,0,0,21,2025-05-13 04:51:10
12826,2024,KSA.1,21966,194681,27,3,34,35,5,0,0,3,0,25,75,6,0,0,33,2025-05-13 04:51:12
12826,2024,KSA.1,8346,194711,28,1,38,25,8,0,0,5,0,13,39,2,0,0,27,2025-05-13 04:51:09
12826,2024,KSA.1,8363,194970,31,0,0,1,2,0,0,0,0,0,0,0,0,106,43,2025-05-13 04:51:10
12826,2024,KSA.1,22028,195212,11,8,9,8,0,0,0,1,0,1,5,0,0,0,4,2025-05-13 04:51:12
12826,2024,KSA.1,21827,195281,25,1,32,19,9,0,0,1,0,5,23,0,0,0,30,2025-05-13 04:51:10
12826,2024,KSA.1,22022,195753,28,0,32,11,7,0,0,0,0,2,7,1,0,0,19,2025-05-13 04:51:13
12826,2024,KSA.1,8363,196576,19,1,30,12,2,0,0,4,0,17,34,7,0,0,26,2025-05-13 04:51:10
12826,2024,KSA.1,13033,196613,17,0,30,16,0,0,0,4,0,18,58,6,0,0,29,2025-05-13 04:51:10
12826,2024,KSA.1,793,196719,8,0,3,3,1,0,0,0,0,0,1,0,0,0,6,2025-01-16 05:38:05
12826,2024,KSA.1,21966,196748,27,0,45,27,4,0,0,2,0,5,28,1,0,0,34,2025-05-13 04:51:12
12826,2024,KSA.1,817,196881,24,2,30,52,3,0,0,4,0,2,15,0,0,0,23,2025-05-13 04:51:12
12826,2024,KSA.1,21965,197151,27,2,15,5,2,0,1,1,0,3,19,1,0,0,36,2025-05-13 04:51:14
12826,2024,KSA.1,22028,199072,30,0,0,3,1,0,0,0,0,0,0,0,0,95,55,2025-05-13 04:51:12
12826,2024,KSA.1,817,199734,2,0,1,0,0,0,0,0,0,0,4,0,0,0,2,2024-09-02 05:02:34
12826,2024,KSA.1,21827,199789,26,0,46,23,5,1,0,1,0,26,66,7,0,0,35,2025-05-13 04:51:10
12826,2024,KSA.1,21966,200139,20,0,23,13,4,1,1,1,0,4,12,0,0,0,23,2025-05-13 04:51:12
12826,2024,KSA.1,21835,200194,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024-09-04 05:02:38
12826,2024,KSA.1,21827,200653,10,4,9,3,3,0,0,0,0,1,3,0,0,0,10,2025-05-13 04:51:10
12826,2024,KSA.1,8363,200986,27,7,19,36,4,0,0,2,0,10,40,2,0,0,30,2025-05-13 04:51:10
12826,2024,KSA.1,817,201625,10,1,12,7,1,0,0,0,0,18,43,6,0,0,7,2025-01-28 15:04:12
12826,2024,KSA.1,929,202191,27,0,13,49,3,0,0,7,0,24,54,9,0,0,30,2025-05-13 04:51:11
12826,2024,KSA.1,2276,202276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:11
12826,2024,KSA.1,21835,205277,23,7,16,22,1,0,0,0,0,7,19,3,0,0,19,2025-05-13 04:51:15
12826,2024,KSA.1,21835,205311,25,6,35,11,3,1,0,0,0,0,6,0,0,0,30,2025-05-13 04:51:15
12826,2024,KSA.1,21829,206547,30,1,43,48,8,0,0,1,0,16,54,7,0,0,36,2025-05-13 04:51:11
12826,2024,KSA.1,21829,206928,17,3,28,14,5,0,0,1,0,6,12,2,0,0,26,2025-05-13 04:51:11
12826,2024,KSA.1,8363,207040,24,3,10,10,4,0,0,2,0,19,49,1,0,0,29,2025-05-13 04:51:10
12826,2024,KSA.1,21828,207133,28,1,24,32,0,0,0,2,0,11,35,4,0,0,28,2025-05-13 04:51:15
12826,2024,KSA.1,8363,207454,14,0,13,6,2,1,0,0,0,0,0,0,0,0,17,2025-05-13 04:51:10
12826,2024,KSA.1,2276,207542,22,1,20,24,4,0,0,6,0,25,47,10,0,0,17,2025-05-13 04:51:11
12826,2024,KSA.1,929,208128,22,0,26,18,4,0,0,7,0,6,18,1,0,0,23,2025-05-13 04:51:11
12826,2024,KSA.1,22029,208401,13,0,21,28,1,0,0,2,0,7,35,2,0,0,20,2025-01-13 05:34:07
12826,2024,KSA.1,21827,208809,23,10,22,14,3,0,0,1,0,0,2,0,0,0,21,2025-05-13 04:51:10
12826,2024,KSA.1,21829,209584,13,0,9,11,1,0,0,3,0,8,22,3,0,0,16,2025-01-21 05:30:50
12826,2024,KSA.1,929,211141,27,0,35,28,3,0,0,5,0,29,69,10,0,0,35,2025-05-13 04:51:11
12826,2024,KSA.1,793,212923,15,1,0,2,0,0,0,0,0,0,0,0,0,42,15,2025-05-13 04:51:14
12826,2024,KSA.1,22022,213056,26,0,45,37,12,0,0,5,0,2,7,0,0,0,23,2025-05-13 04:51:13
12826,2024,KSA.1,793,213924,17,1,4,17,2,1,0,5,0,10,24,2,0,0,20,2025-05-13 04:51:14
12826,2024,KSA.1,21835,216287,29,7,35,32,7,0,0,3,0,10,43,3,0,0,36,2025-05-13 04:51:15
12826,2024,KSA.1,22029,216955,13,0,8,22,2,0,0,2,0,25,48,10,0,0,19,2025-05-13 04:51:13
12826,2024,KSA.1,21835,217556,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8,2025-02-14 05:45:13
12826,2024,KSA.1,21835,218120,29,9,24,9,5,0,0,3,0,3,22,1,0,0,48,2025-05-13 04:51:15
12826,2024,KSA.1,18459,218929,8,5,4,8,0,0,0,1,0,5,8,0,0,0,4,2025-01-24 16:55:09
12826,2024,KSA.1,18459,219003,11,0,22,9,4,1,0,1,0,3,4,0,0,0,8,2025-05-13 04:51:14
12826,2024,KSA.1,21829,219233,30,0,12,28,3,0,0,6,0,2,8,0,0,0,50,2025-05-13 04:51:11
12826,2024,KSA.1,22028,219606,12,6,10,9,1,0,1,0,0,0,1,0,0,0,12,2025-05-13 04:51:12
12826,2024,KSA.1,21828,223376,27,0,26,26,1,0,0,3,0,17,50,7,0,0,42,2025-05-13 04:51:15
12826,2024,KSA.1,18459,224789,27,0,32,18,4,0,0,0,0,1,9,0,0,0,26,2025-05-13 04:51:14
12826,2024,KSA.1,2276,225637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-06 05:35:35
12826,2024,KSA.1,21965,227417,25,3,15,38,0,0,0,4,0,17,40,5,0,0,30,2025-05-13 04:51:14
12826,2024,KSA.1,22029,228422,28,0,1,1,1,0,1,0,0,0,0,0,0,82,57,2025-05-13 04:51:13
12826,2024,KSA.1,22028,228736,27,1,24,17,3,0,0,0,0,3,12,0,0,0,51,2025-05-13 04:51:12
12826,2024,KSA.1,13033,230430,25,0,25,15,9,0,2,0,0,9,20,0,0,0,38,2025-05-13 04:51:10
12826,2024,KSA.1,21835,232461,23,2,15,10,3,0,1,0,0,7,18,1,0,0,41,2025-05-13 04:51:15
12826,2024,KSA.1,13033,232639,25,2,44,51,2,0,0,6,0,33,87,10,0,0,41,2025-05-13 04:51:10
12826,2024,KSA.1,22028,232803,28,0,26,16,4,0,0,0,0,6,20,2,0,0,50,2025-05-13 04:51:12
12826,2024,KSA.1,22022,233075,27,0,23,44,6,1,0,4,0,53,115,19,0,0,23,2025-05-13 04:51:13
12826,2024,KSA.1,18459,233809,13,2,13,20,0,0,0,0,0,12,35,3,0,0,11,2025-01-29 14:46:42
12826,2024,KSA.1,21966,234395,28,0,19,39,1,0,0,1,0,22,41,6,0,0,37,2025-05-13 04:51:12
12826,2024,KSA.1,21834,234967,22,1,25,17,3,1,0,1,0,6,16,1,0,0,35,2025-05-13 04:51:13
12826,2024,KSA.1,21965,235853,28,0,20,8,3,0,0,2,0,10,30,3,0,0,41,2025-05-13 04:51:14
12826,2024,KSA.1,8363,236088,25,1,14,10,3,0,0,0,0,5,14,1,0,0,32,2025-05-13 04:51:10
12826,2024,KSA.1,21834,238259,24,0,19,19,1,1,0,0,0,3,6,2,0,0,41,2025-05-13 04:51:13
12826,2024,KSA.1,8346,238362,26,0,0,2,0,0,0,1,0,0,0,0,0,60,24,2025-05-13 04:51:09
12826,2024,KSA.1,21827,238772,4,2,3,4,1,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:51:10
12826,2024,KSA.1,13033,240451,29,0,42,53,4,0,0,0,0,24,58,10,0,0,48,2025-05-13 04:51:10
12826,2024,KSA.1,2276,241116,28,0,35,45,5,0,0,4,0,25,50,12,0,0,28,2025-05-13 04:51:11
12826,2024,KSA.1,817,243630,5,5,2,0,1,0,0,0,0,1,2,0,0,0,0,2025-01-30 14:45:44
12826,2024,KSA.1,8363,243630,18,8,11,7,4,0,0,0,0,1,5,0,0,0,11,2025-05-13 04:51:10
12826,2024,KSA.1,21965,243928,25,6,8,6,2,0,0,1,0,4,8,1,0,0,17,2025-05-13 04:51:14
12826,2024,KSA.1,21828,243930,20,13,11,4,1,0,0,0,0,0,2,0,0,0,17,2025-05-13 04:51:15
12826,2024,KSA.1,21965,243933,11,10,3,3,1,0,0,0,0,1,5,0,0,0,5,2025-05-13 04:51:14
12826,2024,KSA.1,21835,243955,28,2,2,11,1,0,0,2,0,0,10,0,0,0,52,2025-05-13 04:51:15
12826,2024,KSA.1,21966,243957,27,3,16,30,5,0,0,2,0,1,5,0,0,0,27,2025-05-13 04:51:12
12826,2024,KSA.1,929,245858,22,0,30,41,4,0,0,7,0,7,17,3,0,0,25,2025-05-13 04:51:11
12826,2024,KSA.1,929,247018,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-05-13 04:51:11
12826,2024,KSA.1,21828,247993,28,0,25,22,4,0,0,1,0,11,31,3,0,0,39,2025-05-13 04:51:15
12826,2024,KSA.1,13033,250566,14,0,31,27,3,0,0,1,0,2,12,0,0,0,15,2025-05-13 04:51:10
12826,2024,KSA.1,929,251569,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-04 05:02:33
12826,2024,KSA.1,22022,251570,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:13
12826,2024,KSA.1,18459,252293,11,4,13,19,4,0,0,1,0,7,25,2,0,0,11,2025-05-13 04:51:14
12826,2024,KSA.1,8363,253100,24,5,18,26,8,0,0,0,0,0,2,0,0,0,26,2025-05-13 04:51:10
12826,2024,KSA.1,22029,253105,9,6,3,9,2,0,0,0,0,2,7,0,0,0,14,2025-02-04 05:31:50
12826,2024,KSA.1,22029,253111,21,2,19,21,5,0,0,1,0,1,2,0,0,0,25,2025-05-13 04:51:13
12826,2024,KSA.1,21835,253183,25,0,1,3,1,0,1,1,0,0,0,0,0,84,41,2025-05-13 04:51:15
12826,2024,KSA.1,21966,253191,15,5,7,2,2,0,0,0,0,0,3,0,0,0,16,2025-05-13 04:51:12
12826,2024,KSA.1,929,253195,24,0,24,7,2,0,0,0,0,6,10,4,0,0,30,2025-05-13 04:51:11
12826,2024,KSA.1,13033,253199,17,9,9,11,1,0,0,0,0,0,0,0,0,0,12,2025-05-13 04:51:10
12826,2024,KSA.1,8346,253205,13,8,7,4,0,0,0,0,0,1,2,0,0,0,10,2025-05-13 04:51:09
12826,2024,KSA.1,13033,253206,9,2,7,2,1,1,0,1,0,0,1,0,0,0,10,2025-02-02 14:47:33
12826,2024,KSA.1,817,253364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:12
12826,2024,KSA.1,8363,253364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-02 14:47:33
12826,2024,KSA.1,8363,253409,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-05-13 04:51:10
12826,2024,KSA.1,21829,253409,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-02-02 14:47:34
12826,2024,KSA.1,22028,253506,26,2,38,15,7,0,0,0,0,0,6,0,0,0,44,2025-05-13 04:51:12
12826,2024,KSA.1,22028,255654,31,1,16,20,1,0,0,0,0,45,93,14,0,0,52,2025-05-13 04:51:12
12826,2024,KSA.1,8346,256608,21,20,5,6,3,0,0,0,0,3,7,0,0,0,8,2025-05-13 04:51:09
12826,2024,KSA.1,929,256611,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2025-05-13 04:51:11
12826,2024,KSA.1,21827,256640,28,0,39,33,5,0,0,4,0,23,71,7,0,0,42,2025-05-13 04:51:10
