seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12827,2024,NED.W.1,20796,95226,21,0,6,15,1,0,0,4,7,11,31,2,0,4,21,2025-05-13 04:51:44
12827,2024,NED.W.1,20984,209166,21,0,8,15,0,0,0,3,1,5,12,2,0,1,25,2025-05-13 04:51:45
12827,2024,NED.W.1,21977,219955,21,0,23,14,2,0,0,5,17,35,74,10,0,0,30,2025-05-13 04:51:43
12827,2024,NED.W.1,20796,235656,10,6,0,3,0,0,0,2,2,4,10,0,0,0,5,2025-05-13 04:51:44
12827,2024,NED.W.1,20802,235660,2,1,2,0,0,0,0,0,1,0,3,0,0,0,0,2025-05-13 04:51:47
12827,2024,NED.W.1,20797,242307,22,5,3,17,1,0,0,2,11,22,52,3,0,0,37,2025-05-13 04:51:46
12827,2024,NED.W.1,20802,246055,9,9,1,1,0,0,0,1,0,0,3,0,0,0,1,2025-05-13 04:51:47
12827,2024,NED.W.1,20802,250645,17,0,6,11,0,0,0,2,1,6,17,3,0,4,6,2025-05-13 04:51:47
12827,2024,NED.W.1,20802,252364,21,0,5,11,0,0,0,12,4,36,59,13,0,0,9,2025-05-13 04:51:47
12827,2024,NED.W.1,21978,257445,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2025-05-13 04:51:45
12827,2024,NED.W.1,20798,257446,21,0,0,1,0,0,0,0,1,0,0,0,85,70,46,2025-05-13 04:51:43
12827,2024,NED.W.1,20802,257550,21,0,0,5,0,0,1,0,0,1,1,0,56,46,9,2025-05-13 04:51:47
12827,2024,NED.W.1,20114,257565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:45
12827,2024,NED.W.1,21978,264732,21,0,21,9,1,0,0,1,2,2,6,0,0,0,22,2025-05-13 04:51:45
12827,2024,NED.W.1,20984,270057,20,0,12,16,4,0,0,2,18,22,41,12,0,0,24,2025-05-13 04:51:45
12827,2024,NED.W.1,20798,285104,19,0,16,7,3,0,1,2,7,11,20,1,0,0,33,2025-05-13 04:51:43
12827,2024,NED.W.1,20984,287380,20,0,36,16,5,0,0,2,9,26,58,14,0,0,23,2025-05-13 04:51:45
12827,2024,NED.W.1,20114,288976,7,0,2,1,0,0,0,0,1,0,0,0,44,28,8,2025-01-26 05:38:58
12827,2024,NED.W.1,20797,292684,21,2,0,6,0,0,0,1,3,0,2,0,0,3,38,2025-05-13 04:51:46
12827,2024,NED.W.1,20797,294245,20,5,10,11,1,0,0,0,2,4,8,0,0,3,25,2025-05-13 04:51:46
12827,2024,NED.W.1,20984,295646,21,0,0,1,0,0,1,0,1,1,1,0,85,70,26,2025-05-13 04:51:45
12827,2024,NED.W.1,20114,295877,20,0,0,13,0,0,0,1,0,4,15,2,0,6,16,2025-05-13 04:51:45
12827,2024,NED.W.1,20802,309080,21,0,19,39,2,0,0,7,10,24,62,10,0,1,9,2025-05-13 04:51:47
12827,2024,NED.W.1,20796,309843,9,8,2,1,0,0,0,0,1,5,9,3,0,0,2,2025-05-13 04:51:44
12827,2024,NED.W.1,20796,309844,19,0,10,20,0,0,0,1,4,7,20,1,0,3,16,2025-05-13 04:51:44
12827,2024,NED.W.1,20984,309845,8,0,4,6,4,0,0,2,1,0,2,0,0,2,8,2025-05-13 04:51:45
12827,2024,NED.W.1,21584,309849,21,0,0,4,1,0,0,1,0,0,0,0,134,90,40,2025-05-13 04:51:46
12827,2024,NED.W.1,21585,309850,7,3,1,1,1,0,0,0,1,0,1,0,0,0,14,2025-05-13 04:51:47
12827,2024,NED.W.1,20797,309854,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,2025-05-13 04:51:46
12827,2024,NED.W.1,20796,309855,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:44
12827,2024,NED.W.1,21977,309856,17,1,10,5,3,0,0,1,2,3,12,0,0,0,22,2025-05-13 04:51:43
12827,2024,NED.W.1,21978,309859,13,3,8,8,1,0,0,1,2,24,34,6,0,0,10,2025-05-13 04:51:45
12827,2024,NED.W.1,20802,309860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:47
12827,2024,NED.W.1,20802,309861,16,0,11,27,0,0,0,2,4,20,35,6,0,0,6,2025-05-13 04:51:47
12827,2024,NED.W.1,20800,309866,21,0,18,16,3,0,0,2,2,8,21,2,0,2,44,2025-05-13 04:51:46
12827,2024,NED.W.1,21584,309868,19,0,10,6,0,0,1,0,3,2,5,0,0,8,38,2025-05-13 04:51:46
12827,2024,NED.W.1,21977,309869,18,2,19,14,0,0,0,1,2,3,6,0,0,0,16,2025-05-13 04:51:43
12827,2024,NED.W.1,20984,309871,21,3,4,4,0,0,0,1,4,17,32,5,0,1,17,2025-05-13 04:51:45
12827,2024,NED.W.1,21585,309872,18,4,15,19,4,0,0,1,4,7,13,0,0,0,40,2025-05-13 04:51:47
12827,2024,NED.W.1,20114,309875,19,0,2,10,0,0,0,11,3,15,29,3,0,0,12,2025-05-13 04:51:45
12827,2024,NED.W.1,20800,309878,21,4,20,19,2,0,1,1,1,1,12,0,0,3,47,2025-05-13 04:51:46
12827,2024,NED.W.1,21978,309883,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:45
12827,2024,NED.W.1,20798,309894,21,0,22,5,4,0,0,0,1,4,20,2,0,7,46,2025-05-13 04:51:43
12827,2024,NED.W.1,21585,309900,17,2,6,5,1,0,0,1,0,1,3,0,0,4,51,2025-05-13 04:51:47
12827,2024,NED.W.1,20797,309908,21,0,0,1,1,0,0,0,0,0,0,0,144,108,43,2025-05-13 04:51:46
12827,2024,NED.W.1,20796,309910,9,8,1,2,0,0,0,0,0,4,5,0,0,0,4,2025-05-13 04:51:44
12827,2024,NED.W.1,20802,309911,8,0,5,5,0,0,0,3,7,9,20,4,0,0,5,2025-05-13 04:51:47
12827,2024,NED.W.1,20984,309913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-07 05:41:34
12827,2024,NED.W.1,20799,309914,20,0,7,23,3,0,0,1,9,23,51,7,0,0,64,2025-05-13 04:51:44
12827,2024,NED.W.1,20114,309915,9,0,4,11,0,0,0,1,0,8,19,3,0,0,8,2025-01-11 05:41:24
12827,2024,NED.W.1,20796,309916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:44
12827,2024,NED.W.1,20114,309920,7,7,1,3,0,0,0,1,0,0,1,0,0,0,0,2025-05-13 04:51:45
12827,2024,NED.W.1,20802,309927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:47
12827,2024,NED.W.1,20114,309930,7,7,1,2,1,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:51:45
12827,2024,NED.W.1,21584,309931,19,1,13,5,4,0,0,2,2,2,11,2,0,2,27,2025-05-13 04:51:46
12827,2024,NED.W.1,20984,309934,20,0,30,30,4,1,0,3,2,1,7,0,0,2,21,2025-05-13 04:51:45
12827,2024,NED.W.1,20797,309935,20,0,13,16,2,0,0,1,1,3,10,1,0,6,39,2025-05-13 04:51:46
12827,2024,NED.W.1,20800,309936,21,2,13,14,0,0,0,4,10,18,38,10,0,1,45,2025-05-13 04:51:46
12827,2024,NED.W.1,20797,309938,17,12,5,10,1,0,0,1,3,3,16,0,0,0,16,2025-05-13 04:51:46
12827,2024,NED.W.1,20796,309939,20,2,32,16,1,0,0,4,3,11,27,3,0,0,20,2025-05-13 04:51:44
12827,2024,NED.W.1,20114,309941,14,0,0,3,0,0,0,0,0,0,0,0,37,38,10,2025-05-13 04:51:45
12827,2024,NED.W.1,21978,309942,21,0,25,18,4,0,0,7,11,13,33,6,0,0,20,2025-05-13 04:51:45
12827,2024,NED.W.1,20802,309947,21,0,14,11,3,0,0,0,3,7,20,3,0,1,9,2025-05-13 04:51:47
12827,2024,NED.W.1,20802,309948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:47
12827,2024,NED.W.1,20802,309950,19,4,16,6,0,0,0,3,6,20,41,9,0,0,5,2025-05-13 04:51:47
12827,2024,NED.W.1,20114,309953,20,1,11,6,2,0,0,6,9,26,64,6,0,0,16,2025-05-13 04:51:45
12827,2024,NED.W.1,20796,309954,20,1,11,10,1,0,0,4,6,39,82,13,0,0,17,2025-05-13 04:51:44
12827,2024,NED.W.1,20796,309955,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:44
12827,2024,NED.W.1,21978,309956,17,15,7,1,2,0,0,1,0,5,16,1,0,0,2,2025-05-13 04:51:45
12827,2024,NED.W.1,20114,309958,21,1,20,6,0,0,0,9,2,10,22,3,0,2,16,2025-05-13 04:51:45
12827,2024,NED.W.1,20800,309960,21,1,6,10,1,0,0,1,6,8,15,2,0,4,45,2025-05-13 04:51:46
12827,2024,NED.W.1,20114,309964,20,14,4,11,0,0,0,2,3,21,34,10,0,0,8,2025-05-13 04:51:45
12827,2024,NED.W.1,20984,309965,10,9,6,2,0,0,0,2,1,6,8,1,0,0,2,2025-05-13 04:51:45
12827,2024,NED.W.1,20796,309967,9,6,1,1,1,0,0,0,1,2,2,1,0,2,3,2025-05-13 04:51:44
12827,2024,NED.W.1,20800,309968,21,0,12,9,2,0,1,4,5,1,7,0,0,9,50,2025-05-13 04:51:46
12827,2024,NED.W.1,20797,309969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:46
12827,2024,NED.W.1,20114,309970,21,1,35,21,2,0,0,5,0,7,18,2,0,3,17,2025-05-13 04:51:45
12827,2024,NED.W.1,20799,309977,17,0,29,31,2,1,0,3,2,8,31,0,0,1,46,2025-05-13 04:51:44
12827,2024,NED.W.1,20796,309978,12,0,10,18,1,0,0,1,6,14,21,3,0,0,9,2025-02-02 14:49:22
