seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12761,2024,POR.1,21610,28261,13,0,0,1,0,0,0,0,1,0,0,0,158,38,13,2025-05-13 04:46:50
12761,2024,POR.1,21581,46976,1,0,1,0,0,1,0,0,1,0,0,0,6,1,1,2025-05-13 04:46:49
12761,2024,POR.1,2994,50959,21,3,34,16,5,1,0,2,1,1,12,1,0,4,16,2025-05-13 04:46:48
12761,2024,POR.1,20740,52727,14,9,8,13,1,0,0,1,1,8,21,2,0,1,7,2025-05-13 04:46:52
12761,2024,POR.1,21610,67716,9,5,5,14,3,0,0,0,2,1,5,1,0,2,10,2024-12-07 06:00:38
12761,2024,POR.1,12698,71067,16,13,2,7,0,0,0,2,0,5,11,2,0,0,8,2025-02-13 05:45:50
12761,2024,POR.1,3699,77266,30,14,25,22,2,1,0,2,1,7,27,3,0,1,19,2025-05-13 04:46:51
12761,2024,POR.1,5309,82009,24,18,18,17,2,0,0,2,2,8,41,3,0,2,6,2025-05-13 04:46:51
12761,2024,POR.1,22064,82720,31,0,20,21,5,0,0,1,3,4,11,1,0,16,53,2025-05-13 04:46:46
12761,2024,POR.1,437,88865,25,5,33,40,6,0,0,4,1,13,46,4,0,3,18,2025-05-13 04:46:50
12761,2024,POR.1,2994,92335,20,0,22,8,5,0,0,0,1,4,13,1,0,13,16,2025-05-13 04:46:48
12761,2024,POR.1,15784,92994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:47
12761,2024,POR.1,3696,98407,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-09-01 04:55:15
12761,2024,POR.1,2994,98573,30,16,18,30,4,0,0,2,2,20,34,4,0,1,17,2025-05-13 04:46:48
12761,2024,POR.1,437,101317,10,0,8,4,0,0,0,0,0,1,6,1,0,4,11,2025-05-13 04:46:50
12761,2024,POR.1,437,102368,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-16 08:45:19
12761,2024,POR.1,21581,104172,24,1,14,9,5,1,0,0,1,4,9,0,0,20,27,2025-05-13 04:46:49
12761,2024,POR.1,12698,105237,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:46:50
12761,2024,POR.1,20995,105756,15,4,22,8,7,0,0,0,4,0,1,0,0,4,8,2024-07-13 02:50:09
12761,2024,POR.1,12705,107995,30,6,24,25,8,0,0,1,1,10,34,3,0,10,52,2024-07-13 02:50:06
12761,2024,POR.1,1929,108223,24,4,15,28,5,0,0,4,6,16,62,8,0,0,17,2025-05-13 04:46:47
12761,2024,POR.1,20740,116745,23,6,26,37,4,0,0,0,2,1,4,0,0,5,16,2025-05-13 04:46:52
12761,2024,POR.1,1929,119289,30,1,25,24,3,0,0,2,3,13,30,6,0,14,24,2025-05-13 04:46:47
12761,2024,POR.1,15784,119440,24,1,36,25,8,0,0,0,3,2,11,1,0,5,25,2025-05-13 04:46:47
12761,2024,POR.1,12705,123865,32,0,18,32,2,0,0,0,0,27,69,14,0,4,60,2024-07-13 02:50:06
12761,2024,POR.1,5309,123988,6,1,3,1,0,0,0,0,0,0,1,0,0,1,7,2025-02-01 14:45:02
12761,2024,POR.1,3472,124019,13,10,8,5,1,0,0,1,1,1,4,1,0,3,11,2025-05-13 04:46:49
12761,2024,POR.1,22064,124021,17,9,22,12,3,0,0,1,0,7,33,4,0,0,14,2025-05-13 04:46:46
12761,2024,POR.1,12705,124085,27,0,25,23,8,0,0,0,5,0,6,0,0,15,40,2024-07-13 02:50:06
12761,2024,POR.1,21610,124161,14,1,9,16,2,0,0,0,2,0,5,0,0,8,12,2025-05-13 04:46:50
12761,2024,POR.1,2250,124204,7,3,3,3,0,0,0,0,0,1,7,0,0,0,0,2025-05-13 04:46:53
12761,2024,POR.1,15784,124228,20,13,16,7,4,1,0,0,1,1,11,0,0,5,16,2025-05-13 04:46:47
12761,2024,POR.1,12216,127479,9,5,14,0,4,0,0,0,1,0,0,0,0,6,5,2025-05-13 04:46:50
12761,2024,POR.1,5309,127575,30,10,31,44,4,0,0,4,1,13,42,3,0,1,17,2025-05-13 04:46:51
12761,2024,POR.1,22064,137038,22,0,0,4,4,0,0,0,2,0,0,0,270,66,41,2025-05-13 04:46:46
12761,2024,POR.1,3719,137337,32,0,36,42,11,0,1,6,5,24,82,10,0,3,60,2024-07-13 02:50:07
12761,2024,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:46
12761,2024,POR.1,437,139008,26,8,27,27,5,0,0,3,3,3,16,0,0,2,20,2025-05-13 04:46:50
12761,2024,POR.1,21610,139023,24,4,18,17,3,1,0,2,6,1,3,0,0,9,29,2025-05-13 04:46:50
12761,2024,POR.1,3696,140009,18,10,14,30,1,0,0,1,2,5,17,3,0,1,13,2025-01-29 14:43:43
12761,2024,POR.1,22064,140164,12,5,8,6,3,1,0,0,0,1,8,0,0,5,19,2025-05-13 04:46:46
12761,2024,POR.1,12216,141624,29,0,0,2,3,0,0,0,1,0,0,0,318,86,46,2025-05-13 04:46:50
12761,2024,POR.1,437,142670,2,0,1,0,1,0,0,0,0,0,0,0,14,5,3,2025-05-13 04:46:50
12761,2024,POR.1,3696,144905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:51
12761,2024,POR.1,2256,146519,10,2,11,9,2,0,0,1,0,1,11,1,0,1,10,2025-05-13 04:46:48
12761,2024,POR.1,2256,147180,11,3,13,11,1,0,0,0,4,10,16,1,0,0,16,2025-05-13 04:46:48
12761,2024,POR.1,22064,148151,24,9,14,32,3,0,0,1,0,11,32,3,0,3,27,2025-05-13 04:46:46
12761,2024,POR.1,21581,149660,25,13,12,12,5,0,0,1,3,1,3,0,0,5,13,2025-05-13 04:46:49
12761,2024,POR.1,2994,151272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:48
12761,2024,POR.1,20740,151321,23,5,30,48,1,0,0,0,6,8,29,3,0,2,28,2025-05-13 04:46:52
12761,2024,POR.1,2256,152582,4,2,4,0,2,0,0,0,0,0,1,0,0,0,3,2025-05-13 04:46:48
12761,2024,POR.1,21610,154912,26,9,32,37,12,0,0,2,2,4,21,1,0,3,14,2025-05-13 04:46:50
12761,2024,POR.1,2256,156818,28,5,23,52,7,2,0,0,6,4,13,1,0,9,37,2025-05-13 04:46:48
12761,2024,POR.1,2256,157206,11,0,0,2,1,0,0,0,1,0,0,0,174,52,17,2025-05-13 04:46:48
12761,2024,POR.1,21581,158004,5,2,1,1,1,0,0,0,0,1,6,1,0,1,6,2025-01-09 05:40:54
12761,2024,POR.1,3822,158104,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-05-13 04:46:52
12761,2024,POR.1,3699,158120,28,0,11,12,4,1,0,1,1,4,17,1,0,17,37,2025-05-13 04:46:51
12761,2024,POR.1,2994,158174,17,0,0,5,1,0,0,0,0,0,0,0,162,49,18,2025-02-06 05:41:44
12761,2024,POR.1,3696,158211,4,0,0,2,0,0,0,0,1,0,0,0,46,12,8,2025-05-13 04:46:51
12761,2024,POR.1,3719,159332,20,0,0,2,1,0,1,0,3,1,1,0,239,61,36,2024-07-13 02:50:07
12761,2024,POR.1,3719,159754,26,3,37,13,11,0,0,2,3,6,15,1,0,4,31,2024-07-13 02:50:07
12761,2024,POR.1,15784,163796,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2025-05-13 04:46:47
12761,2024,POR.1,20995,164386,7,7,0,0,0,0,0,0,0,1,1,0,0,0,2,2024-07-13 02:50:09
12761,2024,POR.1,2256,165083,31,1,24,46,9,1,0,2,10,5,30,1,0,1,43,2025-05-13 04:46:48
12761,2024,POR.1,3472,165576,12,12,9,5,3,0,0,0,0,1,2,1,0,2,5,2025-05-13 04:46:49
12761,2024,POR.1,5309,165799,33,0,0,9,3,0,0,0,2,0,1,0,272,61,35,2025-05-13 04:46:51
12761,2024,POR.1,2250,169400,9,7,3,1,0,1,1,0,0,1,1,0,0,0,2,2025-05-13 04:46:53
12761,2024,POR.1,1929,169402,2,0,1,2,1,0,0,0,0,2,2,0,0,0,2,2024-09-05 04:54:15
12761,2024,POR.1,20740,169992,23,2,38,10,9,0,0,0,4,1,10,1,0,6,21,2025-05-13 04:46:52
12761,2024,POR.1,22064,170646,29,3,26,39,3,0,0,3,1,6,25,0,0,5,37,2025-05-13 04:46:46
12761,2024,POR.1,1929,170755,13,9,8,18,0,0,0,0,0,14,25,3,0,0,4,2025-05-13 04:46:47
12761,2024,POR.1,3472,173228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:49
12761,2024,POR.1,20740,174288,31,0,63,14,9,1,0,2,5,6,34,1,0,24,40,2025-05-13 04:46:52
12761,2024,POR.1,22064,175220,8,6,0,1,1,0,0,0,0,0,4,0,0,2,7,2025-01-07 05:37:03
12761,2024,POR.1,20740,176423,13,0,8,16,3,0,0,0,6,8,25,1,0,0,12,2025-05-13 04:46:52
12761,2024,POR.1,2256,177456,7,5,5,4,1,1,0,0,0,1,3,0,0,2,2,2025-05-13 04:46:48
12761,2024,POR.1,12705,177456,20,5,15,5,4,1,0,0,7,4,15,1,0,16,42,2024-07-13 02:50:06
12761,2024,POR.1,3696,177563,32,0,36,26,8,0,0,0,2,2,7,1,0,33,48,2025-05-13 04:46:51
12761,2024,POR.1,20740,177746,26,12,24,38,2,0,0,3,1,7,14,3,0,2,16,2025-05-13 04:46:52
12761,2024,POR.1,12705,177791,23,4,25,37,6,1,0,1,3,6,20,1,0,0,37,2024-07-13 02:50:06
12761,2024,POR.1,2250,177898,16,0,0,2,2,0,1,0,0,1,1,0,121,21,11,2025-05-13 04:46:53
12761,2024,POR.1,12215,177918,25,5,17,1,4,0,0,0,1,2,5,0,0,5,16,2025-05-13 04:46:52
12761,2024,POR.1,3822,180051,9,9,3,1,2,0,0,0,0,3,4,1,0,0,2,2025-01-15 05:30:37
12761,2024,POR.1,2256,180587,7,2,7,3,2,0,0,0,2,1,2,1,0,5,6,2025-05-13 04:46:48
12761,2024,POR.1,5309,180698,18,4,9,11,7,0,0,0,3,4,8,0,0,2,14,2025-05-13 04:46:51
12761,2024,POR.1,12215,181290,29,0,38,15,10,1,0,0,3,4,12,0,0,18,27,2025-05-13 04:46:52
12761,2024,POR.1,437,181757,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-08-28 04:50:12
12761,2024,POR.1,3699,181862,18,3,14,9,2,0,0,0,4,2,5,1,0,13,19,2025-05-13 04:46:51
12761,2024,POR.1,3699,183070,20,1,18,8,1,0,0,1,0,0,7,0,0,19,29,2025-05-13 04:46:51
12761,2024,POR.1,1929,183640,26,8,13,22,1,0,0,7,7,20,59,8,0,1,16,2025-05-13 04:46:47
12761,2024,POR.1,2994,183640,17,4,8,12,1,0,0,5,6,14,42,7,0,1,12,2025-02-03 14:45:32
12761,2024,POR.1,20740,183972,20,14,14,10,5,0,0,1,2,1,8,1,0,3,12,2025-05-13 04:46:52
12761,2024,POR.1,3822,184036,18,0,16,4,3,0,2,0,7,4,14,0,0,13,28,2025-01-23 05:32:20
12761,2024,POR.1,22064,184036,28,2,23,5,4,0,3,0,7,5,17,0,0,26,39,2025-05-13 04:46:46
12761,2024,POR.1,2994,184423,33,2,24,32,2,0,0,6,10,20,47,10,0,3,27,2025-05-13 04:46:48
12761,2024,POR.1,12216,185343,27,1,24,41,6,1,0,2,7,11,29,6,0,3,38,2025-05-13 04:46:50
12761,2024,POR.1,22064,185902,25,5,32,15,3,0,0,2,6,1,14,1,0,9,35,2025-05-13 04:46:46
12761,2024,POR.1,15784,186840,31,7,21,56,5,0,0,2,4,14,47,5,0,7,37,2025-05-13 04:46:47
12761,2024,POR.1,2256,189463,26,1,11,10,2,0,1,0,7,3,10,0,0,6,39,2025-05-13 04:46:48
12761,2024,POR.1,5309,189474,29,3,29,45,6,1,0,4,6,11,25,5,0,5,24,2025-05-13 04:46:51
12761,2024,POR.1,22064,192419,8,2,7,7,3,0,0,0,1,0,3,0,0,2,6,2025-01-17 05:49:27
12761,2024,POR.1,15784,195354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-01 05:38:56
12761,2024,POR.1,2256,197234,10,8,2,9,0,0,0,0,0,1,2,0,0,1,7,2025-05-13 04:46:48
12761,2024,POR.1,3822,198154,13,5,13,3,2,1,0,0,1,0,1,0,0,5,11,2025-01-24 16:53:22
12761,2024,POR.1,21610,198154,23,7,24,14,3,1,0,0,2,0,3,0,0,7,17,2025-05-13 04:46:50
12761,2024,POR.1,2256,199042,16,0,0,2,1,0,0,0,4,0,0,0,193,51,28,2025-05-13 04:46:48
12761,2024,POR.1,437,199065,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-06 05:41:46
12761,2024,POR.1,22064,199532,9,6,2,5,0,0,0,0,1,0,0,0,0,0,6,2025-05-13 04:46:46
12761,2024,POR.1,2250,200939,29,15,22,14,5,1,0,2,2,0,7,0,0,3,17,2025-05-13 04:46:53
12761,2024,POR.1,1929,201304,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2024-09-01 04:55:15
12761,2024,POR.1,3719,201385,14,0,0,2,1,0,0,0,1,0,0,0,184,50,31,2024-07-13 02:50:07
12761,2024,POR.1,21610,201680,18,0,0,8,0,0,0,0,0,0,0,0,190,57,29,2025-01-29 14:43:42
12761,2024,POR.1,20740,201704,9,4,7,8,4,0,0,0,0,2,5,1,0,3,6,2025-05-13 04:46:52
