seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13085,2025,JPN.1,7112,90660,11,6,9,5,0,0,0,0,0,3,10,1,0,0,4,2025-05-13 04:49:44
13085,2025,JPN.1,7145,98670,7,7,3,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:49:48
13085,2025,JPN.1,7108,102137,6,0,0,1,0,0,0,0,0,0,0,0,0,18,14,2025-05-13 04:49:46
13085,2025,JPN.1,7109,102139,12,7,6,6,2,0,0,0,0,1,5,1,0,0,9,2025-05-13 04:49:42
13085,2025,JPN.1,7112,102608,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2025-05-13 04:49:44
13085,2025,JPN.1,7102,117024,16,9,14,4,1,0,0,0,0,7,18,2,0,0,11,2025-05-13 04:49:43
13085,2025,JPN.1,3384,119082,9,4,9,4,2,0,0,0,0,0,2,0,0,0,3,2025-05-13 04:49:43
13085,2025,JPN.1,3385,120750,15,0,0,1,0,0,1,0,0,0,0,0,0,31,11,2025-05-13 04:49:47
13085,2025,JPN.1,7107,123022,12,9,13,3,1,0,0,1,0,5,15,0,0,0,4,2025-05-13 04:49:42
13085,2025,JPN.1,7477,133286,13,5,7,25,0,0,0,1,0,9,30,1,0,0,8,2025-05-13 04:49:47
13085,2025,JPN.1,7109,134364,9,2,2,9,1,0,0,0,0,0,2,0,0,0,6,2025-05-13 04:49:42
13085,2025,JPN.1,7102,135355,12,4,9,9,1,0,0,1,0,5,12,2,0,0,17,2025-05-13 04:49:43
13085,2025,JPN.1,7114,135806,4,1,3,5,2,0,0,0,0,2,8,1,0,0,2,2025-05-13 04:49:46
13085,2025,JPN.1,7107,137006,5,2,5,6,0,0,0,0,0,1,6,1,0,0,1,2025-05-13 04:49:42
13085,2025,JPN.1,3384,138203,7,6,4,1,1,0,0,0,0,0,1,0,0,0,4,2025-05-13 04:49:43
13085,2025,JPN.1,21361,140237,13,8,11,0,2,0,0,0,0,1,2,1,0,0,6,2025-05-13 04:49:45
