seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12724,2024,SCO.1,264,7331,16,2,8,11,3,0,0,0,0,5,13,4,0,0,20,2025-05-02 04:49:09
12724,2024,SCO.1,259,15327,29,3,30,7,11,0,0,1,1,4,15,0,0,0,46,2024-07-13 02:56:32
12724,2024,SCO.1,257,16264,8,0,0,2,0,0,0,0,0,0,0,0,0,13,9,2025-05-02 04:49:11
12724,2024,SCO.1,262,17617,32,0,1,4,1,0,0,0,0,0,0,0,0,75,42,2025-05-02 04:49:09
12724,2024,SCO.1,264,17902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-02 04:49:09
12724,2024,SCO.1,263,26027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-04 05:41:05
12724,2024,SCO.1,250,29239,30,2,31,19,5,0,0,1,0,5,20,1,0,0,39,2025-05-02 04:49:12
12724,2024,SCO.1,259,38397,28,11,20,5,1,0,0,2,1,4,20,2,0,0,30,2024-07-13 02:56:32
12724,2024,SCO.1,256,40200,30,0,0,2,0,0,0,0,0,0,0,0,0,68,20,2025-05-02 04:49:08
12724,2024,SCO.1,261,40299,3,0,3,2,1,0,0,0,0,0,2,0,0,0,5,2025-02-12 05:41:33
12724,2024,SCO.1,259,42193,3,1,0,0,0,0,0,0,0,0,0,0,0,3,8,2024-07-13 02:56:32
12724,2024,SCO.1,263,43235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-20 05:04:53
12724,2024,SCO.1,261,46115,18,0,0,3,2,0,0,1,0,0,0,0,0,63,38,2025-05-02 04:49:09
12724,2024,SCO.1,267,82553,15,2,6,9,0,0,0,0,0,0,2,0,0,0,24,2025-01-04 05:41:09
12724,2024,SCO.1,256,82568,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-08-30 05:04:10
12724,2024,SCO.1,256,84049,31,1,11,21,3,0,0,3,0,10,34,8,0,0,19,2025-05-02 04:49:08
12724,2024,SCO.1,261,92717,4,3,2,3,0,0,0,0,0,0,0,0,0,0,3,2025-05-02 04:49:09
12724,2024,SCO.1,260,103404,31,12,25,16,3,0,0,1,0,8,17,3,0,0,38,2025-05-02 04:49:10
12724,2024,SCO.1,267,103469,20,4,3,10,2,0,0,1,0,4,12,0,0,0,34,2025-05-02 04:49:12
12724,2024,SCO.1,259,108365,33,9,17,29,3,0,0,0,0,5,12,3,0,0,40,2024-07-13 02:56:32
12724,2024,SCO.1,258,116662,24,8,18,24,1,0,0,2,0,4,31,4,0,0,12,2025-05-02 04:49:10
12724,2024,SCO.1,267,118996,13,3,3,15,2,0,0,0,0,1,2,0,0,0,13,2025-05-02 04:49:12
12724,2024,SCO.1,261,119083,14,10,7,9,1,0,0,0,0,6,13,2,0,0,6,2025-01-26 05:35:01
12724,2024,SCO.1,256,119088,25,4,14,22,5,0,0,7,0,3,12,0,0,0,8,2025-05-02 04:49:08
12724,2024,SCO.1,257,121550,16,7,12,11,1,0,0,1,0,2,11,1,0,0,7,2025-05-02 04:49:11
12724,2024,SCO.1,260,123113,27,5,31,19,3,0,0,1,0,14,44,4,0,0,37,2025-05-02 04:49:10
12724,2024,SCO.1,266,126345,10,3,2,6,1,0,0,0,0,1,3,1,0,0,10,2025-05-02 04:49:11
12724,2024,SCO.1,259,126421,24,13,9,27,1,0,0,1,5,9,21,1,0,0,22,2024-07-13 02:56:32
