seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13041,2025,UEFA.W.NATIONS,7151,95226,4,2,2,0,0,0,0,0,0,2,4,1,0,0,3,2025-05-10 04:55:21
13041,2025,UEFA.W.NATIONS,7536,97447,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2025-05-10 04:55:15
13041,2025,UEFA.W.NATIONS,2762,134349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:55:22
13041,2025,UEFA.W.NATIONS,2764,140019,4,2,0,1,0,0,0,0,0,2,5,1,0,0,2,2025-05-10 04:55:25
13041,2025,UEFA.W.NATIONS,2896,140056,3,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2025-05-10 04:55:13
13041,2025,UEFA.W.NATIONS,2764,158762,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,2025-05-10 04:55:25
13041,2025,UEFA.W.NATIONS,2764,158770,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-10 04:55:25
13041,2025,UEFA.W.NATIONS,2755,158816,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-04-06 04:54:18
13041,2025,UEFA.W.NATIONS,2755,158820,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:55:15
13041,2025,UEFA.W.NATIONS,2764,188004,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2025-05-10 04:55:25
13041,2025,UEFA.W.NATIONS,2762,188067,2,0,3,1,0,0,0,0,0,1,2,0,0,0,0,2025-05-10 04:55:22
13041,2025,UEFA.W.NATIONS,5159,188448,4,0,6,4,1,0,0,2,0,1,6,1,0,0,3,2025-05-10 04:55:13
13041,2025,UEFA.W.NATIONS,7151,209165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:55:21
13041,2025,UEFA.W.NATIONS,4178,209174,4,0,0,1,0,0,0,0,0,0,0,0,0,7,5,2025-05-10 04:55:23
13041,2025,UEFA.W.NATIONS,19345,210367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:55:22
13041,2025,UEFA.W.NATIONS,12633,210382,4,0,2,1,0,0,1,0,0,0,0,0,0,0,13,2025-05-10 04:55:24
13041,2025,UEFA.W.NATIONS,20921,211326,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2025-05-10 04:55:25
