seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13099,2025,USA.USL.L1,20000,3400,5,4,1,3,0,0,0,0,0,0,1,0,0,0,2,2025-05-13 04:47:20
13099,2025,USA.USL.L1,20000,6477,6,0,0,1,0,0,0,0,0,0,0,0,0,8,6,2025-05-13 04:47:20
13099,2025,USA.USL.L1,19995,23425,6,3,6,6,3,0,0,0,0,1,5,0,0,0,4,2025-05-13 04:47:21
13099,2025,USA.USL.L1,22524,38846,6,0,5,6,2,0,0,0,0,2,4,1,0,0,12,2025-05-13 04:47:24
13099,2025,USA.USL.L1,22526,95831,2,0,0,2,0,0,0,0,0,0,1,0,0,0,3,2025-05-13 04:47:19
13099,2025,USA.USL.L1,17545,111009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:22
13099,2025,USA.USL.L1,20000,116861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:20
13099,2025,USA.USL.L1,19964,121216,7,1,18,4,4,0,0,1,0,6,13,3,0,0,8,2025-05-13 04:47:21
13099,2025,USA.USL.L1,20684,128060,5,2,2,5,0,0,0,0,0,2,8,1,0,0,5,2025-05-13 04:47:24
13099,2025,USA.USL.L1,22526,133285,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:19
13099,2025,USA.USL.L1,22524,139450,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2025-05-13 04:47:24
13099,2025,USA.USL.L1,21821,144441,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:47:22
13099,2025,USA.USL.L1,22524,145151,6,0,10,1,2,1,0,0,0,1,3,0,0,0,12,2025-05-13 04:47:24
13099,2025,USA.USL.L1,22525,145377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:20
13099,2025,USA.USL.L1,22130,146469,8,0,2,5,1,0,0,0,0,6,14,3,0,0,6,2025-05-13 04:47:23
13099,2025,USA.USL.L1,19181,150495,5,5,0,3,0,0,0,0,0,1,2,0,0,0,1,2025-05-13 04:47:23
13099,2025,USA.USL.L1,22130,159305,8,0,2,5,1,0,0,1,0,2,9,0,0,0,5,2025-05-13 04:47:23
13099,2025,USA.USL.L1,17545,159576,9,3,8,15,0,0,0,0,0,9,24,2,0,0,11,2025-05-13 04:47:22
13099,2025,USA.USL.L1,19964,171649,7,0,8,7,2,0,0,0,0,0,1,0,0,0,9,2025-05-13 04:47:21
13099,2025,USA.USL.L1,22524,171687,3,2,3,1,0,0,0,0,0,0,1,0,0,0,2,2025-05-13 04:47:24
13099,2025,USA.USL.L1,19964,171799,5,3,4,9,0,0,0,0,0,2,4,1,0,0,4,2025-05-13 04:47:21
