seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13259,734946,1,44971439,80,First Half begins.,,1,0,,0,0,0,2025-04-08 03:05:32,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-04-27 04:58:14
13259,734946,2,44971462,68,"Offside, Lexington. Braudílio Rodrigues is caught offside.",Eliot Goldthorp Offside,1,116,2',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.3,0.091,0.256,0.162,280669.0,Eliot Goldthorp,2025-04-27 04:58:14
13259,734946,3,44971476,66,Sofiane Djeffal (Lexington) wins a free kick in the defensive half.,Cristian Ortiz Foul,1,183,4',22543,0,0,2025-04-08 03:05:51,0.0,0.0,0.232,0.598,0.0,0.0,381580.0,Cristian Ortiz,2025-04-27 04:58:14
13259,734946,3,44971476,66,Sofiane Djeffal (Lexington) wins a free kick in the defensive half.,Cristian Ortiz Foul,1,183,4',22543,0,0,2025-04-08 03:05:51,0.0,0.0,0.232,0.598,0.0,0.0,,Sofiane Djeffal,2025-04-27 04:58:14
13259,734946,4,44971493,66,Keesean Ferdinand (Columbus Crew 2) wins a free kick in the defensive half.,Michael Adedokun Foul,1,267,5',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.6,0.851,0.0,0.0,398656.0,Michael Adedokun,2025-04-27 04:58:14
13259,734946,4,44971493,66,Keesean Ferdinand (Columbus Crew 2) wins a free kick in the defensive half.,Michael Adedokun Foul,1,267,5',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.6,0.851,0.0,0.0,,Keesean Ferdinand,2025-04-27 04:58:14
13259,734946,5,44971518,66,Foul by Sofiane Djeffal (Lexington).,Sofiane Djeffal Foul,1,314,6',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.792,0.478,0.0,0.0,333740.0,Sofiane Djeffal,2025-04-27 04:58:14
13259,734946,5,44971518,66,Foul by Sofiane Djeffal (Lexington).,Sofiane Djeffal Foul,1,314,6',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.792,0.478,0.0,0.0,,Chase Adams,2025-04-27 04:58:14
13259,734946,6,44971520,66,Ibrahima Sy (Columbus Crew 2) wins a free kick in the attacking half.,Sofiane Djeffal Foul,1,342,6',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.886,0.272,0.0,0.0,333740.0,Sofiane Djeffal,2025-04-27 04:58:14
13259,734946,6,44971520,66,Ibrahima Sy (Columbus Crew 2) wins a free kick in the attacking half.,Sofiane Djeffal Foul,1,342,6',21822,0,0,2025-04-08 03:05:51,0.0,0.0,0.886,0.272,0.0,0.0,,Ibrahima Sy,2025-04-27 04:58:14
13259,734946,7,44971533,70,"Goal! Columbus Crew 2 1, Lexington 0. Owen Presthus (Columbus Crew 2) left footed shot from outside the box to the bottom right corner. Assisted by Chase Adams.",Owen Presthus Goal,1,376,7',22543,0,0,2025-04-08 03:05:51,0.0,0.0,0.394,0.53,0.0,0.536,391430.0,Owen Presthus,2025-04-27 04:58:14
