seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13095,726116,1,44839564,94,Alex Dalou (FC Tulsa) Yellow Card at 24',Alex Dalou Yellow Card,1,1440,24',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,361245.0,Alex Dalou,2025-03-10 04:50:51
13095,726116,2,44839603,70,Alex Dalou (FC Tulsa) Goal at 25',Alex Dalou Goal,1,1500,25',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,361245.0,Alex Dalou,2025-03-10 04:50:51
13095,726116,3,44839753,94,Dariusz Formella (Phoenix Rising FC) Yellow Card at 34',Dariusz Formella Yellow Card,1,2040,34',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,191170.0,Dariusz Formella,2025-03-10 04:50:51
13095,726116,4,44840445,76,Edwin Laszo (FC Tulsa) Substitution at 61',Edwin Laszo Substitution,2,3660,61',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,313020.0,Edwin Laszo,2025-03-10 04:50:51
13095,726116,4,44840445,76,Edwin Laszo (FC Tulsa) Substitution at 61',Edwin Laszo Substitution,2,3660,61',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,361245.0,Alex Dalou,2025-03-10 04:50:51
13095,726116,5,44840484,94,Abdoulaye Cissoko (FC Tulsa) Yellow Card at 66',Abdoulaye Cissoko Yellow Card,2,3960,66',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,141815.0,Abdoulaye Cissoko,2025-03-10 04:50:51
13095,726116,6,44840522,76,Delentz Pierre (FC Tulsa) Substitution at 68',Delentz Pierre Substitution,2,4080,68',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,280514.0,Delentz Pierre,2025-03-10 04:50:51
13095,726116,7,44840545,76,Kalil ElMedkhar (FC Tulsa) Substitution at 68',Kalil ElMedkhar Substitution,2,4080,68',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,264411.0,Kalil ElMedkhar,2025-03-10 04:50:51
13095,726116,6,44840522,76,Delentz Pierre (FC Tulsa) Substitution at 68',Delentz Pierre Substitution,2,4080,68',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,141815.0,Abdoulaye Cissoko,2025-03-10 04:50:51
13095,726116,7,44840545,76,Kalil ElMedkhar (FC Tulsa) Substitution at 68',Kalil ElMedkhar Substitution,2,4080,68',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,381688.0,Taylor Calheira,2025-03-10 04:50:51
13095,726116,8,44840546,76,Ihsan Sacko (Phoenix Rising FC) Substitution at 71',Ihsan Sacko Substitution,2,4260,71',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,240157.0,Ihsan Sacko,2025-03-10 04:50:51
13095,726116,9,44840547,76,Darius Johnson (Phoenix Rising FC) Substitution at 71',Darius Johnson Substitution,2,4260,71',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,290745.0,Darius Johnson,2025-03-10 04:50:51
13095,726116,8,44840546,76,Ihsan Sacko (Phoenix Rising FC) Substitution at 71',Ihsan Sacko Substitution,2,4260,71',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,319548.0,Rémi Cabral,2025-03-10 04:50:51
13095,726116,9,44840547,76,Darius Johnson (Phoenix Rising FC) Substitution at 71',Darius Johnson Substitution,2,4260,71',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,299185.0,Damian Rivera,2025-03-10 04:50:51
13095,726116,10,44840560,76,Braxton Montgomery (Phoenix Rising FC) Substitution at 75',Braxton Montgomery Substitution,2,4500,75',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386212.0,Braxton Montgomery,2025-03-10 04:50:51
13095,726116,10,44840560,76,Braxton Montgomery (Phoenix Rising FC) Substitution at 75',Braxton Montgomery Substitution,2,4500,75',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,273474.0,Ryan Flood,2025-03-10 04:50:51
13095,726116,11,44840600,76,Charlie Dennis (Phoenix Rising FC) Substitution at 80',Charlie Dennis Substitution,2,4800,80',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,288190.0,Charlie Dennis,2025-03-10 04:50:51
13095,726116,11,44840600,76,Charlie Dennis (Phoenix Rising FC) Substitution at 80',Charlie Dennis Substitution,2,4800,80',17850,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,317487.0,Hope Avayevu,2025-03-10 04:50:51
13095,726116,12,44840672,76,Patrick Seagrist (FC Tulsa) Substitution at 89',Patrick Seagrist Substitution,2,5340,89',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303288.0,Patrick Seagrist,2025-03-10 04:50:51
13095,726116,13,44840673,76,Faysal Bettache (FC Tulsa) Substitution at 89',Faysal Bettache Substitution,2,5340,89',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,279142.0,Faysal Bettache,2025-03-10 04:50:51
13095,726116,12,44840672,76,Patrick Seagrist (FC Tulsa) Substitution at 89',Patrick Seagrist Substitution,2,5340,89',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318379.0,Owen Damm,2025-03-10 04:50:51
13095,726116,13,44840673,76,Faysal Bettache (FC Tulsa) Substitution at 89',Faysal Bettache Substitution,2,5340,89',18446,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,337175.0,Stefan Stojanovic,2025-03-10 04:50:51
13095,726117,1,44840197,94,Tyler Gibson (Oakland Roots) Yellow Card at 3',Tyler Gibson Yellow Card,1,180,3',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,235448.0,Tyler Gibson,2025-03-10 04:50:51
13095,726117,2,44840538,70,Ryan Doghman (Orange County SC) Goal at 28',Ryan Doghman Goal,1,1680,28',18455,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360144.0,Ryan Doghman,2025-03-10 04:50:51
13095,726117,3,44840771,70,Ethan Zubak (Orange County SC) Goal at 47',Ethan Zubak Goal,2,2820,47',18455,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,254285.0,Ethan Zubak,2025-03-10 04:50:51
13095,726117,4,44840803,70,Nico Benalcazar (Orange County SC) Goal at 52',Nico Benalcazar Goal,2,3120,52',18455,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,293702.0,Nico Benalcazar,2025-03-10 04:50:51
13095,726117,5,44840834,76,Wolfgang Prentice (Oakland Roots) Substitution at 57',Wolfgang Prentice Substitution,2,3420,57',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,296278.0,Wolfgang Prentice,2025-03-10 04:50:51
13095,726117,6,44840835,76,Emmanuel Johnson (Oakland Roots) Substitution at 57',Emmanuel Johnson Substitution,2,3420,57',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318482.0,Emmanuel Johnson,2025-03-10 04:50:51
13095,726117,5,44840834,76,Wolfgang Prentice (Oakland Roots) Substitution at 57',Wolfgang Prentice Substitution,2,3420,57',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,333735.0,Justin Rasmussen,2025-03-10 04:50:51
13095,726117,6,44840835,76,Emmanuel Johnson (Oakland Roots) Substitution at 57',Emmanuel Johnson Substitution,2,3420,57',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360628.0,Ali Elmasnaouy,2025-03-10 04:50:51
13095,726117,7,44840858,94,Emmanuel Johnson (Oakland Roots) Yellow Card at 59',Emmanuel Johnson Yellow Card,2,3540,59',20687,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318482.0,Emmanuel Johnson,2025-03-10 04:50:51
