seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13148,735658,0,-1,,Lineups are announced and players are warming up.,2025-05-12 04:52:04
13148,735658,1,-1,,First Half begins.,2025-05-12 04:52:04
13148,735658,2,45241437,4',Attempt missed. Ezequiel Cerutti (San Lorenzo) right footed shot from the centre of the box misses to the left. Assisted by Malcom Braida following a fast break.,2025-05-12 04:52:04
13148,735658,3,45230266,4',"Goal! San Lorenzo 1, Tigre 0. Andrés Vombergar (San Lorenzo) left footed shot from very close range to the bottom left corner. Assisted by Ezequiel Cerutti following a fast break.",2025-05-12 04:52:04
13148,735658,4,45231377,5',Foul by Lorenzo Scipioni (Tigre).,2025-05-12 04:52:04
13148,735658,5,45231377,5',Iker Muniain (San Lorenzo) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,6,45231428,5',Lorenzo Scipioni (Tigre) is shown the yellow card for a bad foul.,2025-05-12 04:52:04
13148,735658,7,45230246,6',Foul by Santiago González (Tigre).,2025-05-12 04:52:04
13148,735658,8,45230246,6',Nicolás Tripichio (San Lorenzo) wins a free kick in the attacking half.,2025-05-12 04:52:04
13148,735658,9,45230269,8',Elián Irala (San Lorenzo) wins a free kick in the attacking half.,2025-05-12 04:52:04
13148,735658,10,45230269,8',Foul by Lorenzo Scipioni (Tigre).,2025-05-12 04:52:04
13148,735658,11,45230345,11',"Attempt missed. Ezequiel Herrera (San Lorenzo) right footed shot from outside the box is close, but misses to the left. Assisted by Nicolás Tripichio.",2025-05-12 04:52:04
13148,735658,12,45230332,11',"Corner, San Lorenzo. Conceded by Felipe Zenobio.",2025-05-12 04:52:04
13148,735658,13,45230366,12',Foul by Elián Irala (San Lorenzo).,2025-05-12 04:52:04
13148,735658,14,45230366,12',Santiago González (Tigre) wins a free kick in the attacking half.,2025-05-12 04:52:04
13148,735658,15,45230367,12',Elián Irala (San Lorenzo) is shown the red card.,2025-05-12 04:52:04
13148,735658,16,45230394,15',Ezequiel Cerutti (San Lorenzo) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,17,45230394,15',Foul by Lorenzo Scipioni (Tigre).,2025-05-12 04:52:04
13148,735658,18,45230398,16',Ezequiel Cerutti (San Lorenzo) wins a free kick on the right wing.,2025-05-12 04:52:04
13148,735658,19,45230398,16',Foul by Santiago González (Tigre).,2025-05-12 04:52:04
13148,735658,20,45230437,17',Hand ball by Ezequiel Cerutti (San Lorenzo).,2025-05-12 04:52:04
13148,735658,21,45230548,20',Attempt saved. Ignacio Russo (Tigre) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Héctor Fértoli with a cross.,2025-05-12 04:52:04
13148,735658,22,45230507,20',Attempt blocked. Jabes Saralegui (Tigre) right footed shot from the right side of the six yard box is blocked.,2025-05-12 04:52:04
13148,735658,23,45230508,21',"Corner, Tigre. Conceded by Malcom Braida.",2025-05-12 04:52:04
13148,735658,24,45230565,27',Foul by Jabes Saralegui (Tigre).,2025-05-12 04:52:04
13148,735658,25,45230565,27',Nicolás Tripichio (San Lorenzo) wins a free kick on the left wing.,2025-05-12 04:52:04
13148,735658,26,45230576,28',Attempt saved. Andrés Vombergar (San Lorenzo) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Malcom Braida.,2025-05-12 04:52:04
13148,735658,27,45230591,29',"Offside, Tigre. Ignacio Russo is caught offside.",2025-05-12 04:52:04
13148,735658,28,45230612,33',Foul by Nicolás Tripichio (San Lorenzo).,2025-05-12 04:52:04
13148,735658,29,45230612,33',Santiago González (Tigre) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,30,45230667,34',Attempt missed. Santiago González (Tigre) right footed shot from outside the box misses to the right.,2025-05-12 04:52:04
13148,735658,31,45230713,38',Foul by Nicolás Tripichio (San Lorenzo).,2025-05-12 04:52:04
13148,735658,32,45230713,38',Ignacio Russo (Tigre) wins a free kick in the attacking half.,2025-05-12 04:52:04
13148,735658,33,45230794,39',Foul by Eric Ramírez (Tigre).,2025-05-12 04:52:04
13148,735658,34,45230794,39',Iker Muniain (San Lorenzo) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,35,-1,40',Delay in match because of an injury Orlando Gill (San Lorenzo).,2025-05-12 04:52:04
13148,735658,36,-1,41',Delay over. They are ready to continue.,2025-05-12 04:52:04
13148,735658,37,45230770,41',Foul by Andrés Vombergar (San Lorenzo).,2025-05-12 04:52:04
13148,735658,38,45230770,41',Lorenzo Scipioni (Tigre) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,39,45230810,44',Foul by Elías Báez (San Lorenzo).,2025-05-12 04:52:04
13148,735658,40,45230810,44',Valentín Moreno (Tigre) wins a free kick in the defensive half.,2025-05-12 04:52:04
13148,735658,41,-1,45',Fourth official has announced 3 minutes of added time.,2025-05-12 04:52:04
13148,735658,42,45230822,45'+1',"Corner, Tigre. Conceded by Gastón Hernández.",2025-05-12 04:52:04
13148,735658,43,45230991,45'+2',Attempt missed. Diego Sosa (Tigre) left footed shot from the centre of the box misses to the right following a corner.,2025-05-12 04:52:04
