seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13270,732590,0,-1,,Lineups are announced and players are warming up.,2025-04-01 04:58:24
13270,732590,1,44965100,,First Half begins.,2025-04-01 04:58:24
13270,732590,2,44965111,1',Attempt saved. Breno Bidon (Corinthians) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Talles Magno.,2025-04-02 04:58:38
13270,732590,3,44965122,2',Attempt saved. Luciano Rodríguez (Bahia) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Éverton Ribeiro with a through ball.,2025-04-02 04:58:38
13270,732590,4,44965136,4',Attempt saved. Erick Pulga (Bahia) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Santiago Ramos Mingo.,2025-04-02 04:58:38
13270,732590,5,44965162,5',Breno Bidon (Corinthians) wins a free kick in the defensive half.,2025-04-01 04:58:24
13270,732590,6,44965162,5',Foul by Santiago Ramos Mingo (Bahia).,2025-04-01 04:58:24
13270,732590,7,44965170,7',Foul by Kanu (Bahia).,2025-04-01 04:58:24
13270,732590,8,44965170,7',Yuri Alberto (Corinthians) wins a free kick in the attacking half.,2025-04-01 04:58:24
13270,732590,9,44965181,8',Foul by Breno Bidon (Corinthians).,2025-04-01 04:58:24
13270,732590,10,44965181,8',Éverton Ribeiro (Bahia) wins a free kick in the defensive half.,2025-04-01 04:58:24
13270,732590,11,44965207,10',Erick Pulga (Bahia) wins a free kick in the defensive half.,2025-04-01 04:58:24
13270,732590,12,44965207,10',Foul by Talles Magno (Corinthians).,2025-04-01 04:58:24
13270,732590,13,44965229,11',Foul by Breno Bidon (Corinthians).,2025-04-01 04:58:24
13270,732590,14,44965229,11',Éverton Ribeiro (Bahia) wins a free kick on the left wing.,2025-04-01 04:58:24
13270,732590,15,44965237,12',"Offside, Bahia. Santiago Ramos Mingo is caught offside.",2025-04-01 04:58:24
13270,732590,16,44965260,14',Ademir (Bahia) wins a free kick on the right wing.,2025-04-01 04:58:24
13270,732590,17,44965260,14',Foul by Hugo (Corinthians).,2025-04-01 04:58:24
13270,732590,18,44965277,16',"Corner, Bahia. Conceded by Hugo.",2025-04-01 04:58:24
13270,732590,19,44965297,18',Alex Santana (Corinthians) wins a free kick in the attacking half.,2025-04-01 04:58:24
13270,732590,20,44965297,18',Foul by Caio Alexandre (Bahia).,2025-04-01 04:58:24
13270,732590,21,44965332,20',"Corner, Corinthians. Conceded by Gilberto.",2025-04-01 04:58:24
13270,732590,22,44965371,23',Attempt missed. Jean Lucas (Bahia) left footed shot from the centre of the box is just a bit too high. Assisted by Luciano Juba.,2025-04-02 04:58:38
13270,732590,23,44965379,24',Alex Santana (Corinthians) wins a free kick in the defensive half.,2025-04-01 04:58:24
13270,732590,24,44965379,24',Foul by Erick Pulga (Bahia).,2025-04-01 04:58:24
13270,732590,25,44965382,25',Attempt saved. Yuri Alberto (Corinthians) right footed shot from outside the box is saved in the top left corner. Assisted by Talles Magno.,2025-04-02 04:58:38
13270,732590,26,-1,28',Delay in match because of an injury Erick Pulga (Bahia).,2025-04-01 04:58:24
13270,732590,27,-1,30',Delay over. They are ready to continue.,2025-04-01 04:58:24
13270,732590,28,44965460,30',Foul by Gilberto (Bahia).,2025-04-01 04:58:24
13270,732590,29,44965460,30',Talles Magno (Corinthians) wins a free kick in the defensive half.,2025-04-01 04:58:24
13270,732590,30,44965480,32',"Corner, Bahia. Conceded by Cacá.",2025-04-02 04:58:38
13270,732590,31,44965511,38',Foul by Breno Bidon (Corinthians).,2025-04-01 04:58:24
13270,732590,32,44965511,38',Éverton Ribeiro (Bahia) wins a free kick in the defensive half.,2025-04-01 04:58:24
