seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13265,735269,0,-1,,Lineups are announced and players are warming up.,2025-05-02 04:53:55
13265,735269,1,45176676,,First Half begins.,2025-05-05 05:02:58
13265,735269,2,45176495,3',Foul by Betão (CSA).,2025-05-05 05:02:58
13265,735269,3,45176495,3',Martin Braithwaite (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,4,45176500,4',Attempt blocked. Gustavo Nicola (CSA) left footed shot from the centre of the box is blocked. Assisted by Brayann.,2025-05-05 05:02:58
13265,735269,5,45176502,6',"Offside, CSA. Guilherme Cachoeira is caught offside.",2025-05-05 05:02:58
13265,735269,6,45176509,8',Attempt saved. Brayann (CSA) left footed shot from outside the box is saved in the centre of the goal. Assisted by Camacho.,2025-05-05 05:02:58
13265,735269,7,45176510,8',Foul by Enzo (CSA).,2025-05-05 05:02:58
13265,735269,8,45176510,8',Martin Braithwaite (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,9,-1,11',Delay in match because of an injury Gustavo Nicola (CSA).,2025-05-05 05:02:58
13265,735269,10,-1,12',Delay over. They are ready to continue.,2025-05-05 05:02:58
13265,735269,11,45176513,12',Foul by Felipe Albuquerque (CSA).,2025-05-05 05:02:58
13265,735269,12,45176513,12',Miguel Monsalve (Grêmio) wins a free kick on the left wing.,2025-05-05 05:02:58
13265,735269,13,45176517,14',"Goal! CSA 1, Grêmio 0. Tiago Marques (CSA) right footed shot from the centre of the box to the bottom left corner. Assisted by Enzo.",2025-05-05 05:02:58
13265,735269,14,45176518,16',Foul by Camacho (CSA).,2025-05-05 05:02:58
13265,735269,15,45176518,16',Martin Braithwaite (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,16,45176524,18',Attempt blocked. Cristian Olivera (Grêmio) right footed shot from a difficult angle on the right is blocked. Assisted by Edenílson.,2025-05-05 05:02:58
13265,735269,17,-1,18',"Corner, Grêmio. Conceded by Islan.",2025-05-05 05:02:58
13265,735269,18,45176525,20',Brayann (CSA) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,19,45176525,20',Foul by Gustavo Cuéllar (Grêmio).,2025-05-05 05:02:58
13265,735269,20,45176527,21',Foul by Camacho (CSA).,2025-05-05 05:02:58
13265,735269,21,45176527,21',Miguel Monsalve (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,22,45176577,21',Foul by Gustavo Nicola (CSA).,2025-05-05 05:02:58
13265,735269,23,45176577,21',Miguel Monsalve (Grêmio) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,24,45176580,22',Attempt saved. Silas (CSA) left footed shot from outside the box is saved in the top left corner.,2025-05-05 05:02:58
13265,735269,25,45176584,23',"Goal! CSA 1, Grêmio 1. Martin Braithwaite (Grêmio) right footed shot from the centre of the box to the bottom left corner. Assisted by Miguel Monsalve.",2025-05-05 05:02:58
13265,735269,26,45176588,26',Foul by Walter Kannemann (Grêmio).,2025-05-05 05:02:58
13265,735269,27,45176588,26',Tiago Marques (CSA) wins a free kick on the right wing.,2025-05-05 05:02:58
13265,735269,28,45176589,27',Jemerson (Grêmio) is shown the yellow card.,2025-05-05 05:02:58
13265,735269,29,45176590,27',Islan (CSA) is shown the yellow card.,2025-05-05 05:02:58
13265,735269,30,45176592,28',Cristian Olivera (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,31,45176592,28',Foul by Enzo (CSA).,2025-05-05 05:02:58
13265,735269,32,45176594,29',Foul by Edenílson (Grêmio).,2025-05-05 05:02:58
13265,735269,33,45176594,29',Islan (CSA) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,34,45176596,30',"Offside, CSA. Tiago Marques is caught offside.",2025-05-05 05:02:58
13265,735269,35,45176598,31',Foul by Camacho (CSA).,2025-05-05 05:02:58
13265,735269,36,45176598,31',Miguel Monsalve (Grêmio) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,37,45176601,32',"Attempt missed. Marlon (Grêmio) left footed shot from a difficult angle on the left is close, but misses to the left. Assisted by Gustavo Cuéllar following a set piece situation.",2025-05-05 05:02:58
13265,735269,38,45176606,35',Attempt saved. Edenílson (Grêmio) left footed shot from the left side of the box is saved in the top centre of the goal. Assisted by Miguel Monsalve.,2025-05-05 05:02:58
13265,735269,39,-1,35',"Corner, Grêmio. Conceded by Gabriel Felix.",2025-05-05 05:02:58
13265,735269,40,45176608,36',Hand ball by Guilherme Cachoeira (CSA).,2025-05-05 05:02:58
13265,735269,41,45176610,37',Attempt saved. Martin Braithwaite (Grêmio) right footed shot from outside the box is saved in the top left corner.,2025-05-05 05:02:58
13265,735269,42,45176611,38',Cristian Olivera (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,43,45176611,38',Foul by Silas (CSA).,2025-05-05 05:02:58
13265,735269,44,45176612,38',Silas (CSA) is shown the yellow card for a bad foul.,2025-05-05 05:02:58
13265,735269,45,45176614,39',Dodi (Grêmio) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,46,45176614,39',Foul by Gustavo Nicola (CSA).,2025-05-05 05:02:58
13265,735269,47,45176616,40',Brayann (CSA) wins a free kick on the right wing.,2025-05-05 05:02:58
13265,735269,48,45176616,40',Foul by Dodi (Grêmio).,2025-05-05 05:02:58
13265,735269,49,45176618,42',Brayann (CSA) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,50,45176618,42',Foul by Marlon (Grêmio).,2025-05-05 05:02:58
13265,735269,51,45176621,44',"Attempt missed. Cristian Olivera (Grêmio) right footed shot from a difficult angle on the right is close, but misses to the right. Assisted by João Pedro.",2025-05-05 05:02:58
13265,735269,52,45176622,45',Foul by Walter Kannemann (Grêmio).,2025-05-05 05:02:58
13265,735269,53,45176622,45',Gustavo Nicola (CSA) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,54,45176624,45'+1',Foul by Betão (CSA).,2025-05-05 05:02:58
13265,735269,55,45176624,45'+1',Martin Braithwaite (Grêmio) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,56,-1,45'+2',Fourth official has announced 2 minutes of added time.,2025-05-05 05:02:58
13265,735269,57,-1,45'+2',"First Half ends, CSA 1, Grêmio 1.",2025-05-02 04:53:55
13265,735269,58,-1,45',"Second Half begins CSA 1, Grêmio 1.",2025-05-02 04:53:55
13265,735269,59,45176628,47',Foul by Brayann (CSA).,2025-05-05 05:02:58
13265,735269,60,45176628,47',Marlon (Grêmio) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,61,45176631,49',Dodi (Grêmio) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,62,45176631,49',Foul by Gustavo Nicola (CSA).,2025-05-05 05:02:58
13265,735269,63,45176638,53',Attempt missed. Silas (CSA) left footed shot from outside the box is too high. Assisted by Camacho.,2025-05-05 05:02:58
13265,735269,64,45176640,54',Attempt missed. Guilherme Cachoeira (CSA) left footed shot from outside the box misses to the right. Assisted by Silas.,2025-05-05 05:02:58
13265,735269,65,45176641,55',Foul by Walter Kannemann (Grêmio).,2025-05-05 05:02:58
13265,735269,66,45176641,55',Tiago Marques (CSA) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,67,45176643,57',Hand ball by Miguel Monsalve (Grêmio).,2025-05-05 05:02:58
13265,735269,68,45176644,58',"Substitution, Grêmio. Igor replaces João Pedro.",2025-05-05 05:02:58
13265,735269,69,45176645,58',"Substitution, Grêmio. Alysson Edward replaces Miguel Monsalve.",2025-05-05 05:02:58
13265,735269,70,45176647,59',Foul by Alysson Edward (Grêmio).,2025-05-05 05:02:58
13265,735269,71,45176647,59',Guilherme Cachoeira (CSA) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,72,45176649,59',Betão (CSA) wins a free kick in the attacking half.,2025-05-05 05:02:58
13265,735269,73,45176649,59',Foul by Edenílson (Grêmio).,2025-05-05 05:02:58
13265,735269,74,45176652,59',Attempt blocked. Brayann (CSA) left footed shot from the centre of the box is blocked. Assisted by Guilherme Cachoeira.,2025-05-05 05:02:58
13265,735269,75,45176655,59',Attempt blocked. Silas (CSA) right footed shot from outside the box is blocked. Assisted by Felipe Albuquerque.,2025-05-05 05:02:58
13265,735269,76,45176657,59',Attempt saved. Gustavo Nicola (CSA) right footed shot from outside the box is saved in the bottom right corner.,2025-05-05 05:02:58
13265,735269,77,45176661,61',Foul by Walter Kannemann (Grêmio).,2025-05-05 05:02:58
13265,735269,78,45176661,61',Tiago Marques (CSA) wins a free kick in the defensive half.,2025-05-05 05:02:58
13265,735269,79,45176665,62',Attempt saved. Alysson Edward (Grêmio) left footed shot from outside the box is saved in the bottom left corner. Assisted by Cristian Olivera.,2025-05-05 05:02:58
