seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12996,723410,0,-1,,Lineups are announced and players are warming up.,2025-02-15 05:52:07
12996,723410,1,-1,,First Half begins.,2025-02-15 05:52:07
12996,723410,2,44696142,4',"Offside, Inter Miami CF. Luis Suárez is caught offside.",2025-02-15 05:52:07
12996,723410,3,44696161,6',Attempt blocked. Lionel Messi (Inter Miami CF) left footed shot from the right side of the box is blocked. Assisted by Tadeo Allende with a cross.,2025-02-15 05:52:07
12996,723410,4,44696154,6',"Corner, Inter Miami CF. Conceded by Eduard Atuesta.",2025-02-15 05:52:07
12996,723410,5,44696164,6',Attempt blocked. Tadeo Allende (Inter Miami CF) header from a difficult angle on the right is blocked. Assisted by Lionel Messi with a cross.,2025-02-15 05:52:07
12996,723410,6,44696166,7',"Corner, Inter Miami CF. Conceded by César Araújo.",2025-02-15 05:52:07
12996,723410,7,44696168,7',Attempt missed. Marco Pasalic (Orlando City SC) left footed shot from outside the box is just a bit too high. Assisted by Iván Angulo following a fast break.,2025-02-15 05:52:07
12996,723410,8,44696182,9',Foul by Marcelo Weigandt (Inter Miami CF).,2025-02-15 05:52:07
12996,723410,9,44696182,9',Iván Angulo (Orlando City SC) wins a free kick in the defensive half.,2025-02-15 05:52:07
12996,723410,10,-1,12',"Corner, Inter Miami CF. Conceded by Dagur Thórhallsson.",2025-02-15 05:52:07
12996,723410,11,44696211,15',César Araújo (Orlando City SC) wins a free kick in the defensive half.,2025-02-15 05:52:07
12996,723410,12,44696211,15',Foul by Lionel Messi (Inter Miami CF).,2025-02-15 05:52:07
12996,723410,13,44696213,15',"Goal! Orlando City SC 1, Inter Miami CF 0. Martín Ojeda (Orlando City SC) left footed shot from the centre of the box to the bottom right corner. Assisted by Iván Angulo with a through ball.",2025-02-15 05:52:07
12996,723410,14,44696220,17',Foul by Rodrigo Schlegel (Orlando City SC).,2025-02-15 05:52:07
12996,723410,15,44696220,17',Luis Suárez (Inter Miami CF) wins a free kick in the attacking half.,2025-02-15 05:52:07
12996,723410,16,44696221,17',Rodrigo Schlegel (Orlando City SC) is shown the yellow card for a bad foul.,2025-02-15 05:52:07
