seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12995,723617,0,-1,,Lineups are announced and players are warming up.,2025-01-19 05:38:43
12995,723617,1,44533357,,First Half begins.,2025-01-19 05:38:43
12995,723617,2,44533376,2',Penalty USA. Patrick Agyemang draws a foul in the penalty area.,2025-01-19 05:38:43
12995,723617,3,44533376,2',Penalty conceded by Daniel Pereira (Venezuela) after a foul in the penalty area.,2025-01-19 05:38:43
12995,723617,4,44533382,3',Penalty saved. Matko Miljevic (USA) right footed shot saved in the centre of the goal.,2025-01-19 05:38:43
12995,723617,5,44533411,4',Foul by Roberto Rosales (Venezuela).,2025-01-19 05:38:43
12995,723617,6,44533411,4',Patrick Agyemang (USA) wins a free kick on the left wing.,2025-01-19 05:38:43
12995,723617,7,44533435,7',Foul by Jan Hurtado (Venezuela).,2025-01-19 05:38:43
12995,723617,8,44533435,7',Miles Robinson (USA) wins a free kick in the defensive half.,2025-01-19 05:38:43
12995,723617,9,44533479,9',Foul by George Campbell (USA).,2025-01-19 05:38:43
12995,723617,10,44533479,9',Jovanny Bolívar (Venezuela) wins a free kick in the defensive half.,2025-01-19 05:38:43
12995,723617,11,44533482,10',Bryant Ortega (Venezuela) wins a free kick in the defensive half.,2025-01-19 05:38:43
12995,723617,12,44533482,10',Foul by Patrick Agyemang (USA).,2025-01-19 05:38:43
12995,723617,13,44533486,11',Hand ball by Miles Robinson (USA).,2025-01-19 05:38:43
12995,723617,14,44533515,11',"Offside, Venezuela. Roberto Rosales is caught offside.",2025-01-19 05:38:43
12995,723617,15,44533547,15',Carlos Vivas (Venezuela) wins a free kick in the defensive half.,2025-01-19 05:38:43
12995,723617,16,44533547,15',Foul by Brian Gutiérrez (USA).,2025-01-19 05:38:43
12995,723617,17,44533565,16',Attempt saved. Gleiker Mendoza (Venezuela) right footed shot from outside the box is saved in the centre of the goal. Assisted by Daniel Pereira.,2025-01-19 05:38:43
12995,723617,18,44533567,17',"Offside, Venezuela. Jan Hurtado is caught offside.",2025-01-19 05:38:43
12995,723617,19,44533595,18',Foul by Benjamín Cremaschi (USA).,2025-01-19 05:38:43
12995,723617,20,44533595,18',Juan Añor (Venezuela) wins a free kick in the defensive half.,2025-01-19 05:38:43
12995,723617,21,44533615,18',Benjamín Cremaschi (USA) is shown the yellow card for a bad foul.,2025-01-19 05:38:43
12995,723617,22,44533618,19',"Corner, USA. Conceded by Daniel Pereira.",2025-01-19 05:38:43
12995,723617,23,44533620,21',"Offside, USA. Caden Clark is caught offside.",2025-01-19 05:38:43
12995,723617,24,44533706,24',Attempt blocked. Juan Añor (Venezuela) right footed shot from outside the box is blocked. Assisted by Bryant Ortega.,2025-01-19 05:38:43
12995,723617,25,44533672,24',Attempt blocked. Gleiker Mendoza (Venezuela) right footed shot from outside the box is blocked.,2025-01-19 05:38:43
12995,723617,26,-1,24',"Corner, Venezuela. Conceded by Jack McGlynn.",2025-01-19 05:38:43
12995,723617,27,44533695,25',Attempt missed. Bryant Ortega (Venezuela) right footed shot from outside the box is too high. Assisted by Daniel Pereira following a corner.,2025-01-19 05:38:43
12995,723617,28,44533736,26',Foul by Jan Hurtado (Venezuela).,2025-01-19 05:38:43
12995,723617,29,44533736,26',Jack McGlynn (USA) wins a free kick in the attacking half.,2025-01-19 05:38:43
12995,723617,30,44533739,27',Foul by George Campbell (USA).,2025-01-19 05:38:43
12995,723617,31,44533739,27',Jan Hurtado (Venezuela) wins a free kick on the right wing.,2025-01-19 05:38:43
12995,723617,32,44533743,28',Attempt missed. Jack McGlynn (USA) left footed shot from outside the box is high and wide to the left.,2025-01-19 05:38:43
12995,723617,33,44533775,30',Foul by Matko Miljevic (USA).,2025-01-19 05:38:43
12995,723617,34,44533775,30',Juan Añor (Venezuela) wins a free kick in the attacking half.,2025-01-19 05:38:43
12995,723617,35,44533795,31',"Corner, Venezuela. Conceded by Max Arfsten.",2025-01-19 05:38:43
12995,723617,36,44533819,33',Foul by Benjamín Cremaschi (USA).,2025-01-19 05:38:43
