seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13235,731390,0,-1,,Lineups are announced and players are warming up.,2025-03-15 04:52:42
13235,731390,1,44869355,,First Half begins.,2025-03-15 04:52:42
13235,731390,2,44869506,1',Foul by Gabrielle Carle (Washington Spirit).,2025-03-15 04:52:42
13235,731390,3,44869506,1',Yazmeen Ryan (Houston Dash) wins a free kick in the defensive half.,2025-03-15 04:52:42
13235,731390,4,44869684,3',Ashley Hatch (Washington Spirit) wins a free kick in the defensive half.,2025-03-15 04:52:42
13235,731390,5,44869684,3',Foul by Paige Nielsen (Houston Dash).,2025-03-15 04:52:42
13235,731390,6,44869388,4',"Corner, Houston Dash. Conceded by Rebeca Bernal.",2025-03-15 04:52:42
13235,731390,7,44869389,6',Foul by Gabrielle Carle (Washington Spirit).,2025-03-15 04:52:42
13235,731390,8,44869389,6',Natalie Jacobs (Houston Dash) wins a free kick in the defensive half.,2025-03-15 04:52:42
13235,731390,9,44869412,8',Chloe Ricketts (Washington Spirit) wins a free kick in the defensive half.,2025-03-15 04:52:42
13235,731390,10,44869412,8',Foul by Messiah Bright (Houston Dash).,2025-03-15 04:52:42
13235,731390,11,44869420,9',Attempt missed. Narumi Miura (Washington Spirit) left footed shot from outside the box misses to the left. Assisted by Makenna Morris.,2025-03-15 04:52:42
13235,731390,12,44869438,10',"Offside, Washington Spirit. Leicy Santos is caught offside.",2025-03-15 04:52:42
13235,731390,13,44869457,12',Attempt saved. Delanie Sheehan (Houston Dash) right footed shot from the centre of the box is saved in the bottom right corner.,2025-03-15 04:52:42
13235,731390,14,44869445,12',"Corner, Houston Dash. Conceded by Rebeca Bernal.",2025-03-15 04:52:42
13235,731390,15,44869459,12',Attempt saved. Danielle Colaprico (Houston Dash) left footed shot from outside the box is saved in the centre of the goal.,2025-03-15 04:52:42
13235,731390,16,44869466,14',Attempt missed. Yazmeen Ryan (Houston Dash) left footed shot from the left side of the box misses to the left.,2025-03-15 04:52:42
13235,731390,17,44869475,15',Attempt saved. Ashley Hatch (Washington Spirit) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Leicy Santos with a cross.,2025-03-15 04:52:42
13235,731390,18,44869476,16',"Goal! Houston Dash 0, Washington Spirit 1. Makenna Morris (Washington Spirit) right footed shot from very close range to the centre of the goal.",2025-03-15 04:52:42
13235,731390,19,44869483,18',Attempt missed. Ashley Hatch (Washington Spirit) right footed shot from outside the box is too high. Assisted by Hal Hershfelt.,2025-03-15 04:52:42
13235,731390,20,44869503,19',Ashley Hatch (Washington Spirit) wins a free kick in the defensive half.,2025-03-15 04:52:42
13235,731390,21,44869503,19',Foul by Sophie Schmidt (Houston Dash).,2025-03-15 04:52:42
