seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13099,726529,0,44825493,16',Sebastián Vivas (South Georgia Tormenta FC) Yellow Card at 16',2025-03-10 04:51:39
13099,726529,1,44825517,19',Hayden Anderson (Richmond Kickers) Goal at 19',2025-03-10 04:51:39
13099,726529,2,44825526,23',Klaidi Cela (Richmond Kickers) Yellow Card at 23',2025-03-10 04:51:39
13099,726529,3,44825528,24',Mason Tunbridge (South Georgia Tormenta FC) Penalty - Scored at 24',2025-03-10 04:51:39
13099,726529,4,44825562,34',Chandler O'Dwyer (Richmond Kickers) Goal at 34',2025-03-10 04:51:39
13099,726529,5,44825579,41',Dakota Barnathan (Richmond Kickers) Goal at 41',2025-03-10 04:51:39
13099,726529,6,44825595,45'+1',Mason Tunbridge (South Georgia Tormenta FC) Goal at 46',2025-03-10 04:51:39
13099,726529,7,44825600,45'+3',Dakota Barnathan (Richmond Kickers) Yellow Card at 48',2025-03-10 04:51:39
13099,726529,8,44825751,55',Callum Stretch (South Georgia Tormenta FC) Substitution at 55',2025-03-10 04:51:39
13099,726529,9,44825764,57',Anatolie Prepelita (South Georgia Tormenta FC) Yellow Card at 57',2025-03-10 04:51:39
13099,726529,10,44825832,68',Yaniv Bazini (South Georgia Tormenta FC) Substitution at 68',2025-03-10 04:51:39
13099,726529,11,44825847,71',Joshua Kirkland (Richmond Kickers) Substitution at 71',2025-03-10 04:51:39
13099,726529,12,44825865,74',Nils Seufert (Richmond Kickers) Goal at 74',2025-03-10 04:51:39
13099,726529,13,44825881,76',Handwalla Bwana (South Georgia Tormenta FC) Substitution at 76',2025-03-10 04:51:39
13099,726529,14,44825900,76',Conor Doyle (South Georgia Tormenta FC) Substitution at 76',2025-03-10 04:51:39
13099,726529,15,44825920,76',Taylor Gray (South Georgia Tormenta FC) Substitution at 76',2025-03-10 04:51:39
13099,726529,16,44825964,86',Beckett Howell (Richmond Kickers) Substitution at 86',2025-03-10 04:51:39
13099,726529,17,44825982,89',Landon Johnson (Richmond Kickers) Substitution at 89',2025-03-10 04:51:39
13099,726529,18,44825983,90',James Vaughan (Richmond Kickers) Substitution at 90',2025-03-10 04:51:39
13099,726530,0,44835705,8',Evan Lee (Greenville Triumph) Substitution at 8',2025-03-10 04:51:39
13099,726530,1,44835795,14',Juan Carlos Obregón Jr (Westchester SC) Penalty - Scored at 14',2025-03-10 04:51:39
13099,726530,2,44835901,21',Conor McGlynn (Westchester SC) Yellow Card at 21',2025-03-10 04:51:39
13099,726530,3,44836045,31',Sebastián Velásquez (Greenville Triumph) Penalty - Scored at 31',2025-03-10 04:51:39
13099,726530,4,44836410,45',Carlos Anguiano (Greenville Triumph) Substitution at 45',2025-03-10 04:51:39
13099,726530,5,44836580,64',Zane Bubb (Greenville Triumph) Yellow Card at 64',2025-03-10 04:51:39
13099,726530,6,44836588,66',Noah Powder (Westchester SC) Substitution at 66',2025-03-15 04:52:42
13099,726530,7,44836589,67',Daniel Bouman (Westchester SC) Substitution at 67',2025-03-10 04:51:39
13099,726530,8,44836646,75',Chevone Marsh (Greenville Triumph) Substitution at 75',2025-03-10 04:51:39
13099,726530,9,44836656,78',Joel Johnson Alajarin (Westchester SC) Yellow Card at 78',2025-03-10 04:51:39
13099,726530,10,44836701,83',Koen Blommestijn (Westchester SC) Substitution at 83',2025-03-10 04:51:39
13099,726530,11,44836741,89',Devin Benton (Greenville Triumph) Substitution at 89',2025-03-10 04:51:39
13099,726531,0,44837345,23',Christopher Heckenberg (FC Naples) Yellow Card at 23',2025-03-10 04:51:39
13099,726531,1,44837396,29',Matthew Bentley (Chattanooga Red Wolves) Yellow Card at 29',2025-03-10 04:51:39
13099,726531,2,44837594,42',Jonathan Filipe (Chattanooga Red Wolves) Yellow Card at 42',2025-03-10 04:51:39
13099,726531,3,44838059,47',Omar Hernandez (Chattanooga Red Wolves) Goal at 47',2025-03-10 04:51:39
13099,726531,4,44838266,60',Owen Green (Chattanooga Red Wolves) Substitution at 60',2025-03-10 04:51:39
13099,726531,5,44838373,71',Marc Torrellas (FC Naples) Substitution at 71',2025-03-10 04:51:39
13099,726531,6,44838441,74',Gharett Morris (Chattanooga Red Wolves) Substitution at 74',2025-03-10 04:51:39
13099,726531,7,44838442,74',Jordan Ayimbila (Chattanooga Red Wolves) Substitution at 74',2025-03-10 04:51:39
13099,726531,8,44838484,75',Eric Kinzner (Chattanooga Red Wolves) Yellow Card at 75',2025-03-10 04:51:39
13099,726531,9,44838503,77',Andrés Ferrín (FC Naples) Penalty - Scored at 77',2025-03-10 04:51:39
13099,726531,10,44838678,82',Ian Cerro (FC Naples) Substitution at 82',2025-03-10 04:51:39
13099,726531,11,44838887,90',Tyler Pasnik (FC Naples) Substitution at 90',2025-03-10 04:51:39
13099,726531,12,44838972,90'+3',Kimball Jackson (Chattanooga Red Wolves) Substitution at 93',2025-03-10 04:51:39
13099,726531,13,44838973,90'+4',Kevin O'Connor (FC Naples) Yellow Card at 94',2025-03-10 04:51:39
13099,726531,14,44839056,90'+8',Tobi Jnohope (Chattanooga Red Wolves) Red Card at 98',2025-03-10 04:51:39
13099,726532,0,44861943,23',Carlos Anguiano (Greenville Triumph) Substitution at 23',2025-03-13 04:51:26
13099,726532,1,44861968,36',Leonardo Castro (Greenville Triumph) Goal at 36',2025-03-13 04:51:26
13099,726532,2,44862003,45',Ben Zakowski (Greenville Triumph) Goal at 45',2025-03-13 04:51:26
13099,726532,3,44862014,45'+4',Mehdi Ouamri (Union Omaha) Yellow Card at 49',2025-03-13 04:51:26
13099,726532,4,44862015,45'+5',Tyler Polak (Greenville Triumph) Yellow Card at 50',2025-03-13 04:51:26
13099,726532,5,44862057,45',Joe Gallardo (Union Omaha) Substitution at 45',2025-03-13 04:51:26
13099,726532,6,44862083,47',Leonardo Castro (Greenville Triumph) Goal at 47',2025-03-13 04:51:26
13099,726532,7,44862106,65',Kasim Prosper (Union Omaha) Substitution at 65',2025-03-13 04:51:26
13099,726532,8,44862110,67',Leonardo Castro (Greenville Triumph) Yellow Card at 67',2025-03-13 04:51:26
