seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13354,735715,1,45251875,70,1,1200,20',1,0,Konstantinos Doumtsios (FC Den Bosch) Goal at 20',Konstantinos Doumtsios Goal,271,0.0,0.0,0.0,0.0,0.0,0.0,1,243173,2025-05-13 04:54:35
13354,735715,2,45251902,76,1,1800,30',0,0,Hicham Acheffay (FC Den Bosch) Substitution at 30',Hicham Acheffay Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,1,281179,2025-05-13 04:54:35
13354,735715,2,45251902,76,1,1800,30',0,0,Hicham Acheffay (FC Den Bosch) Substitution at 30',Hicham Acheffay Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,2,159256,2025-05-13 04:54:35
13354,735715,3,45251911,94,1,2220,37',0,0,Nicky Souren (SC Cambuur) Yellow Card at 37',Nicky Souren Yellow Card,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,259186,2025-05-13 04:54:35
13354,735715,4,45252019,94,2,3060,51',0,0,Tyrique Mercera (SC Cambuur) Yellow Card at 51',Tyrique Mercera Yellow Card,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,375666,2025-05-13 04:54:35
13354,735715,5,45252024,94,2,3240,54',0,0,Teun van Grunsven (FC Den Bosch) Yellow Card at 54',Teun van Grunsven Yellow Card,271,0.0,0.0,0.0,0.0,0.0,0.0,1,297940,2025-05-13 04:54:35
13354,735715,7,45252031,76,2,3420,57',0,0,Wiebe Kooistra (SC Cambuur) Substitution at 57',Wiebe Kooistra Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,364992,2025-05-13 04:54:35
13354,735715,6,45252030,76,2,3420,57',0,0,Jeremy Van Mullem (SC Cambuur) Substitution at 57',Jeremy Van Mullem Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,306438,2025-05-13 04:54:35
13354,735715,6,45252030,76,2,3420,57',0,0,Jeremy Van Mullem (SC Cambuur) Substitution at 57',Jeremy Van Mullem Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,2,259186,2025-05-13 04:54:35
13354,735715,7,45252031,76,2,3420,57',0,0,Wiebe Kooistra (SC Cambuur) Substitution at 57',Wiebe Kooistra Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,2,228657,2025-05-13 04:54:35
13354,735715,8,45252082,76,2,3960,66',0,0,Thomas Poll (SC Cambuur) Substitution at 66',Thomas Poll Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,301667,2025-05-13 04:54:35
13354,735715,8,45252082,76,2,3960,66',0,0,Thomas Poll (SC Cambuur) Substitution at 66',Thomas Poll Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,2,348266,2025-05-13 04:54:35
13354,735715,9,45252099,76,2,4200,70',0,0,Sheddy Barglan (FC Den Bosch) Substitution at 70',Sheddy Barglan Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,1,355504,2025-05-13 04:54:35
13354,735715,10,45252100,94,2,4200,70',0,0,Sturla Ottesen (SC Cambuur) Yellow Card at 70',Sturla Ottesen Yellow Card,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,308547,2025-05-13 04:54:35
13354,735715,9,45252099,76,2,4200,70',0,0,Sheddy Barglan (FC Den Bosch) Substitution at 70',Sheddy Barglan Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,2,243173,2025-05-13 04:54:35
13354,735715,11,45252101,76,2,4260,71',0,0,Denzel Kuijpers (FC Den Bosch) Substitution at 71',Denzel Kuijpers Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,1,365025,2025-05-13 04:54:35
13354,735715,11,45252101,76,2,4260,71',0,0,Denzel Kuijpers (FC Den Bosch) Substitution at 71',Denzel Kuijpers Substitution,271,0.0,0.0,0.0,0.0,0.0,0.0,2,130516,2025-05-13 04:54:35
13354,735715,12,45252120,94,2,4560,76',0,0,Floris Smand (SC Cambuur) Yellow Card at 76',Floris Smand Yellow Card,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,346837,2025-05-13 04:54:35
13354,735715,13,45252138,76,2,4980,83',0,0,Michael de Leeuw (SC Cambuur) Substitution at 83',Michael de Leeuw Substitution,3736,0.0,0.0,0.0,0.0,0.0,0.0,1,138532,2025-05-13 04:54:35
