seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13166,728226,13913,home,0,3-5-2,1,1,1,264826,Germán Salort,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,6,227699,Fabián Henríquez,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,11,383955,Brian Rojas,Left Midfielder,3,0,0,-1,,,,1,198685,15,198685.0,2700.0,45',2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,3,316387,Enzo Silcan,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,2,317075,Milton Leyendeker,Center Defender,5,0,0,-1,,,,1,264816,19,264816.0,4200.0,70',2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,4,184979,Matías Molina,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,8,400047,Danilo Ruíz Díaz,Center Right Midfielder,7,0,0,-1,,,,1,339796,14,339796.0,4200.0,70',2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,5,118743,Damián Lemos,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,9,118574,Alejandro Gagliardi,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,7,187476,Eduardo Melo,Center Right Forward,10,0,0,-1,,,,1,204739,16,204739.0,4920.0,82',2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,1,10,83555,Nicolás Sánchez,Attacking Midfielder,11,0,0,-1,,,,1,358646,18,358646.0,2100.0,35',2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,14,339796,Juan Martín Ginzo,Substitute,0,1,400047,8,400047.0,4200.0,70',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,13,124684,Juan Sills,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,15,198685,Fernando Miranda,Substitute,0,1,383955,11,383955.0,2700.0,45',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,12,233936,Juan Pablo Noce,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,18,358646,Diego Vasquez,Substitute,0,1,83555,10,83555.0,2100.0,35',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,20,386931,Francisco Ruiz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,19,264816,Brian Blando,Substitute,0,1,317075,2,317075.0,4200.0,70',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,16,204739,Milton Gonzalo Ramos,Substitute,0,1,187476,7,187476.0,4920.0,82',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,13913,home,0,3-5-2,1,0,17,209669,David Gallardo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,1,195665,Nicolás Avellaneda,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,4,158936,Juan Cruz González,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,3,286368,Nicolás Chaves,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,10,233393,Ricardo Blanco,Left Midfielder,4,0,0,-1,,,,1,309123,18,309123.0,4920.0,82',2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,2,200374,Alejandro Rébola,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,6,217517,Federico Andueza,Center Left Defender,6,0,0,-1,,,,1,307982,13,307982.0,2700.0,45',2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,7,380588,Maximiliano Meléndez,Attacking Midfielder Right,7,0,0,-1,,,,1,314239,15,314239.0,3840.0,64',2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,5,183279,Federico Bravo,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,9,217368,Hernán Rivero,Forward,9,0,0,-1,,,,1,123780,20,123780.0,3840.0,64',2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,8,370825,Valentin Chocobar,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,1,11,245772,Agustín Araujo,Attacking Midfielder Left,11,0,0,-1,,,,1,361259,14,361259.0,5400.0,90',2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,0,20,123780,Rodrigo Salinas,Substitute,0,1,217368,9,217368.0,3840.0,64',0,0,-1,,,,2025-02-11 05:48:04
13166,728226,6,away,1,4-2-3-1,1,0,16,99701,Victor Figueroa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-11 05:48:04
