seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13270,732590,9967,home,0,4-3-3,1,1,96,224106,Ronaldo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,2,198761,Gilberto,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,46,304757,Luciano,Left Back,3,0,0,-1,,,,1,252800,25,252800.0,4907.0,82',2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,1,19,299932,Caio Alexandre,Center Midfielder,4,0,0,-1,,,,1,285757,26,285757.0,4129.0,69',2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,4,252973,Kanu,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,21,82782,Santiago Ramos,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,1,10,199017,Éverton Ribeiro,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,1,6,269910,Jean Lucas,Left Midfielder,8,0,0,-1,,,,1,266664,11,266664.0,4921.0,83',2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,9,118688,Luciano Rodríguez,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,1,7,269675,Ademir,Right Forward,10,0,0,-1,,,,1,336604,3,336604.0,3212.0,54',2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,1,16,333907,Erick Pulga,Left Forward,11,0,0,-1,,,,1,253796,14,253796.0,4137.0,69',2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,37,314846,Kayky Chagas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,0,33,219090,David Duarte,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,5,217415,Julio Cesar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,26,285757,Nicolás Acevedo,Substitute,0,1,299932,19,299932.0,4129.0,69',0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,25,252800,Iago,Substitute,0,1,304757,46,304757.0,4907.0,82',0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,0,3,336604,Gabriel Xavier,Substitute,0,1,269675,7,269675.0,3212.0,54',0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,12,198360,Willian José,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,0,22,191997,Marcos Felipe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-05 08:30:15
13270,732590,9967,home,0,4-3-3,1,0,13,164756,Santiago Arias,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,11,266664,Rodrigo Nestor,Substitute,0,1,269910,6,269910.0,4921.0,83',0,0,-1,,,,2025-04-01 04:55:30
13270,732590,9967,home,0,4-3-3,1,0,8,260392,Cauly Oliveira Souza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
