seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13265,735269,7531,home,1,4-2-3-1,1,1,1,236694,Gabriel Felix,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,2,268692,Felipe,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,6,379395,Enzo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,5,136889,Camacho,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,4,333955,Islan,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,3,384098,Betão,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,7,219082,Paulo Silas,Attacking Midfielder Right,7,0,0,-1,,,,1,253823,18,253823.0,4551.0,76',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,7,219082,Paulo Silas,Attacking Midfielder Right,7,0,0,-1,,,,1,253823,18,253823.0,4541.0,76',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,8,357369,Gustavo Nicola,Right Midfielder,8,0,0,-1,,,,1,334734,15,334734.0,3790.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,8,357369,Gustavo Nicola,Right Midfielder,8,0,0,-1,,,,1,334734,15,334734.0,3790.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,8,357369,Gustavo Nicola,Right Midfielder,8,0,0,-1,,,,1,334734,15,334734.0,3782.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,9,170476,Tiago Marques,Forward,9,0,0,-1,,,,1,359777,19,359777.0,3801.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,9,170476,Tiago Marques,Forward,9,0,0,-1,,,,1,359777,19,359777.0,3800.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,9,170476,Tiago Marques,Forward,9,0,0,-1,,,,1,359777,19,359777.0,3801.0,64',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,10,403275,Brayann,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,11,297076,Cachoeira,Attacking Midfielder Left,11,0,0,-1,,,,1,236730,17,236730.0,4991.0,84',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,1,11,297076,Cachoeira,Attacking Midfielder Left,11,0,0,-1,,,,1,236730,17,236730.0,4994.0,84',2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,0,15,334734,Kevyn,Substitute,0,1,357369,8,357369.0,3790.0,64',0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,0,19,359777,Igor Bahia,Substitute,0,1,170476,9,170476.0,3801.0,64',0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,0,19,359777,Igor Bahia,Substitute,0,1,170476,9,170476.0,3801.0,64',0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,0,19,359777,Igor Bahia,Substitute,0,1,170476,9,170476.0,3800.0,64',0,0,-1,,,,2025-05-02 04:51:39
13265,735269,7531,home,1,4-2-3-1,1,0,12,199011,Georgemy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-02 04:51:39
