seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12996,723410,12011,home,0,4-2-3-1,1,1,1,150334,Pedro Gallese,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,17,285939,Dagur Thórhallsson,Right Back,2,0,0,-1,,,,1,248276,30,248276.0,4211.0,71',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,3,203974,Rafael Santos,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,20,241473,Eduard Atuesta,Left Midfielder,4,0,0,-1,,,,1,105957,14,105957.0,4806.0,81',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,15,255476,Rodrigo Schlegel,Center Right Defender,5,0,0,-1,,,,1,236641,24,236641.0,4541.0,76',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,6,147256,Robin Jansson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,87,324270,Marco Pasalic,Attacking Midfielder Right,7,0,0,-1,,,,1,378916,11,378916.0,4238.0,71',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,5,291218,César Araujo,Right Midfielder,8,0,0,-1,,,,1,388445,25,388445.0,4798.0,80',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,7,309410,Ramiro Enrique,Forward,9,0,0,-1,,,,1,151510,9,151510.0,4237.0,71',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,10,233401,Martín Ojeda,Attacking Midfielder,10,0,0,-1,,,,1,390621,35,390621.0,4556.0,76',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,1,77,250448,Iván Angulo,Attacking Midfielder Left,11,0,0,-1,,,,1,356098,65,356098.0,4805.0,81',2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,25,388445,Colin Guske,Substitute,0,1,291218,5,291218.0,4798.0,80',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,14,105957,Nicolás Lodeiro,Substitute,0,1,241473,20,241473.0,4806.0,81',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,35,390621,Joran Gerbet,Substitute,0,1,233401,10,233401.0,4556.0,76',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,11,378916,Nicolás Rodríguez,Substitute,0,1,324270,87,324270.0,4238.0,71',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,65,356098,Gustavo Caraballo,Substitute,0,1,250448,77,250448.0,4805.0,81',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,12,316317,Javier Otero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,30,248276,Alexander Freeman,Substitute,0,1,285939,17,285939.0,4211.0,71',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,68,316325,Thomas Williams,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,24,236641,Kyle Smith,Substitute,0,1,255476,15,255476.0,4541.0,76',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,12011,home,0,4-2-3-1,1,0,9,151510,Luis Muriel,Substitute,0,1,309410,7,309410.0,4237.0,71',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,19,102985,Oscar Ustari,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-26 05:48:02
12996,723410,20232,away,0,4-4-1-1,1,1,57,282589,Marcelo Weigandt,Right Back,2,0,0,-1,,,,1,251800,24,251800.0,4563.0,77',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,18,121021,Jordi Alba,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,42,329025,Yannick Bright,Center Right Midfielder,4,0,0,-1,,,,1,356358,30,356358.0,4536.0,76',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,2,315617,Gonzalo Luján,Center Right Defender,5,0,0,-1,,,,1,316269,17,316269.0,3819.0,64',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,14,228387,Héctor Martínez,Center Left Defender,6,0,0,-1,,,,1,316344,32,316344.0,3270.0,55',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,21,315801,Tadeo Allende,Right Midfielder,7,0,0,-1,,,,1,237823,16,237823.0,4508.0,76',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,5,121893,Sergio Busquets,Center Left Midfielder,8,0,0,-1,,,,1,318181,55,318181.0,3804.0,64',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,9,125088,Luis Suárez,Forward,9,0,0,-1,,,,1,311088,22,311088.0,4564.0,77',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,10,45843,Lionel Messi,Rear Center Forward,10,0,0,-1,,,,1,199032,81,199032.0,4483.0,75',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,1,8,315594,Telasco Segovia,Left Midfielder,11,0,0,-1,,,,1,211678,7,211678.0,3832.0,64',2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,0,32,316344,Noah Allen,Substitute,0,1,228387,14,228387.0,3270.0,55',0,0,-1,,,,2025-02-15 05:49:31
12996,723410,20232,away,0,4-4-1-1,1,0,55,318181,Federico Redondo,Substitute,0,1,121893,5,121893.0,3804.0,64',0,0,-1,,,,2025-02-15 05:49:31
