seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13203,730311,5480,home,1,4-4-2,1,1,12,164160,Darío Denis,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,22,291027,Yael López,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,18,319256,Jonathan Herrera,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,27,379650,Kevin Londoño,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,2,290847,Kevin Riascos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,19,181800,Frank Lozano,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,16,399254,Ronald Valencia,Right Midfielder,7,0,0,-1,,,,1,399255,7,399255.0,4876.0,82',2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,8,206117,Sebastián Salazar,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,21,302117,Jacobo Pimentel,Center Left Forward,9,0,0,-1,,,,1,301578,10,301578.0,5400.0,90'+1',2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,21,302117,Jacobo Pimentel,Center Left Forward,9,0,0,-1,,,,1,301578,10,301578.0,3364.0,57',2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,9,176549,Jairo Molina,Center Right Forward,10,0,0,-1,,,,1,290977,29,290977.0,5400.0,90'+1',2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,1,14,283052,Eduardo Banguero,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,29,290977,Sebastián Colón,Substitute,0,1,176549,9,176549.0,5400.0,90'+1',0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,6,353454,Andres Aedo,Substitute,0,1,301578,10,301578.0,3364.0,57',0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,6,353454,Andres Aedo,Substitute,0,1,301578,10,301578.0,5400.0,90'+1',0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,20,366583,Wilmar Arango,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,26,399150,Arlen Banguero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,1,276382,Rogerio Caicedo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,7,399255,Jhonier Negrete,Substitute,0,1,399254,16,399254.0,4876.0,82',0,0,-1,,,,2025-01-25 05:32:05
13203,730311,5480,home,1,4-4-2,1,0,10,301578,Delio Ramírez,Substitute,0,1,302117,21,302117.0,3364.0,57',1,353454,6,353454.0,5400.0,90'+1',2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,1,239985,Aldair Quintana,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,19,248686,Aldair Gutiérrez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,8,165909,Fredy Hinestroza,Left Back,3,0,0,-1,,,,1,189775,17,189775.0,5120.0,86',2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,22,196715,Edwin Fabri Castro,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,21,290096,Alejandro Moralez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,2,197492,Jefferson Mena,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,7,196647,Kevin Londoño,Right Midfielder,7,0,0,-1,,,,1,181814,9,181814.0,3642.0,61',2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,28,201060,Leonardo Flores,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,18,132220,Jean Carlos Blanco,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,20,358006,Aldair Zárate,Center Right Forward,10,0,0,-1,,,,1,276994,15,276994.0,4386.0,74',2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,1,97,192090,Adalberto Peñaranda,Left Midfielder,11,0,0,-1,,,,1,305512,70,305512.0,2700.0,45',2025-01-25 05:32:05
13203,730311,6137,away,0,4-4-2,1,0,70,305512,Frank Castañeda,Substitute,0,1,192090,97,192090.0,2700.0,45',0,0,-1,,,,2025-01-25 05:32:05
