seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13145,727630,9811,home,0,4-2-3-1,1,1,1,177210,Per Kristian Bratveit,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,5,204768,Bent Sormo,Right Back,2,0,0,-1,,,,1,168749,26,168749.0,3660.0,61',2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,27,359186,Fredrik Dahl,Left Back,3,0,0,-1,,,,1,326032,21,326032.0,3660.0,61',2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,8,303103,Kreshnik Krasniqi,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,25,334728,Jesper Taaje,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,71,162470,Gustav Valsvik,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,77,235135,Marcus Johnson-Mehnert,Attacking Midfielder Right,7,0,0,-1,,,,1,287302,11,287302.0,5040.0,84',2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,10,166628,Herman Stengel,Right Midfielder,8,0,0,-1,,,,1,383882,16,383882.0,4320.0,72',2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,9,288449,Elias Hoff Melkersen,Forward,9,0,0,-1,,,,1,310291,7,310291.0,4320.0,72',2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,22,343805,Jonas Therkelsen,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,1,17,305194,Logi Tomasson,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,16,383882,Fredrik Ardraa,Substitute,0,1,166628,10,166628.0,4320.0,72',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,11,287302,Jostein Ekeland,Substitute,0,1,235135,77,235135.0,5040.0,84',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,26,168749,Lars-Christopher Vilsvik,Substitute,0,1,204768,5,204768.0,3660.0,61',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,24,162442,Eirik Johansen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,7,310291,Nikolaj Moller,Substitute,0,1,288449,9,288449.0,4320.0,72',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,21,326032,Marko Lawk Farji,Substitute,0,1,359186,27,359186.0,3660.0,61',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,6,352557,Samuel Silalahi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,15,359187,Andreas Heredia-Randen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,9811,home,0,4-2-3-1,1,0,4,379600,Sivert Westerlund,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,1,304258,Sander Tangvik,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,19,267842,Adrian Nilsen Pereira,Right Back,2,0,0,-1,,,,1,225862,2,225862.0,4440.0,74',2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,23,222439,Ulrik Jenssen,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,6,275471,Santeri Vaananen,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,38,307723,Mikkel Konradsen Ceide,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,21,304964,Tomas Nemcik,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,7,323173,Marius Sivertsen Broholm,Right Midfielder,7,0,0,-1,,,,1,334109,41,334109.0,4440.0,74',2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,8,186078,Iver Fossum,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,39,181637,Dino Islamovic,Forward,9,0,0,-1,,,,1,312949,9,312949.0,4500.0,75',2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,18,277007,Noah Jean Holm,Right Forward,10,0,0,-1,,,,1,253048,4,253048.0,5340.0,89',2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,1,35,275113,Emil Konradsen Ceide,Left Forward,11,0,0,-1,,,,1,359502,45,359502.0,5340.0,89',2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,45,359502,Jesper Reitan- Sunde,Substitute,0,1,275113,35,275113.0,5340.0,89',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,41,334109,Sverre Nypan,Substitute,0,1,323173,7,323173.0,4440.0,74',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,9,312949,Ole Christian Saeter,Substitute,0,1,181637,39,181637.0,4500.0,75',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,15,278152,Jonas Mortensen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,12,277211,Rasmus Sandberg,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,4,253048,Luca Racic,Substitute,0,1,277007,18,277007.0,5340.0,89',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,5,238428,Moustafa Zeidan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,2,225862,Erlend Dahl Reitan,Substitute,0,1,267842,19,267842.0,4440.0,74',0,0,-1,,,,2025-03-30 04:53:40
13145,727630,438,away,1,4-3-3,1,0,22,399708,Henry Sletsjøe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,30,379948,Jonathan Fischer,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,16,312163,Daniel Eid,Right Back,2,0,0,-1,,,,1,378948,4,378948.0,4920.0,82',2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,5,153894,Simen Rafn,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,15,355253,Fallou Fall,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,12,255666,Ulrik Fredriksen,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,22,290031,Maxwell Woledzi,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,20,399469,Oskar Øhlenschlæger,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,6,301857,Leonard Owusu,Center Midfielder,8,0,0,-1,,,,1,303104,3,303104.0,4920.0,82',2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,23,319301,Henrik Skogvold,Center Left Forward,9,0,0,-1,,,,1,399590,21,399590.0,5220.0,87',2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,9,261873,Emil Holten,Center Right Forward,10,0,0,-1,,,,1,334075,7,334075.0,4260.0,71',2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,1,11,255624,Patrick Metcalfe,Center Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,1,251617,Øystein Øvretveit,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,7,334075,Benjamin Thoresen Faraas,Substitute,0,1,261873,9,261873.0,4260.0,71',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,31,349223,Elias Solberg,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,3,303104,Brage Skaret,Substitute,0,1,301857,6,301857.0,4920.0,82',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,18,378929,Ludvig Begby,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,4,378948,Stian Molde,Substitute,0,1,312163,16,312163.0,4920.0,82',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,28,378955,Imre Hermansen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,24,388855,Torjus Engebakken,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,3039,home,1,5-3-2,1,0,21,399590,Jacob Hanstad,Substitute,0,1,319301,23,319301.0,5220.0,87',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,1,234970,Matias Dyngeland,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,21,363067,Denzel De Roeve,Right Back,2,0,0,-1,,,,1,285881,23,285881.0,4200.0,70',2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,17,205582,Joachim Soltvedt,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,10,295848,Emil Kornvig,Center Midfielder,4,0,0,-1,,,,1,288688,6,288688.0,3600.0,60',2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,3,214177,Fredrik Knudsen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,26,361818,Eivind Helland,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,27,303280,Mads Sande,Right Midfielder,7,0,0,-1,,,,1,321407,19,321407.0,3600.0,60',2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,8,251618,Felix Horn Myhre,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,20,272749,Aune Heggebo,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,7,298069,Mads Kristian Hansen,Right Forward,10,0,0,-1,,,,1,274042,14,274042.0,3540.0,59',2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,1,9,234989,Niklas Castro,Left Forward,11,0,0,-1,,,,1,173355,11,173355.0,4920.0,82',2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,14,274042,Ulrick Mathisen,Substitute,0,1,298069,7,298069.0,3540.0,59',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,11,173355,Bard Finne,Substitute,0,1,234989,9,234989.0,4920.0,82',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,32,320656,Markus Haaland,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,19,321407,Eggert Aron Gudmundsson,Substitute,0,1,303280,27,303280.0,3600.0,60',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,43,356399,Rasmus Holten,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,12,373795,Martin Børsheim,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,41,383883,Lars Remmem,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,6,288688,Japhet Sery,Substitute,0,1,295848,10,295848.0,3600.0,60',0,0,-1,,,,2025-03-30 04:53:40
13145,727631,620,away,0,4-3-3,1,0,23,285881,Thore Baardsen Pedersen,Substitute,0,1,363067,21,363067.0,4200.0,70',0,0,-1,,,,2025-03-30 04:53:40
13145,727632,2791,home,1,4-1-4-1,1,1,21,323784,Magnus Smelhus Sjøeng,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,3,379439,Håkon Sjåtil,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,23,356980,Noah Pallas,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,29,335757,Fidele Brice Ambina,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,4,357348,Aaron Olsen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,55,285943,Sebastian Jarl,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13145,727632,2791,home,1,4-1-4-1,1,1,7,319066,Magnus Riisnaes,Right Midfielder,7,0,0,-1,,,,1,202687,24,202687.0,4740.0,79',2025-03-31 04:50:43
