seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13235,731390,17346,home,0,4-4-2,1,1,1,212207,Jane Campbell,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,15,307766,Avery Patterson,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,4,227090,Natalie Jacobs,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,24,211037,Danielle Colaprico,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,14,211496,Paige Nielsen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,25,214142,Katie Lind,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,10,308484,Bárbara Olivieri,Right Midfielder,7,0,0,-1,,,,1,225731,22,225731.0,4368.0,73',2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,13,95131,Sophie Schmidt,Center Left Midfielder,8,0,0,-1,,,,1,307781,23,307781.0,3546.0,60',2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,8,279307,Delanie Sheehan,Center Left Forward,9,0,0,-1,,,,1,261670,21,261670.0,3531.0,59',2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,6,279452,Messiah Bright,Center Right Forward,10,0,0,-1,,,,1,351723,7,351723.0,4357.0,73',2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,1,11,263902,Yazmeen Ryan,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,19,337604,Belle Briede,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,7,351723,Evelina Duljan,Substitute,0,1,279452,6,279452.0,4357.0,73',0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,23,307781,Maggie Graham,Substitute,0,1,95131,13,95131.0,3546.0,60',0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,21,261670,Ryan Gareis,Substitute,0,1,279307,8,279307.0,3531.0,59',0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,17,252344,Sarah Puntigam,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,20,208915,Christen Westphal,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
13235,731390,17346,home,0,4-4-2,1,0,35,211130,Abby Smith,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-15 04:50:00
