seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12876,2024,ESP.W.1,21140,41988,10,1,0,4,0,0,1,0,0,0,0,0,0,32,20,2025-05-13 04:47:00
12876,2024,ESP.W.1,21424,127084,26,8,24,6,3,0,0,3,0,1,4,0,0,0,21,2024-08-20 04:52:22
12876,2024,ESP.W.1,21428,127084,25,1,17,9,5,0,0,3,0,3,12,0,0,0,34,2025-05-13 04:47:02
12876,2024,ESP.W.1,21128,158845,15,6,2,3,0,0,0,0,0,0,5,0,0,0,11,2024-08-20 04:52:24
12876,2024,ESP.W.1,21373,158859,19,1,19,9,7,0,0,0,0,1,5,1,0,0,40,2025-05-13 04:47:02
12876,2024,ESP.W.1,21145,168039,20,4,9,7,1,0,0,1,0,2,9,2,0,0,21,2025-05-13 04:46:59
12876,2024,ESP.W.1,21376,176022,20,8,5,7,3,0,0,0,0,0,2,0,0,0,26,2024-08-20 04:52:22
12876,2024,ESP.W.1,21128,188395,17,3,32,6,2,0,0,0,0,4,17,0,0,0,10,2025-05-13 04:47:02
12876,2024,ESP.W.1,20091,188448,21,5,14,8,3,0,0,4,2,5,17,1,0,0,7,2024-08-20 04:52:23
12876,2024,ESP.W.1,21427,208930,6,2,0,3,0,0,0,0,0,0,2,0,0,0,3,2024-08-20 04:52:28
12876,2024,ESP.W.1,21149,209921,20,9,6,3,1,0,0,0,0,1,1,0,0,0,19,2025-05-13 04:47:01
12876,2024,ESP.W.1,21424,211151,30,6,10,20,3,0,0,4,11,22,46,6,0,0,42,2024-08-20 04:52:22
12876,2024,ESP.W.1,21149,211326,25,13,25,8,2,0,0,0,1,5,8,0,0,0,25,2024-08-20 04:52:25
12876,2024,ESP.W.1,21372,212433,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2024-08-20 04:52:26
12876,2024,ESP.W.1,21428,219120,19,7,19,18,3,0,0,0,0,9,29,3,0,0,15,2025-05-13 04:47:02
12876,2024,ESP.W.1,21128,219818,28,18,32,17,1,0,0,2,11,15,39,4,0,0,14,2024-08-20 04:52:24
12876,2024,ESP.W.1,21425,219830,25,0,20,6,1,0,0,0,0,3,8,1,0,0,47,2025-05-13 04:47:01
12876,2024,ESP.W.1,21149,219849,11,8,9,4,1,0,0,0,1,4,10,1,0,0,7,2024-08-20 04:52:25
12876,2024,ESP.W.1,20093,219866,19,3,11,32,2,0,0,3,2,15,33,6,0,0,8,2024-08-20 04:52:21
12876,2024,ESP.W.1,21149,219894,23,21,15,9,5,0,0,1,0,5,18,3,0,0,11,2025-05-13 04:47:01
12876,2024,ESP.W.1,21427,219902,12,4,10,20,2,0,0,1,0,1,6,1,0,0,8,2025-01-03 05:43:04
12876,2024,ESP.W.1,21374,219914,9,1,12,14,1,0,0,0,0,1,3,0,0,0,10,2025-05-13 04:47:03
12876,2024,ESP.W.1,20091,219988,14,0,0,1,0,0,0,0,0,0,0,0,0,23,7,2024-08-20 04:52:23
12876,2024,ESP.W.1,20091,219989,22,8,6,1,1,0,0,1,0,4,20,2,0,0,10,2025-05-13 04:46:58
12876,2024,ESP.W.1,21424,219992,28,4,32,29,7,0,0,5,5,9,20,1,0,0,34,2024-08-20 04:52:22
12876,2024,ESP.W.1,20091,219995,23,7,12,25,1,0,0,11,0,31,72,16,0,0,5,2025-05-13 04:46:58
12876,2024,ESP.W.1,20091,219998,22,7,7,8,1,0,0,1,0,8,32,2,0,0,7,2025-05-13 04:46:58
12876,2024,ESP.W.1,20093,220002,27,0,0,3,1,0,0,0,0,0,0,0,0,72,23,2025-05-13 04:46:58
12876,2024,ESP.W.1,21149,220005,16,4,20,6,5,0,1,0,0,6,11,1,0,0,16,2025-05-13 04:47:01
12876,2024,ESP.W.1,21128,220008,25,0,16,6,2,0,0,1,0,5,17,2,0,0,26,2024-08-20 04:52:24
12876,2024,ESP.W.1,20093,220017,14,10,7,6,5,0,0,2,1,3,7,1,0,0,5,2024-08-20 04:52:21
12876,2024,ESP.W.1,21376,225794,13,8,3,1,1,0,0,0,0,1,5,0,0,0,8,2025-05-13 04:46:59
12876,2024,ESP.W.1,21154,226077,13,12,0,1,0,0,0,0,0,5,12,1,0,0,7,2025-05-13 04:46:59
12876,2024,ESP.W.1,21154,226725,27,6,10,18,6,0,0,1,0,11,28,4,0,0,22,2025-05-13 04:46:59
12876,2024,ESP.W.1,21424,226725,26,21,4,6,1,0,0,5,5,5,11,1,0,0,10,2024-08-20 04:52:22
12876,2024,ESP.W.1,21425,227130,13,6,4,7,0,0,0,0,0,4,7,3,0,0,10,2025-03-21 04:53:23
12876,2024,ESP.W.1,21427,239991,23,0,0,7,2,0,0,0,0,0,0,0,0,63,35,2024-08-20 04:52:28
12876,2024,ESP.W.1,20091,240277,22,7,7,7,0,0,0,4,0,10,21,5,0,0,8,2025-05-13 04:46:58
12876,2024,ESP.W.1,21149,245184,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:47:01
12876,2024,ESP.W.1,21128,248832,21,7,15,7,1,0,0,6,0,4,18,2,0,0,13,2025-05-13 04:47:02
12876,2024,ESP.W.1,21145,249104,26,10,11,10,0,0,0,0,0,8,22,2,0,0,20,2025-05-13 04:46:59
12876,2024,ESP.W.1,21149,249104,10,4,5,3,1,0,0,0,0,3,7,0,0,0,8,2024-08-20 04:52:25
12876,2024,ESP.W.1,20093,252358,26,16,15,5,1,0,0,1,0,16,32,3,0,0,6,2025-05-13 04:46:58
12876,2024,ESP.W.1,21428,252358,28,7,21,6,4,0,0,3,9,28,60,14,0,0,35,2024-08-20 04:52:27
12876,2024,ESP.W.1,20093,252363,26,5,6,11,2,0,0,3,0,8,31,2,0,0,15,2025-05-13 04:46:58
12876,2024,ESP.W.1,20091,253699,21,6,10,7,1,0,0,9,0,26,79,11,0,0,12,2025-05-13 04:46:58
12876,2024,ESP.W.1,21372,253739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:58
12876,2024,ESP.W.1,20091,255815,25,5,10,12,1,0,0,6,0,8,25,1,0,0,11,2025-05-13 04:46:58
12876,2024,ESP.W.1,21426,257469,28,5,32,39,5,0,0,4,24,19,48,11,0,0,21,2024-08-20 04:52:24
12876,2024,ESP.W.1,20091,257473,28,14,8,10,1,0,0,9,6,31,66,10,0,0,5,2024-08-20 04:52:23
12876,2024,ESP.W.1,21128,257531,26,9,5,15,1,0,0,8,0,27,59,10,0,0,17,2025-05-13 04:47:02
12876,2024,ESP.W.1,21128,258818,18,4,6,7,2,0,1,0,0,5,11,0,0,0,13,2025-05-13 04:47:02
12876,2024,ESP.W.1,21426,258818,26,1,27,21,0,0,0,3,4,8,17,1,0,0,22,2024-08-20 04:52:24
12876,2024,ESP.W.1,20093,258819,16,5,17,15,2,1,0,2,9,12,29,3,0,0,7,2024-08-20 04:52:21
12876,2024,ESP.W.1,21426,259292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-20 04:52:24
12876,2024,ESP.W.1,21373,259318,23,3,9,6,3,0,1,0,0,2,10,0,0,0,38,2025-05-13 04:47:02
12876,2024,ESP.W.1,20093,259762,26,12,18,11,5,0,0,3,0,8,18,1,0,0,10,2025-05-13 04:46:58
12876,2024,ESP.W.1,21424,259954,28,0,24,10,8,0,0,0,0,1,6,0,0,0,43,2025-05-13 04:47:03
12876,2024,ESP.W.1,21374,261626,13,8,3,6,1,0,0,0,0,1,8,0,0,0,9,2025-05-13 04:47:03
12876,2024,ESP.W.1,21145,261922,9,7,1,2,0,0,0,0,0,4,6,1,0,0,3,2025-05-13 04:46:59
12876,2024,ESP.W.1,21427,264717,21,15,21,23,4,0,0,1,0,9,28,3,0,0,10,2025-05-13 04:47:00
12876,2024,ESP.W.1,21128,264719,25,11,13,5,2,0,0,7,0,24,69,12,0,0,7,2025-05-13 04:47:02
12876,2024,ESP.W.1,21128,264720,14,6,7,9,1,0,0,2,0,9,26,5,0,0,7,2025-05-13 04:47:02
12876,2024,ESP.W.1,20091,264734,24,8,12,6,2,0,0,8,0,13,52,7,0,0,8,2025-05-13 04:46:58
12876,2024,ESP.W.1,21425,264855,19,15,4,7,0,0,0,2,0,6,18,0,0,0,19,2025-05-13 04:47:01
12876,2024,ESP.W.1,21425,264860,28,3,13,8,4,0,0,1,1,3,10,0,0,0,49,2024-08-20 04:52:23
12876,2024,ESP.W.1,21424,265534,29,0,8,14,1,0,0,4,0,10,28,2,0,0,39,2025-05-13 04:47:03
12876,2024,ESP.W.1,21149,266890,23,9,21,10,5,0,0,0,0,2,7,0,0,0,18,2025-05-13 04:47:01
12876,2024,ESP.W.1,21425,266890,28,12,17,32,6,0,0,2,1,4,9,2,0,0,29,2024-08-20 04:52:23
12876,2024,ESP.W.1,21372,267452,3,2,1,0,0,0,0,1,0,1,2,0,0,0,0,2024-08-20 04:52:26
