seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12694,2024,FRA.1,6997,10767,7,2,12,1,1,0,0,0,0,0,4,0,0,2,5,2025-05-13 04:46:34
12694,2024,FRA.1,3243,14775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:38
12694,2024,FRA.1,179,30302,27,4,20,19,1,0,0,3,2,0,5,0,0,3,24,2025-05-13 04:46:39
12694,2024,FRA.1,174,38721,28,4,45,37,10,1,0,7,4,7,25,2,0,4,23,2025-05-13 04:46:34
12694,2024,FRA.1,177,38721,31,5,44,45,3,0,0,4,3,6,27,1,0,3,42,2024-07-13 02:49:42
12694,2024,FRA.1,179,77072,29,1,28,11,2,1,0,1,0,2,10,1,0,19,32,2025-05-13 04:46:39
12694,2024,FRA.1,166,85400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:35
12694,2024,FRA.1,169,89018,17,0,0,1,0,0,0,0,0,0,0,0,141,29,21,2025-05-13 04:46:38
12694,2024,FRA.1,175,93641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:35
12694,2024,FRA.1,169,97867,22,8,24,15,4,0,0,1,1,3,16,0,0,1,14,2025-05-13 04:46:38
12694,2024,FRA.1,177,98965,26,1,23,4,2,0,0,0,1,4,10,2,0,20,45,2024-07-13 02:49:42
12694,2024,FRA.1,177,104028,34,0,1,8,3,0,0,0,2,0,0,0,430,131,57,2024-07-13 02:49:42
12694,2024,FRA.1,3236,104030,26,12,16,29,2,0,0,1,0,9,22,4,0,2,33,2025-05-13 04:46:35
12694,2024,FRA.1,3236,114031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:35
12694,2024,FRA.1,3171,118091,28,0,29,29,7,0,0,0,4,5,11,0,0,10,40,2024-07-13 02:49:44
12694,2024,FRA.1,176,118279,27,22,11,24,2,0,0,2,0,13,34,3,0,1,14,2025-05-13 04:46:36
12694,2024,FRA.1,178,120496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:38
12694,2024,FRA.1,165,121406,5,3,4,1,0,0,0,1,0,0,3,0,0,2,1,2025-05-13 04:46:37
12694,2024,FRA.1,166,123683,29,0,44,49,12,0,0,3,8,5,17,0,0,6,31,2025-05-13 04:46:35
12694,2024,FRA.1,7868,127828,19,3,10,8,2,0,0,0,0,0,1,0,0,8,29,2025-05-13 04:46:34
