seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12860,2024,RSA.1,11913,22004,3,0,0,1,0,0,0,0,0,0,0,0,0,7,4,2025-05-13 04:50:58
12860,2024,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:03
12860,2024,RSA.1,7084,89834,10,1,1,4,0,1,0,0,0,0,0,0,0,20,4,2025-05-13 04:51:00
12860,2024,RSA.1,7079,92296,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-01-26 05:34:41
12860,2024,RSA.1,7079,92896,15,1,16,9,1,0,0,0,0,0,2,0,0,0,14,2025-05-13 04:50:58
12860,2024,RSA.1,7077,108527,16,7,19,10,5,0,0,0,0,2,6,0,0,0,7,2025-05-13 04:50:59
12860,2024,RSA.1,11913,111463,11,1,5,3,1,0,0,0,0,2,6,2,0,0,10,2025-05-13 04:50:58
12860,2024,RSA.1,7080,111946,11,3,7,8,0,0,0,0,0,10,27,4,0,0,5,2025-05-13 04:51:03
12860,2024,RSA.1,7100,116195,5,4,0,6,0,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:50:58
12860,2024,RSA.1,13317,120123,19,0,1,4,3,0,0,0,0,0,0,0,0,49,25,2025-05-13 04:51:01
12860,2024,RSA.1,7099,127303,14,2,13,11,0,0,0,2,0,2,6,0,0,0,8,2025-05-13 04:51:01
12860,2024,RSA.1,7100,129306,27,0,1,10,2,0,0,0,0,0,0,0,0,61,32,2025-05-13 04:50:58
12860,2024,RSA.1,7100,129365,19,6,12,15,1,0,0,0,0,0,1,0,0,0,13,2025-05-13 04:50:58
12860,2024,RSA.1,7080,138752,12,0,6,2,2,0,0,0,0,1,6,0,0,0,7,2025-05-13 04:51:03
12860,2024,RSA.1,7077,139425,26,0,7,14,2,0,0,0,0,2,8,1,0,0,27,2025-05-13 04:50:59
12860,2024,RSA.1,13317,141465,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:01
12860,2024,RSA.1,7100,151221,23,9,29,16,3,0,0,0,0,10,29,3,0,0,15,2025-05-13 04:50:58
12860,2024,RSA.1,7080,151866,13,4,9,5,4,0,0,1,0,7,17,0,0,0,6,2025-05-13 04:51:03
12860,2024,RSA.1,7077,151870,14,1,16,9,3,0,0,0,0,2,10,1,0,0,18,2025-05-13 04:50:59
12860,2024,RSA.1,18616,151870,12,1,12,9,3,0,0,0,0,2,8,1,0,0,15,2025-04-28 04:51:35
12860,2024,RSA.1,18616,152579,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2025-02-08 05:52:12
12860,2024,RSA.1,18825,152579,10,8,6,4,0,0,0,0,0,1,5,0,0,0,4,2025-05-13 04:51:02
12860,2024,RSA.1,7084,155179,18,0,16,6,6,0,0,0,0,1,3,1,0,0,11,2025-05-13 04:51:00
12860,2024,RSA.1,7084,157046,6,5,4,1,0,0,0,1,0,0,0,0,0,0,1,2025-05-13 04:51:00
12860,2024,RSA.1,7081,157394,7,5,4,5,0,0,0,0,0,3,7,0,0,0,4,2025-05-13 04:50:59
12860,2024,RSA.1,13317,164877,22,2,21,16,6,1,0,1,0,4,18,3,0,0,26,2025-05-13 04:51:01
12860,2024,RSA.1,13317,165059,13,8,3,1,2,0,0,0,0,0,1,0,0,0,9,2025-05-13 04:51:01
12860,2024,RSA.1,7085,165135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:01
12860,2024,RSA.1,13317,167023,2,1,0,1,1,0,0,0,0,0,0,0,0,3,1,2025-05-13 04:51:01
12860,2024,RSA.1,18611,169141,12,11,3,2,0,0,0,0,0,2,3,0,0,0,3,2025-05-13 04:51:00
12860,2024,RSA.1,7084,172748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:51:00
12860,2024,RSA.1,18611,173974,6,0,2,2,1,0,0,0,0,0,0,0,0,0,6,2025-04-21 02:18:00
12860,2024,RSA.1,20814,177844,19,3,8,2,2,0,0,0,0,3,7,1,0,0,18,2025-05-13 04:51:02
12860,2024,RSA.1,7079,177890,14,2,14,17,2,0,0,0,0,3,7,1,0,0,10,2025-05-13 04:50:58
12860,2024,RSA.1,7084,177921,13,4,10,4,3,0,0,0,0,0,1,0,0,0,4,2025-05-13 04:51:00
