seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12783,2024,TUR.1,997,17429,5,4,3,0,2,0,1,0,0,0,1,0,0,0,1,2025-05-13 04:47:10
12783,2024,TUR.1,997,31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:10
12783,2024,TUR.1,20736,68067,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2024-07-13 02:50:19
12783,2024,TUR.1,6870,69600,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2025-05-13 04:47:08
12783,2024,TUR.1,432,89687,31,10,24,25,3,0,0,7,0,20,41,4,0,0,19,2025-05-13 04:47:06
12783,2024,TUR.1,20729,98401,24,8,13,9,6,1,0,5,0,5,11,0,0,0,24,2025-05-13 04:47:06
12783,2024,TUR.1,20736,98668,25,8,0,0,4,1,0,0,0,2,2,2,0,0,19,2024-07-13 02:50:19
12783,2024,TUR.1,436,102337,33,10,17,44,1,0,0,4,0,42,102,13,0,0,20,2025-05-13 04:47:06
12783,2024,TUR.1,6870,108251,24,7,15,24,3,0,0,3,0,12,31,2,0,0,26,2025-05-13 04:47:08
12783,2024,TUR.1,7914,108303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:08
12783,2024,TUR.1,432,108622,32,0,0,9,7,0,0,0,0,0,0,0,0,78,31,2025-05-13 04:47:06
12783,2024,TUR.1,20737,110191,21,7,7,15,6,0,0,3,0,5,17,1,0,0,24,2025-05-13 04:47:08
12783,2024,TUR.1,3794,113459,24,0,24,13,4,1,0,1,0,3,23,0,0,0,39,2025-05-13 04:47:04
12783,2024,TUR.1,20765,116863,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2025-05-13 04:47:04
12783,2024,TUR.1,20729,119005,6,4,0,3,1,0,0,0,0,0,1,0,0,0,4,2025-01-09 05:39:25
12783,2024,TUR.1,789,121314,25,11,23,7,4,0,0,3,0,2,15,1,0,0,19,2025-05-13 04:47:07
12783,2024,TUR.1,436,122575,33,7,22,36,2,0,0,11,0,20,40,11,0,0,25,2025-05-13 04:47:06
12783,2024,TUR.1,3691,122988,23,7,24,46,6,0,0,1,0,14,30,5,0,0,32,2025-05-13 04:47:10
12783,2024,TUR.1,20729,123069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:06
12783,2024,TUR.1,3794,123261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-17 05:50:14
12783,2024,TUR.1,2429,123651,20,16,0,0,1,0,0,0,0,3,3,3,0,0,10,2024-07-13 02:50:25
12783,2024,TUR.1,7914,124126,28,4,53,60,9,0,0,4,0,6,23,2,0,0,34,2025-05-13 04:47:08
12783,2024,TUR.1,1895,124880,31,0,1,2,4,0,0,0,0,0,0,0,0,82,30,2025-05-13 04:47:05
12783,2024,TUR.1,2429,127466,8,5,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-13 02:50:25
12783,2024,TUR.1,11429,129556,27,22,10,6,1,0,0,1,0,8,19,7,0,0,7,2025-05-13 04:47:09
12783,2024,TUR.1,1895,130123,28,4,18,16,3,0,0,4,0,25,64,15,0,0,19,2025-05-13 04:47:05
12783,2024,TUR.1,20736,132069,15,6,0,0,2,0,0,0,0,0,0,0,0,0,13,2024-07-13 02:50:19
12783,2024,TUR.1,3794,132432,18,12,4,11,1,0,0,0,0,2,7,0,0,0,9,2025-05-13 04:47:04
12783,2024,TUR.1,20736,135216,23,6,0,0,5,2,0,0,0,4,4,4,0,0,25,2024-07-13 02:50:19
12783,2024,TUR.1,436,136585,10,10,5,3,0,0,0,0,0,2,4,1,0,0,1,2025-05-13 04:47:06
