seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13231,2025,CHI.1,4139,3276,6,0,7,2,1,0,0,0,0,1,3,0,0,0,3,2025-05-13 04:49:11
13231,2025,CHI.1,7427,34237,9,5,0,1,0,0,0,0,0,1,5,1,0,0,4,2025-05-13 04:49:11
13231,2025,CHI.1,4139,40376,8,4,6,6,1,0,0,2,0,8,31,2,0,0,8,2025-05-13 04:49:11
13231,2025,CHI.1,19195,47057,9,2,5,1,1,0,0,2,0,1,6,1,0,0,14,2025-05-13 04:49:08
13231,2025,CHI.1,4134,48664,7,4,1,3,0,0,0,0,0,3,3,2,0,0,1,2025-05-13 04:49:09
13231,2025,CHI.1,4129,50905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:09
13231,2025,CHI.1,10142,70398,8,2,12,10,5,0,0,2,0,3,9,0,0,0,10,2025-05-13 04:49:08
13231,2025,CHI.1,4138,72377,10,0,7,10,3,0,0,0,0,1,8,0,0,0,11,2025-05-13 04:49:07
13231,2025,CHI.1,10142,73162,3,0,2,2,1,0,0,1,0,0,4,0,0,0,5,2025-05-13 04:49:08
13231,2025,CHI.1,10144,74864,10,1,8,2,3,0,0,0,0,0,0,0,0,0,8,2025-05-13 04:49:11
13231,2025,CHI.1,4139,76778,8,0,9,10,1,0,0,1,0,4,10,2,0,0,7,2025-05-13 04:49:11
13231,2025,CHI.1,4133,77751,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-21 02:16:52
13231,2025,CHI.1,4129,82010,8,1,9,6,1,0,0,2,0,7,17,2,0,0,16,2025-05-13 04:49:09
13231,2025,CHI.1,19195,82185,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:49:08
13231,2025,CHI.1,4138,87673,3,2,3,1,1,0,0,0,0,2,6,1,0,0,1,2025-05-13 04:49:07
13231,2025,CHI.1,6072,95242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:10
13231,2025,CHI.1,4134,96287,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-05-13 04:49:09
13231,2025,CHI.1,4422,99271,10,0,0,1,2,0,0,0,0,0,0,0,0,34,10,2025-05-13 04:49:10
13231,2025,CHI.1,885,101277,9,0,19,19,2,0,0,1,0,1,6,0,0,0,7,2025-05-13 04:49:10
13231,2025,CHI.1,4139,101760,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2025-05-13 04:49:11
13231,2025,CHI.1,4422,101764,6,0,4,6,1,0,0,0,0,1,2,0,0,0,7,2025-05-13 04:49:10
13231,2025,CHI.1,2688,102198,3,1,8,2,2,0,0,0,0,0,2,0,0,0,0,2025-05-13 04:49:07
13231,2025,CHI.1,8186,102983,9,0,6,3,2,2,0,0,0,1,5,0,0,0,5,2025-05-13 04:49:08
13231,2025,CHI.1,7427,103198,8,2,11,9,2,0,0,0,0,2,10,1,0,0,10,2025-05-13 04:49:11
13231,2025,CHI.1,19195,103425,9,2,5,1,1,0,0,0,0,1,3,1,0,0,14,2025-05-13 04:49:08
13231,2025,CHI.1,4422,106148,7,0,3,4,0,0,0,0,0,1,2,0,0,0,7,2025-05-13 04:49:10
13231,2025,CHI.1,6072,113155,7,6,4,1,1,1,0,0,0,2,7,1,0,0,1,2025-05-13 04:49:10
13231,2025,CHI.1,2688,113574,5,1,6,2,0,0,0,0,0,0,3,0,0,0,4,2025-05-13 04:49:07
13231,2025,CHI.1,6072,116702,7,7,4,0,2,0,0,0,0,1,1,1,0,0,3,2025-05-13 04:49:10
13231,2025,CHI.1,10142,118846,8,0,0,1,0,0,0,0,0,0,0,0,0,27,16,2025-05-13 04:49:08
13231,2025,CHI.1,4422,120602,8,3,10,7,2,0,0,1,0,2,9,0,0,0,5,2025-05-13 04:49:10
13231,2025,CHI.1,10142,120710,5,1,2,1,1,0,0,1,0,0,3,0,0,0,8,2025-05-13 04:49:08
13231,2025,CHI.1,885,120914,7,4,3,4,2,0,0,0,0,0,3,0,0,0,4,2025-05-13 04:49:10
13231,2025,CHI.1,4133,121092,10,0,0,3,1,0,0,0,0,0,0,0,0,37,9,2025-05-13 04:49:07
