seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12624,2024,DEN.1,575,33435,25,0,14,13,3,0,0,1,0,2,15,0,0,0,36,2025-05-10 04:51:02
12624,2024,DEN.1,7853,99920,27,0,0,4,0,0,0,0,0,0,0,0,0,66,32,2025-05-10 04:51:02
12624,2024,DEN.1,7860,106073,11,3,2,3,1,0,0,0,0,0,7,0,0,0,11,2025-05-10 04:51:04
12624,2024,DEN.1,12498,107063,22,15,9,3,0,0,0,3,0,6,9,0,0,0,14,2025-05-10 04:51:05
12624,2024,DEN.1,3153,108727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:51:05
12624,2024,DEN.1,7853,118411,29,1,34,25,2,0,0,0,0,33,62,19,0,0,33,2025-05-10 04:51:02
12624,2024,DEN.1,3101,129916,16,1,6,5,2,0,0,0,0,0,3,0,0,0,26,2025-05-10 04:51:03
12624,2024,DEN.1,3132,131741,15,15,0,3,0,0,0,0,0,0,1,0,0,0,3,2025-05-10 04:51:04
12624,2024,DEN.1,7853,133567,23,4,20,18,2,0,0,0,0,3,7,1,0,0,23,2025-05-10 04:51:02
12624,2024,DEN.1,12498,134000,5,3,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-05-10 04:51:05
12624,2024,DEN.1,3101,134257,8,4,1,3,0,0,0,0,0,0,0,0,0,0,6,2025-05-10 04:51:03
12624,2024,DEN.1,12498,137404,20,14,12,5,1,0,0,0,0,3,15,1,0,0,16,2025-05-10 04:51:05
12624,2024,DEN.1,7860,142329,11,8,10,10,3,0,0,0,0,0,1,0,0,0,5,2025-04-17 04:50:33
12624,2024,DEN.1,3101,145645,27,0,0,1,0,0,1,0,0,0,0,0,0,72,48,2025-05-10 04:51:03
12624,2024,DEN.1,3101,146803,27,0,17,28,8,0,0,4,0,14,34,3,0,0,43,2025-05-10 04:51:03
12624,2024,DEN.1,7853,150039,14,14,2,3,1,0,0,0,0,0,4,0,0,0,3,2025-05-07 04:47:28
12624,2024,DEN.1,607,150067,29,0,0,7,0,0,0,0,0,0,0,0,0,79,35,2025-05-10 04:51:04
12624,2024,DEN.1,909,151053,14,2,11,21,2,1,0,2,0,3,11,0,0,0,12,2025-05-10 04:51:03
12624,2024,DEN.1,909,151757,22,4,36,28,7,0,0,3,0,9,21,3,0,0,16,2025-05-10 04:51:03
12624,2024,DEN.1,572,152859,7,0,0,1,0,0,0,0,0,0,0,0,0,32,8,2025-05-10 04:51:03
12624,2024,DEN.1,575,153822,27,4,19,30,3,0,0,1,0,11,22,2,0,0,32,2025-05-10 04:51:02
12624,2024,DEN.1,2986,153920,14,12,4,5,0,0,0,3,0,1,8,1,0,0,8,2025-05-10 04:51:02
12624,2024,DEN.1,3132,154973,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:51:04
12624,2024,DEN.1,3132,159494,29,0,0,4,2,0,0,0,0,0,0,0,0,87,42,2025-05-10 04:51:04
