seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12655,2024,ESP.1,94,16340,33,5,24,27,4,0,0,3,10,8,43,3,0,1,36,2025-05-10 04:49:20
12655,2024,ESP.1,6832,22315,21,12,15,6,3,0,0,0,5,3,4,0,0,4,24,2024-07-13 02:49:26
12655,2024,ESP.1,102,24278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:20
12655,2024,ESP.1,84,32501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:17
12655,2024,ESP.1,243,37449,15,12,0,4,0,0,0,0,1,2,3,1,0,0,6,2025-01-02 05:38:02
12655,2024,ESP.1,243,39902,9,4,5,1,0,0,0,0,0,2,9,0,0,0,6,2025-02-04 05:31:58
12655,2024,ESP.1,6832,41549,9,7,3,4,0,0,0,0,0,2,4,0,0,0,11,2024-07-13 02:49:26
12655,2024,ESP.1,102,41970,15,1,10,6,4,0,1,0,2,1,3,0,0,9,19,2025-05-10 04:49:20
12655,2024,ESP.1,101,66410,16,10,16,11,1,0,0,0,3,2,5,1,0,0,5,2025-05-10 04:49:18
12655,2024,ESP.1,3842,67183,31,19,19,32,2,0,0,0,2,5,17,0,0,3,21,2024-07-13 02:49:28
12655,2024,ESP.1,1068,70224,16,12,7,8,0,0,0,1,0,4,14,0,0,0,5,2025-05-10 04:49:15
12655,2024,ESP.1,95,75433,5,0,0,0,0,0,0,0,1,0,0,0,72,18,18,2025-05-10 04:49:19
12655,2024,ESP.1,86,76762,31,17,18,15,7,0,0,4,2,4,17,2,0,5,19,2025-05-10 04:49:19
12655,2024,ESP.1,101,82816,6,5,2,1,1,0,0,0,0,2,3,0,0,0,2,2025-01-14 05:28:06
12655,2024,ESP.1,86,87297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:19
12655,2024,ESP.1,85,92800,27,10,16,31,4,1,0,4,9,22,48,9,0,2,24,2025-05-10 04:49:16
12655,2024,ESP.1,243,96060,8,1,0,2,2,0,0,0,1,0,0,0,59,17,12,2025-05-10 04:49:20
12655,2024,ESP.1,6832,97026,11,9,13,6,0,0,0,0,0,1,5,1,0,0,7,2024-07-13 02:49:26
12655,2024,ESP.1,85,97429,30,0,0,4,0,0,0,0,2,0,0,0,252,69,43,2025-05-10 04:49:16
12655,2024,ESP.1,1068,97770,12,3,7,5,1,0,0,0,0,2,5,1,0,2,6,2025-05-10 04:49:15
12655,2024,ESP.1,243,105756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-02 14:44:30
12655,2024,ESP.1,97,106326,24,15,23,22,3,0,0,1,5,5,17,1,0,6,21,2025-05-10 04:49:18
12655,2024,ESP.1,2922,108480,3,2,6,0,0,0,0,0,0,0,2,0,0,0,0,2025-05-10 04:49:16
12655,2024,ESP.1,95,110633,28,1,10,24,2,0,0,0,5,2,4,0,0,9,62,2025-05-10 04:49:19
12655,2024,ESP.1,3747,113097,4,0,0,0,0,0,0,0,2,0,0,0,27,8,10,2024-07-13 02:49:30
12655,2024,ESP.1,88,113146,5,2,5,2,0,0,0,0,1,0,0,0,0,1,2,2025-05-10 04:49:16
12655,2024,ESP.1,9812,113737,28,25,27,4,3,0,0,2,0,19,31,9,0,1,11,2025-05-10 04:49:16
12655,2024,ESP.1,17534,114255,5,4,4,4,0,0,0,0,0,2,5,0,0,0,3,2024-10-28 05:04:39
12655,2024,ESP.1,243,116389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:20
12655,2024,ESP.1,86,118444,7,3,2,0,1,0,0,0,1,0,0,0,0,5,4,2025-05-10 04:49:19
12655,2024,ESP.1,6832,119045,28,18,18,17,3,0,0,1,2,4,14,1,0,4,27,2024-07-13 02:49:26
12655,2024,ESP.1,243,119332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:20
12655,2024,ESP.1,88,120708,11,5,6,1,1,0,0,0,0,1,2,0,0,8,14,2025-05-10 04:49:16
12655,2024,ESP.1,102,121020,32,8,18,30,7,0,0,3,4,3,12,3,0,7,32,2025-05-10 04:49:20
12655,2024,ESP.1,244,121194,3,2,2,2,0,0,0,0,0,2,2,0,0,1,2,2024-09-08 04:55:50
12655,2024,ESP.1,3747,121600,25,18,11,21,2,0,0,1,2,4,11,0,0,1,22,2024-07-13 02:49:30
12655,2024,ESP.1,98,121611,28,0,23,21,12,0,2,0,1,5,6,0,0,22,40,2025-05-10 04:49:17
12655,2024,ESP.1,17534,123864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-21 04:49:23
12655,2024,ESP.1,101,125200,32,7,14,18,4,0,0,5,4,20,56,3,0,0,31,2025-05-10 04:49:18
12655,2024,ESP.1,102,125749,28,1,21,13,7,0,0,1,2,0,3,0,0,10,33,2025-05-10 04:49:20
