seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12749,2024,GER.2,9707,34107,27,6,28,21,6,0,0,2,0,5,19,1,0,0,34,2025-04-28 04:47:54
12749,2024,GER.2,133,40791,23,1,17,19,3,0,0,0,0,30,56,15,0,0,41,2025-04-28 04:47:57
12749,2024,GER.2,270,79941,34,0,0,3,1,0,0,0,3,0,0,0,280,78,36,2024-07-13 02:50:48
12749,2024,GER.2,133,85917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:57
12749,2024,GER.2,122,89497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:54
12749,2024,GER.2,7013,98132,29,6,14,33,5,0,0,2,1,5,26,1,0,11,45,2024-07-13 02:50:52
12749,2024,GER.2,270,115304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,9867,118466,27,14,16,18,7,0,0,4,0,14,23,2,0,0,18,2025-04-28 04:47:56
12749,2024,GER.2,2428,121007,30,0,1,3,3,0,0,0,0,0,0,0,0,95,33,2025-04-28 04:47:55
12749,2024,GER.2,9707,121011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:54
12749,2024,GER.2,127,121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:54
12749,2024,GER.2,11017,121545,3,2,1,1,1,0,0,0,0,0,0,0,0,0,6,2025-04-28 04:47:56
12749,2024,GER.2,3769,121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,7884,122289,31,6,39,43,8,1,0,7,8,12,50,5,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,269,122397,9,5,4,6,0,0,0,1,0,4,8,1,0,0,7,2025-01-23 05:35:32
12749,2024,GER.2,9867,122397,22,7,13,16,1,0,0,1,0,10,28,2,0,0,17,2025-04-28 04:47:56
12749,2024,GER.2,7013,122680,12,11,9,8,3,0,0,1,0,0,5,0,0,2,9,2024-07-13 02:50:52
12749,2024,GER.2,4471,123071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:55
12749,2024,GER.2,10388,123772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-28 04:47:57
12749,2024,GER.2,4471,132690,27,0,8,9,1,0,0,1,0,5,24,1,0,0,45,2025-04-28 04:47:55
12749,2024,GER.2,133,136593,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-22 04:57:41
12749,2024,GER.2,3067,136593,26,16,35,18,1,0,0,3,0,9,16,1,0,0,24,2025-04-28 04:47:58
12749,2024,GER.2,3307,137226,10,0,1,0,1,1,0,0,0,1,1,0,0,23,14,2025-04-28 04:47:56
12749,2024,GER.2,2428,137433,20,6,9,16,4,0,0,0,0,4,11,2,0,0,13,2025-04-28 04:47:55
12749,2024,GER.2,7013,138168,6,0,3,6,0,0,0,0,0,0,3,0,0,5,13,2024-07-13 02:50:52
12749,2024,GER.2,3307,140765,26,18,24,9,1,1,0,3,0,22,56,8,0,0,15,2025-04-28 04:47:56
12749,2024,GER.2,3812,141327,13,13,8,0,3,0,0,3,0,3,5,0,0,0,6,2025-04-28 04:47:57
12749,2024,GER.2,2428,141689,28,14,28,22,2,0,0,3,0,10,40,2,0,0,16,2025-04-28 04:47:55
12749,2024,GER.2,15710,144025,4,3,2,0,1,0,0,0,0,0,1,0,0,0,3,2025-04-28 04:47:57
12749,2024,GER.2,269,148944,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,2025-04-28 04:47:53
12749,2024,GER.2,122,149391,8,8,5,1,1,0,0,0,0,1,2,0,0,0,0,2025-04-28 04:47:54
12749,2024,GER.2,7884,149963,26,3,20,32,2,0,0,4,12,24,59,10,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,9707,150220,28,3,15,9,9,0,0,0,0,4,15,0,0,0,36,2025-04-28 04:47:54
12749,2024,GER.2,122,151464,23,11,14,11,3,0,1,2,0,5,14,2,0,0,10,2025-04-28 04:47:54
12749,2024,GER.2,7013,152620,19,0,0,4,2,0,0,1,4,0,0,0,253,71,32,2024-07-13 02:50:52
12749,2024,GER.2,2428,153001,25,17,10,3,1,0,0,1,0,9,26,3,0,0,9,2025-04-28 04:47:55
12749,2024,GER.2,15710,153272,7,4,2,3,0,0,0,0,0,0,0,0,0,0,4,2025-04-28 04:47:57
12749,2024,GER.2,3067,153319,29,3,16,22,4,0,0,0,0,5,13,2,0,0,47,2025-04-28 04:47:58
12749,2024,GER.2,3070,153489,26,4,25,39,6,0,0,4,0,16,64,1,0,0,27,2025-04-28 04:47:58
12749,2024,GER.2,9707,153489,14,3,12,19,4,0,0,0,0,10,32,1,0,0,7,2025-01-14 05:29:36
12749,2024,GER.2,270,153654,4,4,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,129,154087,25,5,17,5,4,0,0,1,0,2,8,0,0,0,29,2025-04-28 04:47:55
12749,2024,GER.2,133,154394,23,2,15,9,5,0,0,1,0,3,10,1,0,0,33,2025-04-28 04:47:57
12749,2024,GER.2,129,154407,19,4,22,22,4,0,0,2,0,0,5,0,0,0,22,2025-04-28 04:47:55
12749,2024,GER.2,269,157466,28,0,15,14,0,0,0,2,0,7,12,1,0,0,41,2025-04-28 04:47:53
12749,2024,GER.2,4471,158940,27,0,15,15,6,0,0,0,0,3,14,2,0,0,40,2025-04-28 04:47:55
12749,2024,GER.2,269,159115,29,6,18,11,2,0,0,0,0,4,16,2,0,0,37,2025-04-28 04:47:53
12749,2024,GER.2,2428,159337,25,2,24,35,6,0,0,0,0,2,15,0,0,0,26,2025-04-28 04:47:55
12749,2024,GER.2,130,160023,4,2,1,1,0,0,0,1,0,2,7,1,0,0,3,2025-04-28 04:47:55
12749,2024,GER.2,129,162096,25,14,11,20,4,0,0,0,0,17,29,6,0,0,16,2025-04-28 04:47:55
12749,2024,GER.2,128,162111,33,0,0,2,3,1,0,0,6,0,2,0,445,116,52,2024-07-13 02:50:50
12749,2024,GER.2,3812,164830,17,15,5,4,1,0,0,0,0,0,4,0,0,0,8,2025-04-28 04:47:57
12749,2024,GER.2,133,164919,21,9,1,12,1,0,0,1,0,2,6,1,0,0,22,2025-04-28 04:47:57
12749,2024,GER.2,133,165764,4,0,0,1,0,0,0,0,0,0,0,0,0,16,5,2025-04-28 04:47:57
12749,2024,GER.2,122,167683,24,6,24,7,6,0,0,2,0,2,10,0,0,0,19,2025-04-28 04:47:54
12749,2024,GER.2,128,169109,11,4,9,8,4,0,0,1,4,1,3,0,0,4,11,2024-07-13 02:50:50
12749,2024,GER.2,3307,169367,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2025-03-11 04:43:23
12749,2024,GER.2,7884,169481,28,2,10,21,3,0,0,3,1,14,27,7,0,15,27,2024-07-13 02:50:46
12749,2024,GER.2,133,172295,21,8,15,30,2,0,0,1,0,6,22,2,0,0,23,2025-04-28 04:47:57
12749,2024,GER.2,3769,173193,34,0,1,3,2,0,0,0,3,0,0,0,453,116,50,2024-07-13 02:50:48
12749,2024,GER.2,3812,173611,28,2,10,11,4,0,0,3,0,7,11,3,0,0,35,2025-04-28 04:47:57
12749,2024,GER.2,270,173741,7,7,2,2,0,0,0,0,0,0,2,0,0,0,2,2024-07-13 02:50:48
12749,2024,GER.2,7884,173803,6,6,2,0,0,0,0,0,0,0,0,0,0,1,2,2024-07-13 02:50:46
