seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12750,2024,ITA.1,104,6729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:31
12750,2024,ITA.1,4007,11935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:35
12750,2024,ITA.1,2572,12910,10,0,0,1,0,0,0,0,0,0,0,0,87,24,12,2025-05-10 04:49:32
12750,2024,ITA.1,111,24412,7,1,7,10,1,0,0,1,1,0,5,0,0,0,6,2025-05-10 04:49:34
12750,2024,ITA.1,111,32855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-01 05:38:52
12750,2024,ITA.1,3263,32855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-23 04:46:14
12750,2024,ITA.1,107,68070,16,4,15,7,1,0,0,0,1,2,7,1,0,3,8,2025-05-10 04:49:32
12750,2024,ITA.1,111,76017,23,3,22,34,2,0,0,2,3,13,34,2,0,4,16,2025-05-10 04:49:34
12750,2024,ITA.1,104,84627,13,2,9,3,1,0,1,0,0,2,9,0,0,5,8,2025-05-10 04:49:31
12750,2024,ITA.1,105,86758,2,0,0,0,0,0,0,0,0,0,0,0,22,9,1,2025-05-10 04:49:31
12750,2024,ITA.1,105,89216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:31
12750,2024,ITA.1,4007,91776,20,8,18,11,2,1,0,1,4,3,9,0,0,8,23,2025-05-10 04:49:35
12750,2024,ITA.1,110,91873,27,9,23,17,3,0,1,2,2,4,10,3,0,6,13,2025-05-10 04:49:34
12750,2024,ITA.1,118,92055,11,6,2,9,0,0,0,0,1,0,6,0,0,0,4,2025-05-10 04:49:36
12750,2024,ITA.1,2925,93062,24,8,16,30,2,0,0,1,2,7,28,3,0,0,21,2025-05-10 04:49:32
12750,2024,ITA.1,110,93197,31,0,0,1,0,0,0,0,7,0,0,0,271,79,29,2025-05-10 04:49:34
12750,2024,ITA.1,118,93816,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,2025-05-10 04:49:36
12750,2024,ITA.1,110,98193,16,11,4,6,2,0,0,2,2,6,14,4,0,0,9,2025-05-10 04:49:34
12750,2024,ITA.1,118,99909,22,5,24,3,4,0,0,0,1,1,3,1,0,13,24,2025-05-10 04:49:36
12750,2024,ITA.1,3263,100681,6,6,2,2,2,0,0,0,1,0,2,0,0,0,0,2025-05-10 04:49:33
12750,2024,ITA.1,3240,101360,13,0,0,1,0,0,0,0,1,0,0,0,174,40,28,2024-07-13 02:53:09
12750,2024,ITA.1,113,107105,10,7,5,2,3,0,0,0,0,0,0,0,0,0,8,2025-05-10 04:49:35
12750,2024,ITA.1,2572,107105,8,5,4,1,3,0,0,0,0,0,0,0,0,0,8,2025-02-04 05:29:23
12750,2024,ITA.1,2574,107568,33,9,76,19,10,0,0,3,4,2,17,0,0,5,37,2025-05-10 04:49:33
12750,2024,ITA.1,2925,107960,11,3,8,6,1,0,0,0,0,0,3,0,0,2,7,2025-05-10 04:49:32
12750,2024,ITA.1,109,108482,32,0,0,2,1,0,0,1,7,0,0,0,340,92,31,2025-05-10 04:49:33
12750,2024,ITA.1,119,113572,8,5,7,1,1,0,0,0,0,0,1,0,0,3,2,2025-05-10 04:49:34
12750,2024,ITA.1,112,114032,27,21,16,21,2,0,0,1,2,12,27,8,0,0,15,2025-05-10 04:49:35
12750,2024,ITA.1,2572,115025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:32
12750,2024,ITA.1,115,116477,25,9,17,22,4,0,0,1,0,10,26,4,0,1,29,2025-05-10 04:49:36
12750,2024,ITA.1,4007,116477,18,5,15,18,3,0,0,1,0,10,22,4,0,1,23,2025-01-23 05:32:39
12750,2024,ITA.1,105,118986,22,15,9,26,3,0,0,2,1,4,16,0,0,2,3,2025-05-10 04:49:31
12750,2024,ITA.1,111,121036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:34
12750,2024,ITA.1,3263,121090,22,2,16,17,3,0,0,0,6,3,14,1,0,7,14,2025-05-10 04:49:33
12750,2024,ITA.1,115,123591,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-10 04:49:36
12750,2024,ITA.1,104,123605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-03 04:53:14
12750,2024,ITA.1,2574,125475,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-27 04:49:28
