seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13145,2025,NOR.1,510,9167,8,1,8,8,0,0,0,0,0,6,18,3,0,0,8,2025-05-13 04:51:59
13145,2025,NOR.1,3327,114205,6,1,5,11,2,1,0,0,0,2,7,0,0,0,9,2025-05-13 04:51:54
13145,2025,NOR.1,5270,129208,6,0,3,11,0,0,0,1,0,2,3,1,0,0,12,2025-05-13 04:51:58
13145,2025,NOR.1,22165,129211,6,0,6,4,0,0,0,1,0,1,3,0,0,0,10,2025-05-13 04:51:55
13145,2025,NOR.1,5002,129234,3,2,1,1,1,0,0,2,0,0,1,0,0,0,1,2025-05-13 04:51:57
13145,2025,NOR.1,2791,129267,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:51:58
13145,2025,NOR.1,5002,129292,2,0,7,1,1,0,0,0,0,1,4,0,0,0,1,2025-05-13 04:51:57
13145,2025,NOR.1,21380,134074,3,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2025-05-13 04:51:54
13145,2025,NOR.1,2715,134827,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2025-05-13 04:51:56
13145,2025,NOR.1,2715,141189,5,1,0,1,0,0,0,0,0,1,5,0,0,0,7,2025-05-13 04:51:56
13145,2025,NOR.1,2715,146381,5,1,5,3,2,0,0,1,0,0,1,0,0,0,4,2025-05-13 04:51:56
13145,2025,NOR.1,6672,146895,8,0,2,5,0,0,0,0,0,2,4,0,0,0,13,2025-05-13 04:51:55
13145,2025,NOR.1,510,149479,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2025-05-13 04:51:59
13145,2025,NOR.1,3039,153894,5,3,1,5,0,0,0,0,0,0,2,0,0,0,1,2025-05-13 04:51:54
13145,2025,NOR.1,5002,159247,6,0,6,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-13 04:51:57
