seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13190,2025,PER.1,10116,16756,10,4,8,6,0,0,0,0,0,0,2,0,0,0,9,2025-05-13 04:49:27
13190,2025,PER.1,11995,19469,6,3,2,0,0,0,0,1,0,0,0,0,0,0,4,2025-05-13 04:49:28
13190,2025,PER.1,3372,34337,2,0,1,3,0,0,0,0,0,0,1,0,0,0,1,2025-05-13 04:49:27
13190,2025,PER.1,2680,40270,7,1,6,11,1,1,0,0,0,7,14,4,0,0,1,2025-05-13 04:49:26
13190,2025,PER.1,10318,47543,7,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2025-05-13 04:49:31
13190,2025,PER.1,21819,70112,7,5,2,0,0,2,0,0,0,0,1,0,0,0,3,2025-05-13 04:49:29
13190,2025,PER.1,2680,72655,5,1,4,6,0,1,0,0,0,3,14,2,0,0,2,2025-05-13 04:49:26
13190,2025,PER.1,18153,78879,7,6,4,3,0,1,0,0,0,1,4,0,0,0,2,2025-05-13 04:49:28
13190,2025,PER.1,20293,82476,10,0,7,1,1,0,1,0,0,0,0,0,0,0,17,2025-05-13 04:49:27
13190,2025,PER.1,5267,83309,10,2,10,15,1,0,0,0,0,2,5,0,0,0,5,2025-05-13 04:49:26
13190,2025,PER.1,20293,85743,8,6,5,4,1,0,0,1,0,1,5,1,0,0,5,2025-05-13 04:49:27
13190,2025,PER.1,7312,85847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:30
13190,2025,PER.1,21314,85853,9,7,3,7,0,0,0,0,0,7,16,3,0,0,3,2025-05-13 04:49:25
13190,2025,PER.1,5570,93550,11,4,9,8,1,0,0,0,0,2,8,0,0,0,10,2025-05-13 04:49:30
13190,2025,PER.1,10122,95667,5,0,1,6,0,0,0,0,0,0,0,0,0,12,10,2025-05-13 04:49:31
13190,2025,PER.1,2673,96074,8,1,1,1,0,0,0,2,0,6,13,5,0,0,9,2025-05-13 04:49:31
13190,2025,PER.1,10318,100531,10,6,4,5,1,0,0,0,0,9,19,3,0,0,8,2025-05-13 04:49:31
13190,2025,PER.1,2685,104067,11,7,6,16,2,1,0,0,0,9,22,5,0,0,5,2025-05-13 04:49:32
13190,2025,PER.1,3372,106507,7,4,2,7,2,0,0,1,0,3,10,0,0,0,8,2025-05-13 04:49:27
13190,2025,PER.1,2673,108090,20,2,29,13,5,0,0,3,0,7,25,2,0,0,20,2025-05-13 04:49:31
13190,2025,PER.1,22168,108090,19,1,28,13,5,0,0,3,0,7,23,2,0,0,20,2025-05-12 04:47:27
13190,2025,PER.1,2680,112619,4,0,5,7,1,1,0,0,0,0,1,0,0,0,4,2025-05-13 04:49:26
13190,2025,PER.1,2685,113309,9,6,9,10,0,1,0,0,0,2,4,2,0,0,5,2025-05-13 04:49:32
13190,2025,PER.1,21314,116032,5,1,1,8,0,0,0,1,0,2,8,1,0,0,5,2025-05-13 04:49:25
13190,2025,PER.1,2680,116144,4,0,5,3,0,1,0,0,0,2,9,1,0,0,0,2025-05-13 04:49:26
13190,2025,PER.1,3372,118425,8,5,9,7,2,0,0,0,0,4,8,4,0,0,7,2025-05-13 04:49:27
13190,2025,PER.1,22168,118665,11,2,12,11,3,0,0,0,0,7,17,3,0,0,11,2025-05-13 04:49:30
13190,2025,PER.1,7312,118760,10,2,8,6,4,0,0,0,0,2,10,1,0,0,11,2025-05-13 04:49:30
13190,2025,PER.1,19432,118807,2,1,1,3,0,0,0,0,0,1,1,0,0,0,0,2025-05-13 04:49:26
13190,2025,PER.1,7312,119153,5,1,4,5,2,1,0,0,0,0,0,0,0,0,2,2025-05-13 04:49:30
13190,2025,PER.1,10122,121804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:31
13190,2025,PER.1,2685,123922,7,0,3,2,1,0,0,0,0,0,2,0,0,0,6,2025-05-13 04:49:32
13190,2025,PER.1,2673,128422,8,0,7,0,5,0,0,2,0,1,10,0,0,0,8,2025-05-13 04:49:31
13190,2025,PER.1,10318,130007,11,4,12,8,0,0,0,0,0,8,15,3,0,0,7,2025-05-13 04:49:31
13190,2025,PER.1,21314,130605,6,0,0,0,0,0,0,0,0,0,0,0,0,15,10,2025-05-13 04:49:25
13190,2025,PER.1,18985,131889,4,1,2,1,1,0,0,1,0,2,8,1,0,0,4,2025-05-13 04:49:29
13190,2025,PER.1,10116,132318,12,0,15,2,1,0,0,0,0,0,6,0,0,0,22,2025-05-13 04:49:27
13190,2025,PER.1,2680,132344,4,0,1,2,0,0,0,0,0,1,4,0,0,0,3,2025-05-13 04:49:26
13190,2025,PER.1,18985,140450,10,5,2,5,0,0,0,1,0,4,7,3,0,0,12,2025-05-13 04:49:29
13190,2025,PER.1,19432,142309,10,0,10,8,2,0,0,1,0,8,25,1,0,0,21,2025-05-13 04:49:26
13190,2025,PER.1,10116,143559,10,1,13,6,2,1,0,0,0,1,1,0,0,0,18,2025-05-13 04:49:27
13190,2025,PER.1,22534,144250,3,1,3,1,0,0,0,0,0,0,2,0,0,0,3,2025-05-13 04:49:29
13190,2025,PER.1,2680,144576,11,4,6,14,1,0,0,3,0,4,11,0,0,0,10,2025-05-13 04:49:26
13190,2025,PER.1,3372,144796,7,0,4,2,0,1,0,0,0,0,3,0,0,0,9,2025-05-13 04:49:27
13190,2025,PER.1,5570,144945,5,2,4,4,0,1,0,0,0,0,2,0,0,0,5,2025-05-13 04:49:30
13190,2025,PER.1,10318,144976,11,0,27,19,3,0,0,0,0,0,1,0,0,0,15,2025-05-13 04:49:31
13190,2025,PER.1,2673,145150,7,5,1,4,2,0,0,0,0,1,1,0,0,0,4,2025-05-13 04:49:31
13190,2025,PER.1,10318,145382,7,1,5,2,3,0,0,0,0,1,1,0,0,0,11,2025-05-13 04:49:31
