seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12761,2024,POR.1,21610,28261,12,0,0,1,0,0,0,0,1,0,0,0,141,37,12,2025-05-10 04:49:53
12761,2024,POR.1,21581,46976,1,0,1,0,0,1,0,0,1,0,0,0,6,1,1,2025-05-10 04:49:52
12761,2024,POR.1,2994,50959,20,3,33,16,5,1,0,2,1,1,12,1,0,4,14,2025-05-10 04:49:51
12761,2024,POR.1,20740,52727,13,9,8,8,0,0,0,0,1,8,20,2,0,1,6,2025-05-10 04:49:55
12761,2024,POR.1,21610,67716,9,5,5,14,3,0,0,0,2,1,5,1,0,2,10,2024-12-07 06:00:38
12761,2024,POR.1,12698,71067,16,13,2,7,0,0,0,2,0,5,11,2,0,0,8,2025-02-13 05:45:50
12761,2024,POR.1,3699,77266,29,13,25,22,2,1,0,2,1,7,27,3,0,1,19,2025-05-10 04:49:54
12761,2024,POR.1,5309,82009,23,18,17,17,2,0,0,2,2,8,37,3,0,2,5,2025-05-10 04:49:54
12761,2024,POR.1,22064,82720,30,0,20,21,5,0,0,1,3,4,11,1,0,13,53,2025-05-10 04:49:50
12761,2024,POR.1,437,88865,24,5,31,39,6,0,0,4,1,12,42,4,0,3,17,2025-05-10 04:49:53
12761,2024,POR.1,2994,92335,19,0,21,5,5,0,0,0,1,4,13,1,0,13,14,2025-05-10 04:49:51
12761,2024,POR.1,15784,92994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:50
12761,2024,POR.1,3696,98407,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-09-01 04:55:15
12761,2024,POR.1,2994,98573,29,15,18,30,4,0,0,2,2,20,34,4,0,1,17,2025-05-10 04:49:51
12761,2024,POR.1,437,101317,9,0,6,4,0,0,0,0,0,0,4,0,0,3,10,2025-05-10 04:49:53
12761,2024,POR.1,437,102368,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-16 08:45:19
12761,2024,POR.1,21581,104172,24,1,14,9,5,1,0,0,1,4,9,0,0,20,27,2025-05-10 04:49:52
12761,2024,POR.1,12698,105237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:53
12761,2024,POR.1,20995,105756,15,4,22,8,7,0,0,0,4,0,1,0,0,4,8,2024-07-13 02:50:09
12761,2024,POR.1,12705,107995,30,6,24,25,8,0,0,1,1,10,34,3,0,10,52,2024-07-13 02:50:06
12761,2024,POR.1,1929,108223,23,4,13,27,5,0,0,4,6,16,60,8,0,0,16,2025-05-10 04:49:51
12761,2024,POR.1,20740,116745,22,6,26,36,4,0,0,0,2,1,4,0,0,5,15,2025-05-10 04:49:55
12761,2024,POR.1,1929,119289,29,1,22,23,2,0,0,2,3,13,28,6,0,14,23,2025-05-10 04:49:51
12761,2024,POR.1,15784,119440,24,1,36,25,8,0,0,0,3,2,11,1,0,5,25,2025-05-10 04:49:50
12761,2024,POR.1,12705,123865,32,0,18,32,2,0,0,0,0,27,69,14,0,4,60,2024-07-13 02:50:06
12761,2024,POR.1,5309,123988,6,1,3,1,0,0,0,0,0,0,1,0,0,1,7,2025-02-01 14:45:02
12761,2024,POR.1,3472,124019,12,10,6,4,1,0,0,0,1,1,4,1,0,3,8,2025-05-10 04:49:52
12761,2024,POR.1,22064,124021,17,9,22,12,3,0,0,1,0,7,33,4,0,0,14,2025-05-10 04:49:50
12761,2024,POR.1,12705,124085,27,0,25,23,8,0,0,0,5,0,6,0,0,15,40,2024-07-13 02:50:06
12761,2024,POR.1,21610,124161,14,1,9,16,2,0,0,0,2,0,5,0,0,8,12,2025-05-10 04:49:53
12761,2024,POR.1,2250,124204,7,3,3,3,0,0,0,0,0,1,7,0,0,0,0,2025-05-10 04:49:55
12761,2024,POR.1,15784,124228,19,12,16,7,4,1,0,0,1,1,11,0,0,4,16,2025-05-10 04:49:50
12761,2024,POR.1,12216,127479,9,5,14,0,4,0,0,0,1,0,0,0,0,6,5,2025-05-10 04:49:52
12761,2024,POR.1,5309,127575,29,9,31,43,4,0,0,4,1,12,40,3,0,1,16,2025-05-10 04:49:54
12761,2024,POR.1,22064,137038,21,0,0,4,3,0,0,0,2,0,0,0,261,63,41,2025-05-10 04:49:50
12761,2024,POR.1,3719,137337,32,0,36,42,11,0,1,6,5,24,82,10,0,3,60,2024-07-13 02:50:07
12761,2024,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:50
12761,2024,POR.1,437,139008,25,8,27,26,5,0,0,3,3,3,16,0,0,1,19,2025-05-10 04:49:53
12761,2024,POR.1,21610,139023,24,4,18,17,3,1,0,2,6,1,3,0,0,9,29,2025-05-10 04:49:53
12761,2024,POR.1,3696,140009,18,10,14,30,1,0,0,1,2,5,17,3,0,1,13,2025-01-29 14:43:43
12761,2024,POR.1,22064,140164,12,5,8,6,3,1,0,0,0,1,8,0,0,5,19,2025-05-10 04:49:50
12761,2024,POR.1,12216,141624,28,0,0,2,3,0,0,0,1,0,0,0,311,83,44,2025-05-10 04:49:52
12761,2024,POR.1,437,142670,2,0,1,0,1,0,0,0,0,0,0,0,14,5,3,2025-05-10 04:49:53
12761,2024,POR.1,3696,144905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:54
12761,2024,POR.1,2256,146519,9,1,11,9,2,0,0,1,0,1,11,1,0,1,10,2025-05-10 04:49:51
