seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12689,2024,RUS.1,1963,39740,25,0,0,2,0,0,0,1,0,0,0,0,0,46,19,2025-05-10 04:50:09
12689,2024,RUS.1,1941,67003,17,12,4,9,2,0,1,2,0,5,14,1,0,0,5,2025-05-10 04:50:13
12689,2024,RUS.1,22300,80579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:13
12689,2024,RUS.1,596,84295,8,0,12,8,0,0,0,2,0,0,4,0,0,0,10,2025-05-10 04:50:09
12689,2024,RUS.1,15582,86701,26,0,0,0,5,0,0,0,0,0,0,0,0,0,37,2024-07-13 02:50:31
12689,2024,RUS.1,22271,93367,19,2,23,17,1,0,0,4,0,17,42,9,0,0,27,2025-05-10 04:50:08
12689,2024,RUS.1,596,104497,19,2,19,15,3,0,0,4,0,8,25,3,0,0,17,2025-05-10 04:50:09
12689,2024,RUS.1,1963,105471,19,8,18,4,4,0,0,0,0,1,5,0,0,0,8,2025-05-10 04:50:09
12689,2024,RUS.1,1963,105813,13,4,10,9,4,0,0,1,0,3,5,0,0,0,6,2025-05-10 04:50:09
12689,2024,RUS.1,20019,108282,24,14,0,0,3,0,0,0,0,3,3,3,0,0,24,2024-07-13 02:50:29
12689,2024,RUS.1,7424,117353,26,0,40,50,5,0,0,5,0,13,48,5,0,0,41,2025-05-10 04:50:10
12689,2024,RUS.1,3851,117362,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2025-05-10 04:50:12
12689,2024,RUS.1,2533,124905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:50:13
12689,2024,RUS.1,15582,124913,26,9,0,0,2,0,0,0,0,3,3,3,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,132972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-25 16:01:29
12689,2024,RUS.1,20019,132972,23,5,0,0,5,0,0,0,0,1,1,1,0,0,25,2024-07-13 02:50:29
12689,2024,RUS.1,21539,135934,4,2,0,2,0,0,0,0,0,0,2,0,0,0,6,2025-05-10 04:50:10
12689,2024,RUS.1,11336,136454,24,5,11,12,4,0,0,1,0,1,6,0,0,0,12,2025-05-10 04:50:11
12689,2024,RUS.1,15582,140406,16,2,0,0,2,0,1,0,0,1,1,0,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,148356,2,1,0,0,0,0,0,0,0,2,3,0,0,0,2,2025-05-10 04:50:10
12689,2024,RUS.1,21949,148356,12,0,0,0,3,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:50:29
12689,2024,RUS.1,11336,150204,16,13,7,4,1,0,0,1,0,6,21,1,0,0,8,2025-05-10 04:50:11
12689,2024,RUS.1,7424,150364,17,1,31,16,4,0,0,0,0,2,10,0,0,0,25,2025-05-10 04:50:10
12689,2024,RUS.1,21539,151234,12,0,0,1,1,0,0,0,0,0,0,0,0,31,17,2025-05-10 04:50:10
12689,2024,RUS.1,21949,151793,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:50:29
12689,2024,RUS.1,3851,151797,20,9,15,15,4,0,0,0,0,3,10,2,0,0,19,2025-05-10 04:50:12
12689,2024,RUS.1,3850,151799,16,1,0,1,2,0,0,1,0,0,0,0,0,47,23,2025-05-10 04:50:11
12689,2024,RUS.1,20019,151803,19,0,0,0,2,0,0,0,0,0,0,0,0,0,28,2024-07-13 02:50:29
12689,2024,RUS.1,22300,154354,18,12,7,6,2,0,0,0,0,3,9,0,0,0,7,2025-05-10 04:50:09
12689,2024,RUS.1,7424,157282,5,5,0,0,0,0,0,0,0,0,4,0,0,0,2,2024-11-25 16:01:29
12689,2024,RUS.1,22271,159239,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:12
12689,2024,RUS.1,3851,159560,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-10 04:50:12
12689,2024,RUS.1,2533,162263,18,18,5,3,1,0,0,0,0,6,13,2,0,0,1,2025-05-10 04:50:13
12689,2024,RUS.1,21539,165233,4,3,2,1,0,1,0,0,0,0,0,0,0,0,4,2025-05-10 04:50:10
12689,2024,RUS.1,7424,169035,24,11,13,22,4,0,0,1,0,8,25,3,0,0,24,2025-05-10 04:50:10
12689,2024,RUS.1,15582,169417,21,3,0,0,2,0,0,0,0,0,0,0,0,0,23,2024-07-13 02:50:31
12689,2024,RUS.1,11336,171508,24,0,22,18,4,0,0,2,0,1,15,0,0,0,19,2025-05-10 04:50:11
12689,2024,RUS.1,22271,172157,8,2,3,5,1,0,0,0,0,2,7,1,0,0,11,2025-01-21 05:32:12
12689,2024,RUS.1,7424,175894,8,8,0,2,0,0,0,0,0,1,4,0,0,0,2,2025-01-21 05:32:14
12689,2024,RUS.1,11336,176058,22,0,57,78,6,1,0,4,0,33,70,10,0,0,18,2025-05-10 04:50:11
12689,2024,RUS.1,21539,177155,15,0,0,1,1,0,0,0,0,0,0,0,0,53,22,2025-05-10 04:50:10
