seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12723,2024,SCO.2,247,5938,32,3,14,20,6,0,0,0,0,3,6,0,0,0,34,2025-05-02 04:44:55
12723,2024,SCO.2,264,7331,18,7,4,8,1,0,0,1,1,3,9,1,0,0,8,2024-07-13 02:58:29
12723,2024,SCO.2,249,7977,22,5,21,29,5,1,0,1,0,1,2,0,0,0,20,2025-05-02 04:44:56
12723,2024,SCO.2,248,15327,10,0,6,3,4,0,0,0,0,0,0,0,0,0,6,2025-05-02 04:44:53
12723,2024,SCO.2,259,16154,32,5,32,23,6,0,0,1,0,20,46,5,0,0,20,2025-05-02 04:44:55
12723,2024,SCO.2,411,17575,6,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2025-05-02 04:44:54
12723,2024,SCO.2,411,24636,30,15,28,28,5,0,0,2,0,11,24,4,0,0,24,2025-05-02 04:44:54
12723,2024,SCO.2,422,38106,18,6,20,7,4,0,0,1,0,2,10,1,0,0,18,2025-05-02 04:44:55
12723,2024,SCO.2,259,38397,31,6,21,16,5,0,0,3,0,17,46,6,0,0,21,2025-05-02 04:44:55
12723,2024,SCO.2,254,40299,22,3,13,24,2,1,0,1,0,0,4,0,0,0,16,2025-05-02 04:44:54
12723,2024,SCO.2,247,41258,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:44:40
12723,2024,SCO.2,422,42193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-02 04:44:55
12723,2024,SCO.2,422,43235,31,7,15,18,3,0,0,4,0,8,26,2,0,0,27,2025-05-02 04:44:55
12723,2024,SCO.2,252,61878,21,1,12,15,3,0,0,1,0,2,7,0,0,0,39,2024-07-13 02:58:30
12723,2024,SCO.2,249,70407,35,2,40,12,5,0,0,3,0,4,8,1,0,0,39,2025-05-02 04:44:56
