seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13086,2025,SWE.1,7834,4703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:48:06
13086,2025,SWE.1,2720,9101,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2025-05-13 04:48:10
13086,2025,SWE.1,8547,15527,8,4,4,8,0,0,0,1,0,3,8,1,0,0,5,2025-05-13 04:48:10
13086,2025,SWE.1,8544,19242,8,0,0,5,2,0,0,0,0,0,0,0,0,24,16,2025-05-13 04:48:09
13086,2025,SWE.1,7834,21990,6,0,2,5,1,0,0,0,0,0,0,0,0,0,11,2025-05-13 04:48:06
13086,2025,SWE.1,2720,22706,8,0,15,14,1,0,0,2,0,6,19,1,0,0,12,2025-05-13 04:48:10
13086,2025,SWE.1,8547,22706,8,0,15,14,1,0,0,2,0,6,19,1,0,0,12,2025-05-13 04:48:10
13086,2025,SWE.1,2495,22967,8,0,9,22,1,0,0,0,0,5,11,2,0,0,5,2025-05-13 04:48:08
13086,2025,SWE.1,8547,25076,5,0,6,3,1,0,0,0,0,0,0,0,0,0,10,2025-05-13 04:48:10
13086,2025,SWE.1,994,39733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:06
13086,2025,SWE.1,2720,75987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:10
13086,2025,SWE.1,2556,83736,7,0,6,5,0,0,0,0,0,0,2,0,0,0,11,2025-05-13 04:48:09
13086,2025,SWE.1,2339,120652,4,1,8,12,2,0,0,0,0,2,4,0,0,0,1,2025-05-13 04:48:07
13086,2025,SWE.1,3017,121282,5,4,6,0,0,0,0,0,0,0,0,0,0,0,7,2025-05-13 04:48:07
13086,2025,SWE.1,7834,121827,4,1,1,0,0,0,0,0,0,0,0,0,0,8,9,2025-05-13 04:48:06
13086,2025,SWE.1,7834,125312,3,0,0,1,0,0,0,0,0,0,0,0,0,8,3,2025-05-13 04:48:06
13086,2025,SWE.1,994,133993,7,0,0,2,1,0,0,0,0,0,0,0,0,16,6,2025-05-13 04:48:06
13086,2025,SWE.1,8221,134643,3,3,1,1,0,0,0,0,0,1,2,0,0,0,2,2025-05-13 04:48:08
13086,2025,SWE.1,529,134644,8,0,12,15,2,0,0,1,0,4,9,0,0,0,9,2025-05-13 04:48:08
13086,2025,SWE.1,2720,135579,4,0,3,1,2,0,0,0,0,3,6,0,0,0,2,2025-05-13 04:48:10
13086,2025,SWE.1,2339,136911,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:48:07
13086,2025,SWE.1,2720,138055,5,3,1,3,0,0,0,0,0,0,2,0,0,0,3,2025-05-13 04:48:10
13086,2025,SWE.1,2495,143585,8,1,4,14,0,0,0,2,0,12,26,4,0,0,5,2025-05-13 04:48:08
13086,2025,SWE.1,529,146012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:08
13086,2025,SWE.1,8221,146116,7,0,0,2,0,0,0,0,0,0,0,0,0,22,9,2025-05-13 04:48:08
13086,2025,SWE.1,7834,146579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:06
13086,2025,SWE.1,994,146893,8,4,15,6,1,0,0,2,0,3,11,2,0,0,3,2025-05-13 04:48:06
13086,2025,SWE.1,3017,147211,8,0,8,3,0,0,0,2,0,0,0,0,0,0,15,2025-05-13 04:48:07
13086,2025,SWE.1,2720,149538,6,3,5,7,0,0,0,0,0,4,10,2,0,0,2,2025-05-13 04:48:10
13086,2025,SWE.1,8222,149765,6,6,2,4,1,0,0,0,0,0,4,0,0,0,1,2025-05-13 04:48:07
13086,2025,SWE.1,20301,151931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:11
13086,2025,SWE.1,8544,158978,8,0,9,17,0,0,0,1,0,10,14,6,0,0,16,2025-05-13 04:48:09
13086,2025,SWE.1,21382,158993,8,1,5,17,1,0,0,4,0,2,7,1,0,0,14,2025-05-13 04:48:10
13086,2025,SWE.1,3017,159454,5,5,2,0,0,0,0,0,0,1,1,0,0,0,3,2025-05-13 04:48:07
13086,2025,SWE.1,8221,162464,7,0,2,2,0,0,0,0,0,2,6,0,0,0,9,2025-05-13 04:48:08
13086,2025,SWE.1,2936,162497,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:48:11
13086,2025,SWE.1,2720,162738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:48:10
13086,2025,SWE.1,2339,164556,6,2,5,4,0,0,0,0,0,4,17,0,0,0,4,2025-05-13 04:48:07
