seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13095,2025,USA.USL.1,18446,24020,8,0,14,10,3,0,0,0,0,2,10,0,0,0,6,2025-05-13 04:47:12
13095,2025,USA.USL.1,17361,29517,4,2,1,0,0,0,0,1,0,1,3,0,0,0,2,2025-05-13 04:47:19
13095,2025,USA.USL.1,18455,34394,3,1,0,1,0,0,0,0,0,1,1,0,0,0,4,2025-05-13 04:47:17
13095,2025,USA.USL.1,19405,45702,3,1,1,3,0,0,0,1,0,0,1,0,0,0,3,2025-05-13 04:47:11
13095,2025,USA.USL.1,9729,66579,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:47:11
13095,2025,USA.USL.1,18159,76914,5,1,4,4,2,0,0,0,0,2,3,0,0,0,5,2025-05-13 04:47:15
13095,2025,USA.USL.1,19179,77002,6,0,0,1,0,0,0,0,0,0,0,0,0,11,6,2025-05-13 04:47:12
13095,2025,USA.USL.1,20687,80925,8,1,22,15,0,0,0,3,0,7,15,2,0,0,9,2025-05-13 04:47:16
13095,2025,USA.USL.1,19407,82287,9,2,5,23,0,0,0,0,0,8,19,7,0,0,7,2025-05-13 04:47:12
13095,2025,USA.USL.1,18265,87581,5,2,2,1,1,0,0,0,0,0,1,0,0,0,5,2025-05-13 04:47:19
13095,2025,USA.USL.1,17827,89102,5,4,5,3,1,0,0,0,0,1,5,1,0,0,3,2025-05-13 04:47:17
13095,2025,USA.USL.1,18265,92410,4,2,4,4,0,0,0,0,0,1,2,1,0,0,2,2025-05-13 04:47:19
13095,2025,USA.USL.1,19405,93084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:47:11
13095,2025,USA.USL.1,19407,102091,9,3,8,16,0,0,0,3,0,4,8,1,0,0,9,2025-05-13 04:47:12
13095,2025,USA.USL.1,17828,103806,6,4,4,6,1,0,0,0,0,2,6,0,0,0,4,2025-05-13 04:47:18
