seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13102,2025,USA.USL.L1.CUP,20000,3400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:52:13
13102,2025,USA.USL.L1.CUP,20000,6477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:13
13102,2025,USA.USL.L1.CUP,19995,23425,1,0,2,2,1,0,0,0,0,1,3,0,0,0,2,2025-05-13 04:52:15
13102,2025,USA.USL.L1.CUP,18446,24020,1,0,1,1,1,0,0,1,0,0,2,0,0,0,2,2025-05-13 04:52:15
13102,2025,USA.USL.L1.CUP,22524,38846,1,0,3,3,1,0,0,0,0,1,1,1,0,0,4,2025-05-13 04:52:25
13102,2025,USA.USL.L1.CUP,19405,45702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:12
13102,2025,USA.USL.L1.CUP,18159,76914,1,0,1,0,0,0,0,0,0,1,2,1,0,0,3,2025-05-13 04:52:18
13102,2025,USA.USL.L1.CUP,19179,77002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:14
13102,2025,USA.USL.L1.CUP,20687,80925,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-05-13 04:52:20
13102,2025,USA.USL.L1.CUP,19407,82287,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:14
13102,2025,USA.USL.L1.CUP,18159,84144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:18
13102,2025,USA.USL.L1.CUP,18265,87581,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:23
13102,2025,USA.USL.L1.CUP,17827,89102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:52:21
13102,2025,USA.USL.L1.CUP,18265,92410,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:23
13102,2025,USA.USL.L1.CUP,19405,93084,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:52:12
13102,2025,USA.USL.L1.CUP,17828,103806,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:52:23
13102,2025,USA.USL.L1.CUP,19179,104223,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:14
13102,2025,USA.USL.L1.CUP,17828,108222,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:52:23
13102,2025,USA.USL.L1.CUP,17545,111009,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2025-05-13 04:52:22
13102,2025,USA.USL.L1.CUP,22164,111864,1,0,1,2,0,0,0,1,0,3,3,1,0,0,0,2025-05-13 04:52:22
13102,2025,USA.USL.L1.CUP,19407,112829,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2025-05-13 04:52:14
13102,2025,USA.USL.L1.CUP,9729,113439,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:52:12
13102,2025,USA.USL.L1.CUP,20000,116861,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2025-05-13 04:52:13
13102,2025,USA.USL.L1.CUP,20687,120224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:52:20
