seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13079,724923,1,44911031,106,Attempt saved. Samuele Zannoni (San Marino) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Nicola Nanni with a through ball.,Samuele Zannoni Shot On Target,1,96,2',588,0,0,2025-03-23 21:34:53,0.0,0.0,0.232,0.313,0.04,0.449,338195.0,Samuele Zannoni,2025-03-24 04:57:18
13079,724923,1,44911031,106,Attempt saved. Samuele Zannoni (San Marino) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Nicola Nanni with a through ball.,Samuele Zannoni Shot On Target,1,96,2',588,0,0,2025-03-23 21:34:53,0.0,0.0,0.232,0.313,0.04,0.449,277478.0,Nicola Nanni,2025-03-24 04:57:18
13079,724923,2,44911035,106,Attempt saved. Marinos Tzionis (Cyprus) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Ioannis Pittas.,Marinos Tzionis Shot On Target,1,190,4',445,0,0,2025-03-23 21:34:53,0.0,0.0,0.12,0.311,0.014,0.46,305498.0,Marinos Tzionis,2025-03-24 04:57:18
13079,724923,2,44911035,106,Attempt saved. Marinos Tzionis (Cyprus) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Ioannis Pittas.,Marinos Tzionis Shot On Target,1,190,4',445,0,0,2025-03-23 21:34:53,0.0,0.0,0.12,0.311,0.014,0.46,221149.0,Ioannis Pittas,2025-03-24 04:57:18
13079,724923,3,44911053,66,Foul by Grigoris Kastanos (Cyprus).,Grigoris Kastanos Foul,1,421,8',445,0,0,2025-03-23 21:34:53,0.0,0.0,0.264,0.128,0.0,0.0,218082.0,Grigoris Kastanos,2025-03-24 04:57:18
13079,724923,3,44911053,66,Foul by Grigoris Kastanos (Cyprus).,Grigoris Kastanos Foul,1,421,8',445,0,0,2025-03-23 21:34:53,0.0,0.0,0.264,0.128,0.0,0.0,,Andrea Contadini,2025-03-24 04:57:18
13079,724923,4,44911057,66,Pieros Sotiriou (Cyprus) wins a free kick in the attacking half.,Lorenzo Capicchioni Foul,1,475,8',588,0,0,2025-03-23 21:34:53,0.0,0.0,0.78,0.338,0.0,0.0,199564.0,Lorenzo Capicchioni,2025-03-24 04:57:18
13079,724923,4,44911057,66,Pieros Sotiriou (Cyprus) wins a free kick in the attacking half.,Lorenzo Capicchioni Foul,1,475,8',588,0,0,2025-03-23 21:34:53,0.0,0.0,0.78,0.338,0.0,0.0,,Pieros Soteriou,2025-03-24 04:57:18
13079,724923,5,44911067,66,Lorenzo Capicchioni (San Marino) wins a free kick in the defensive half.,Pieros Soteriou Foul,1,600,10',445,0,0,2025-03-23 21:34:54,0.0,0.0,0.528,0.396,0.0,0.0,179397.0,Pieros Soteriou,2025-03-24 04:57:18
13079,724923,5,44911067,66,Lorenzo Capicchioni (San Marino) wins a free kick in the defensive half.,Pieros Soteriou Foul,1,600,10',445,0,0,2025-03-23 21:34:54,0.0,0.0,0.528,0.396,0.0,0.0,,Lorenzo Capicchioni,2025-03-24 04:57:18
13079,724923,6,44911070,117,"Attempt missed. Filippo Berardi (San Marino) header from a difficult angle on the right is close, but misses the top right corner. Assisted by Lorenzo Capicchioni with a cross following a corner.",Filippo Berardi Shot Off Target,1,665,12',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.024,0.674,0.0,0.57,245274.0,Filippo Berardi,2025-03-24 04:57:18
13079,724923,6,44911070,117,"Attempt missed. Filippo Berardi (San Marino) header from a difficult angle on the right is close, but misses the top right corner. Assisted by Lorenzo Capicchioni with a cross following a corner.",Filippo Berardi Shot Off Target,1,665,12',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.024,0.674,0.0,0.57,199564.0,Lorenzo Capicchioni,2025-03-24 04:57:18
13079,724923,7,44911078,66,Grigoris Kastanos (Cyprus) wins a free kick in the attacking half.,Samuele Zannoni Foul,1,812,14',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.882,0.434,0.0,0.0,338195.0,Samuele Zannoni,2025-03-24 04:57:18
13079,724923,7,44911078,66,Grigoris Kastanos (Cyprus) wins a free kick in the attacking half.,Samuele Zannoni Foul,1,812,14',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.882,0.434,0.0,0.0,,Grigoris Kastanos,2025-03-24 04:57:18
13079,724923,8,44911102,135,Attempt blocked. Alessandro Golinucci (San Marino) right footed shot from outside the box is blocked. Assisted by Nicola Nanni.,Alessandro Golinucci Shot Blocke,1,1094,19',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.53,0.289,0.42,0.338,218210.0,Alessandro Golinucci,2025-03-24 04:57:18
13079,724923,8,44911102,135,Attempt blocked. Alessandro Golinucci (San Marino) right footed shot from outside the box is blocked. Assisted by Nicola Nanni.,Alessandro Golinucci Shot Blocke,1,1094,19',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.53,0.289,0.42,0.338,277478.0,Nicola Nanni,2025-03-24 04:57:18
13079,724923,9,44911104,66,Marinos Tzionis (Cyprus) wins a free kick on the left wing.,Filippo Fabbri Foul,1,1163,20',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.706,0.2,0.0,0.0,316714.0,Filippo Fabbri,2025-03-24 04:57:18
13079,724923,9,44911104,66,Marinos Tzionis (Cyprus) wins a free kick on the left wing.,Filippo Fabbri Foul,1,1163,20',588,0,0,2025-03-23 21:34:54,0.0,0.0,0.706,0.2,0.0,0.0,,Marinos Tzionis,2025-03-24 04:57:18
