seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13235,731390,1,44869355,80,First Half begins.,,1,0,,0,0,0,2025-03-26 15:27:36,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-03-27 04:58:33
13235,731390,2,44869506,66,Yazmeen Ryan (Houston Dash) wins a free kick in the defensive half.,Gabrielle Carle Foul,1,55,1',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.724,0.959,0.0,0.0,235713.0,Gabrielle Carle,2025-03-27 04:58:33
13235,731390,2,44869506,66,Yazmeen Ryan (Houston Dash) wins a free kick in the defensive half.,Gabrielle Carle Foul,1,55,1',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.724,0.959,0.0,0.0,,Yazmeen Ryan,2025-03-27 04:58:33
13235,731390,3,44869684,66,Foul by Paige Nielsen (Houston Dash).,Paige Nielsen Foul,1,168,3',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.62,0.588,0.0,0.0,211496.0,Paige Nielsen,2025-03-27 04:58:33
13235,731390,3,44869684,66,Foul by Paige Nielsen (Houston Dash).,Paige Nielsen Foul,1,168,3',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.62,0.588,0.0,0.0,,Ashley Hatch,2025-03-27 04:58:33
13235,731390,4,44869388,95,"Corner, Houston Dash. Conceded by Rebeca Bernal.",Rebeca Bernal Corner Kick,1,237,4',15365,0,0,2025-03-22 23:47:15,0.0,0.0,0.032,0.258,0.0,0.0,259180.0,Rebeca Bernal,2025-03-24 04:57:18
13235,731390,5,44869389,66,Natalie Jacobs (Houston Dash) wins a free kick in the defensive half.,Gabrielle Carle Foul,1,324,6',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.904,0.956,0.0,0.0,235713.0,Gabrielle Carle,2025-03-27 04:58:33
13235,731390,5,44869389,66,Natalie Jacobs (Houston Dash) wins a free kick in the defensive half.,Gabrielle Carle Foul,1,324,6',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.904,0.956,0.0,0.0,,Natalie Jacobs,2025-03-27 04:58:33
13235,731390,6,44869412,66,Foul by Messiah Bright (Houston Dash).,Messiah Bright Foul,1,454,8',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.768,0.59,0.0,0.0,279452.0,Messiah Bright,2025-03-27 04:58:33
13235,731390,6,44869412,66,Foul by Messiah Bright (Houston Dash).,Messiah Bright Foul,1,454,8',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.768,0.59,0.0,0.0,,Chloe Ricketts,2025-03-27 04:58:33
13235,731390,7,44869420,117,Attempt missed. Narumi Miura (Washington Spirit) left footed shot from outside the box misses to the left. Assisted by Makenna Morris.,Narumi Miura Shot Off Target,1,534,9',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.582,0.519,0.0,0.261,276099.0,Narumi Miura,2025-03-27 04:58:33
13235,731390,7,44869420,117,Attempt missed. Narumi Miura (Washington Spirit) left footed shot from outside the box misses to the left. Assisted by Makenna Morris.,Narumi Miura Shot Off Target,1,534,9',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.582,0.519,0.0,0.261,307452.0,Makenna Morris,2025-03-27 04:58:33
13235,731390,8,44869438,68,"Offside, Washington Spirit. Leicy Santos is caught offside.",Ashley Hatch Offside,1,595,10',15365,0,0,2025-03-26 15:27:52,0.0,0.0,0.228,0.128,0.18,0.044,210318.0,Ashley Hatch,2025-03-27 04:58:33
13235,731390,9,44869457,106,Attempt saved. Delanie Sheehan (Houston Dash) right footed shot from the centre of the box is saved in the bottom right corner.,Delanie Sheehan Shot On Target,1,668,12',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.294,0.376,0.022,0.504,279307.0,Delanie Sheehan,2025-03-27 04:58:33
13235,731390,10,44869445,95,"Corner, Houston Dash. Conceded by Rebeca Bernal.",Delanie Sheehan Corner Kick,1,671,12',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.1,0.566,0.0,0.0,279307.0,Delanie Sheehan,2025-03-27 04:58:33
13235,731390,11,44869459,106,Attempt saved. Danielle Colaprico (Houston Dash) left footed shot from outside the box is saved in the centre of the goal.,Danielle Colaprico Shot On Targe,1,702,12',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.358,0.452,0.018,0.498,211037.0,Danielle Colaprico,2025-03-27 04:58:33
13235,731390,12,44869466,117,Attempt missed. Yazmeen Ryan (Houston Dash) left footed shot from the left side of the box misses to the left.,Yazmeen Ryan Shot Off Target,1,839,14',17346,0,0,2025-03-26 15:27:52,0.0,0.0,0.168,0.295,0.0,0.348,263902.0,Yazmeen Ryan,2025-03-27 04:58:33
13235,731390,13,44869475,106,Attempt saved. Ashley Hatch (Washington Spirit) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Leicy Santos with a cross.,Ashley Hatch Shot On Target,1,900,15',15365,0,0,2025-03-22 23:47:15,0.0,0.0,0.19,0.467,0.0,0.0,210318.0,Ashley Hatch,2025-03-24 04:57:18
