seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13110,726768,0,-1,,Lineups are announced and players are warming up.,2025-02-20 05:51:53
13110,726768,1,44730138,,First Half begins.,2025-02-20 05:51:53
13110,726768,2,44730142,2',Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high. Assisted by Octavio Rivero with a cross.,2025-02-20 05:51:53
13110,726768,3,44730144,3',Foul by Franklin Carabalí (El Nacional).,2025-02-20 05:51:53
13110,726768,4,44730144,3',Janner Corozo (Barcelona de Guayaquil) wins a free kick in the attacking half.,2025-02-20 05:51:53
13110,726768,5,44730145,3',Franklin Carabalí (El Nacional) is shown the yellow card for a bad foul.,2025-02-20 05:51:53
13110,726768,6,44730152,4',"Corner, El Nacional. Conceded by Álex Rangel.",2025-02-20 05:51:53
13110,726768,7,44730174,5',Attempt blocked. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is blocked.,2025-02-20 05:51:53
13110,726768,8,44730175,5',Attempt saved. Braian Oyola (Barcelona de Guayaquil) left footed shot from outside the box is saved in the bottom left corner.,2025-02-20 05:51:53
13110,726768,9,44730178,5',"Corner, Barcelona de Guayaquil. Conceded by David Cabezas.",2025-02-20 05:51:53
13110,726768,10,44730180,7',Foul by Jhonny Quiñónez (Barcelona de Guayaquil).,2025-02-20 05:51:53
13110,726768,11,44730180,7',José Cevallos (El Nacional) wins a free kick in the defensive half.,2025-02-20 05:51:53
13110,726768,12,44730184,8',Hand ball by Franklin Carabalí (El Nacional).,2025-02-20 05:51:53
13110,726768,13,44730197,11',Foul by Anthony Bedoya (El Nacional).,2025-02-20 05:51:53
13110,726768,14,44730197,11',Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,2025-02-20 05:51:53
13110,726768,15,44730198,12',Attempt missed. Jhonny Quiñónez (Barcelona de Guayaquil) right footed shot from outside the box misses to the left from a direct free kick.,2025-02-22 05:52:36
13110,726768,16,44730237,19',"Attempt missed. Ángel Ledesma (El Nacional) left footed shot from the centre of the box is close, but misses to the right. Assisted by Jeison Chalá with a cross.",2025-02-20 05:51:53
13110,726768,17,44730249,20',Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high following a fast break.,2025-02-22 05:52:36
13110,726768,18,44730259,22',"Offside, Barcelona de Guayaquil. Janner Corozo is caught offside.",2025-02-20 05:51:53
13110,726768,19,44730265,24',Foul by Janner Corozo (Barcelona de Guayaquil).,2025-02-20 05:51:53
13110,726768,20,44730265,24',Marcos Olmedo (El Nacional) wins a free kick in the defensive half.,2025-02-20 05:51:53
13110,726768,21,44730284,26',Fidel Martínez (El Nacional) wins a free kick in the attacking half.,2025-02-20 05:51:53
13110,726768,22,44730284,26',Foul by Leonai (Barcelona de Guayaquil).,2025-02-20 05:51:53
13110,726768,23,44730376,39',Foul by Janner Corozo (Barcelona de Guayaquil).,2025-02-20 05:51:53
13110,726768,24,44730376,39',Franklin Carabalí (El Nacional) wins a free kick in the defensive half.,2025-02-20 05:51:53
13110,726768,25,44730409,43',Foul by Dixon Arroyo (Barcelona de Guayaquil).,2025-02-20 05:51:53
13110,726768,26,44730409,43',Marcos Olmedo (El Nacional) wins a free kick in the attacking half.,2025-02-20 05:51:53
13110,726768,27,44730423,43',Dixon Arroyo (Barcelona de Guayaquil) is shown the yellow card for a bad foul.,2025-02-20 05:51:53
13110,726768,28,44730426,44',"Corner, El Nacional. Conceded by Gustavo Vallecilla.",2025-02-20 05:51:53
13110,726768,29,-1,45',Fourth official has announced 1 minutes of added time.,2025-02-22 05:52:36
13110,726768,30,-1,45'+1',"First Half ends, El Nacional 0, Barcelona de Guayaquil 0.",2025-02-20 05:51:53
13110,726768,31,44730632,45',"Second Half begins El Nacional 0, Barcelona de Guayaquil 0.",2025-02-20 05:51:53
13110,726768,32,44730635,48',Foul by Franklin Carabalí (El Nacional).,2025-02-20 05:51:53
13110,726768,33,44730635,48',Janner Corozo (Barcelona de Guayaquil) wins a free kick on the left wing.,2025-02-20 05:51:53
13110,726768,34,44730664,49',Attempt blocked. Jawer Guisamano (El Nacional) right footed shot from the right side of the box is blocked. Assisted by José Cevallos.,2025-02-20 05:51:53
13110,726768,35,44730694,52',Attempt blocked. José Cevallos (El Nacional) right footed shot from outside the box is blocked. Assisted by Jawer Guisamano.,2025-02-22 05:52:36
13110,726768,36,44730698,52',Attempt blocked. Jawer Guisamano (El Nacional) left footed shot from outside the box is blocked. Assisted by Marcos Olmedo.,2025-02-22 05:52:36
13110,726768,37,44730699,53',"Attempt missed. Octavio Rivero (Barcelona de Guayaquil) right footed shot from the right side of the box is close, but misses to the right. Assisted by Braian Oyola with a through ball.",2025-02-22 05:52:36
13110,726768,38,44730732,54',"Substitution, El Nacional. Rommel Cabezas replaces Franklin Carabalí.",2025-02-22 05:52:36
13110,726768,39,44730733,55',"Substitution, Barcelona de Guayaquil. Byron Castillo replaces Braian Oyola.",2025-02-22 05:52:36
13110,726768,40,44730750,56',Fidel Martínez (El Nacional) wins a free kick in the attacking half.,2025-02-22 05:52:36
13110,726768,41,44730750,56',Foul by Mario Pineida (Barcelona de Guayaquil).,2025-02-22 05:52:36
13110,726768,42,44730761,57',Attempt blocked. Fidel Martínez (El Nacional) left footed shot from outside the box is blocked.,2025-02-22 05:52:36
13110,726768,43,44730786,60',Foul by Anthony Bedoya (El Nacional).,2025-02-22 05:52:36
13110,726768,44,44730786,60',Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the defensive half.,2025-02-22 05:52:36
13110,726768,45,44730789,61',Attempt missed. Fidel Martínez (El Nacional) left footed shot from the centre of the box misses to the right. Assisted by José Cevallos.,2025-02-22 05:52:36
13110,726768,46,44730909,62',Foul by Rommel Cabezas (El Nacional).,2025-02-22 05:52:36
13110,726768,47,44730909,62',Jhonny Quiñónez (Barcelona de Guayaquil) wins a free kick in the defensive half.,2025-02-22 05:52:36
13110,726768,48,44730813,62',Rommel Cabezas (El Nacional) is shown the yellow card for a bad foul.,2025-02-22 05:52:36
13110,726768,49,44730824,64',Attempt missed. Byron Castillo (Barcelona de Guayaquil) right footed shot from outside the box is high and wide to the right. Assisted by Dixon Arroyo.,2025-02-22 05:52:36
13110,726768,50,44730861,66',"Substitution, El Nacional. Jonathan Borja replaces Jeison Chalá.",2025-02-22 05:52:36
13110,726768,51,44730862,66',"Substitution, El Nacional. Jhon Cifuente replaces José Cevallos.",2025-02-22 05:52:36
13110,726768,52,44730865,67',Attempt missed. Jhon Cifuente (El Nacional) header from the centre of the box is too high. Assisted by Jonathan Borja.,2025-02-22 05:52:36
13110,726768,53,44730867,68',Foul by Mario Pineida (Barcelona de Guayaquil).,2025-02-22 05:52:36
13110,726768,54,44730867,68',Jawer Guisamano (El Nacional) wins a free kick in the defensive half.,2025-02-22 05:52:36
13110,726768,55,44730869,68',"Offside, El Nacional. Ángel Ledesma is caught offside.",2025-02-22 05:52:36
13110,726768,56,44730879,70',"Substitution, Barcelona de Guayaquil. Joaquín Valiente replaces Leonai.",2025-02-22 05:52:36
13110,726768,57,44730881,71',Byron Castillo (Barcelona de Guayaquil) wins a free kick on the right wing.,2025-02-22 05:52:36
13110,726768,58,44730881,71',Foul by Eddy Mejía (El Nacional).,2025-02-22 05:52:36
13110,726768,59,44730885,73',Foul by Marcos Olmedo (El Nacional).,2025-02-22 05:52:36
13110,726768,60,44730885,73',Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,2025-02-22 05:52:36
13110,726768,61,44730911,75',Attempt missed. Jonathan Borja (El Nacional) right footed shot from outside the box misses to the left.,2025-02-20 05:51:53
13110,726768,62,44730912,75',Byron Castillo (Barcelona de Guayaquil) wins a free kick on the right wing.,2025-02-22 05:52:36
13110,726768,63,44730912,75',Foul by José Flor (El Nacional).,2025-02-22 05:52:36
13110,726768,64,44730913,75',José Flor (El Nacional) is shown the yellow card for a bad foul.,2025-02-22 05:52:36
13110,726768,65,44730930,78',"Substitution, El Nacional. Charles Vélez replaces Ángel Ledesma.",2025-02-22 05:52:36
13110,726768,66,44730929,78',"Substitution, El Nacional. Darío Pazmiño replaces Marcos Olmedo.",2025-02-22 05:52:36
13110,726768,67,44730940,78',"Own Goal by Charles Vélez, El Nacional. El Nacional 0, Barcelona de Guayaquil 1.",2025-02-22 05:52:36
13110,726768,68,44730950,82',Attempt blocked. Jhon Cifuente (El Nacional) right footed shot from a difficult angle on the right is blocked. Assisted by Jawer Guisamano.,2025-02-22 05:52:36
13110,726768,69,44730961,82',"Corner, El Nacional. Conceded by Gustavo Vallecilla.",2025-02-22 05:52:36
13110,726768,70,44730963,82',Attempt blocked. Jhonny Quiñónez (Barcelona de Guayaquil) left footed shot from the centre of the box is blocked. Assisted by Octavio Rivero with a headed pass.,2025-02-22 05:52:36
13110,726768,71,44730965,83',Attempt blocked. Joaquín Valiente (Barcelona de Guayaquil) right footed shot from the centre of the box is blocked.,2025-02-22 05:52:36
13110,726768,72,44730967,84',Attempt blocked. Darío Pazmiño (El Nacional) right footed shot from outside the box is blocked. Assisted by Jhon Cifuente.,2025-02-22 05:52:36
13110,726768,73,44730969,84',Foul by Mario Pineida (Barcelona de Guayaquil).,2025-02-22 05:52:36
