seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13117,734673,0,-1,,Lineups are announced and players are warming up.,2025-04-05 08:47:55
13117,734673,1,44985696,,First Half begins.,2025-04-05 08:47:55
13117,734673,2,44985700,1',"Corner, Palestino. Conceded by Bryan Bentaberry.",2025-04-05 08:47:55
13117,734673,3,44985708,2',Attempt missed. Bryan Carrasco (Palestino) right footed shot from outside the box is high and wide to the right. Assisted by Jonathan Benítez following a fast break.,2025-04-05 08:47:55
13117,734673,4,44985746,10',"Attempt missed. Cristian Penilla (Mushuc Runa) left footed shot from the centre of the box is close, but misses to the right. Assisted by Ángel Gracia.",2025-04-05 08:47:55
13117,734673,5,44985757,11',Ariel Martínez (Palestino) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,6,44985757,11',Foul by Nicolás Dávila (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,7,44985759,12',Attempt blocked. Ariel Martínez (Palestino) left footed shot from outside the box is blocked. Assisted by Junior Marabel.,2025-04-05 08:47:55
13117,734673,8,44985771,12',"Attempt missed. Cristian Penilla (Mushuc Runa) right footed shot from outside the box is close, but misses to the left. Assisted by Renny Simisterra.",2025-04-05 08:47:55
13117,734673,9,44985785,15',Foul by Joe Abrigo (Palestino).,2025-04-05 08:47:55
13117,734673,10,44985785,15',Ángel Gracia (Mushuc Runa) wins a free kick on the right wing.,2025-04-05 08:47:55
13117,734673,11,44985788,16',"Attempt missed. Bryan Bentaberry (Mushuc Runa) header from the left side of the box is close, but misses to the left. Assisted by Ángel Gracia with a cross following a set piece situation.",2025-04-05 08:47:55
13117,734673,12,44985794,17',Foul by Nicolás Dávila (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,13,44985794,17',Joe Abrigo (Palestino) wins a free kick in the attacking half.,2025-04-05 08:47:55
13117,734673,14,44985805,18',"Corner, Palestino. Conceded by Renny Simisterra.",2025-04-05 08:47:55
13117,734673,15,44985891,20',Bryan Bentaberry (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,16,44985891,20',Foul by Junior Marabel (Palestino).,2025-04-05 08:47:55
13117,734673,17,44985831,21',Attempt missed. Steven Tapiero (Mushuc Runa) left footed shot from the left side of the box is high and wide to the left.,2025-04-05 08:47:55
13117,734673,18,44985842,23',Foul by Luis Haquín (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,19,44985842,23',Jonathan Benítez (Palestino) wins a free kick in the attacking half.,2025-04-05 08:47:55
13117,734673,20,44985854,26',Antonio Ceza (Palestino) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,21,44985854,26',Foul by Carlos Orejuela (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,22,44985855,26',Carlos Orejuela (Mushuc Runa) is shown the yellow card for a bad foul.,2025-04-05 08:47:55
13117,734673,23,44985858,27',"Corner, Palestino. Conceded by Luis Haquín.",2025-04-05 08:47:55
13117,734673,24,44985863,30',Foul by Ariel Martínez (Palestino).,2025-04-05 08:47:55
13117,734673,25,44985863,30',Nicolás Dávila (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,26,44985865,30',"Attempt missed. Cristian Penilla (Mushuc Runa) right footed shot from the left side of the box is close, but misses to the right.",2025-04-05 08:47:55
13117,734673,27,44985867,31',"Corner, Palestino. Conceded by Luis Haquín.",2025-04-05 08:47:55
13117,734673,28,44985868,32',"Corner, Palestino. Conceded by Rodrigo Formento.",2025-04-05 08:47:55
13117,734673,29,44985871,32',Attempt missed. Steven Tapiero (Mushuc Runa) header from the centre of the box is too high. Assisted by Carlos Orejuela with a cross.,2025-04-05 08:47:55
13117,734673,30,44985872,33',Attempt missed. Jason León (Palestino) left footed shot from outside the box is high and wide to the right. Assisted by Junior Marabel.,2025-04-05 08:47:55
13117,734673,31,44985876,34',Bryan Carrasco (Palestino) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,32,44985876,34',Foul by Steven Tapiero (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,33,44985879,36',Attempt blocked. Carlos Orejuela (Mushuc Runa) left footed shot from outside the box is blocked. Assisted by Steven Tapiero with a headed pass.,2025-04-05 08:47:55
13117,734673,34,44985882,36',"Attempt missed. Ángel Gracia (Mushuc Runa) left footed shot from outside the box is close, but misses to the right. Assisted by Steven Tapiero.",2025-04-05 08:47:55
13117,734673,35,-1,38',Delay in match because of an injury Fernando Meza (Palestino).,2025-04-05 08:47:55
13117,734673,36,44985885,38',Fernando Meza (Palestino) is shown the yellow card for a bad foul.,2025-04-05 08:47:55
13117,734673,37,-1,39',Delay over. They are ready to continue.,2025-04-05 08:47:55
13117,734673,38,44985886,39',Bryan Bentaberry (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,39,44985886,39',Foul by Junior Marabel (Palestino).,2025-04-05 08:47:55
13117,734673,40,44985889,41',"Goal! Mushuc Runa 1, Palestino 0. Luis Haquín (Mushuc Runa) right footed shot from a difficult angle and long range on the right to the top left corner. Assisted by Renny Simisterra.",2025-04-05 08:47:55
13117,734673,41,44985893,42',"Corner, Palestino. Conceded by Nicolás Dávila.",2025-04-05 08:47:55
13117,734673,42,-1,43',"Corner, Palestino. Conceded by Ángel Gracia.",2025-04-05 08:47:55
13117,734673,43,44985896,45',Attempt missed. Carlos Orejuela (Mushuc Runa) right footed shot from the right side of the box misses to the left. Assisted by Nicolás Dávila.,2025-04-05 08:47:55
13117,734673,44,-1,45',Fourth official has announced 2 minutes of added time.,2025-04-05 08:47:55
13117,734673,45,44985899,45'+1',"Corner, Palestino. Conceded by Dennys Quintero.",2025-04-05 08:47:55
13117,734673,46,-1,45'+2',"First Half ends, Mushuc Runa 1, Palestino 0.",2025-04-05 08:47:55
13117,734673,47,-1,45',"Second Half begins Mushuc Runa 1, Palestino 0.",2025-04-05 08:47:55
13117,734673,48,44985905,45',"Substitution, Mushuc Runa. Bryan Angulo replaces Elián Caicedo.",2025-04-05 08:47:55
13117,734673,49,44985911,48',Foul by Dennys Quintero (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,50,44985911,48',Junior Marabel (Palestino) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,51,44985915,50',Dennys Quintero (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,52,44985915,50',Foul by Junior Marabel (Palestino).,2025-04-05 08:47:55
13117,734673,53,44985918,52',Bryan Bentaberry (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,54,44985918,52',Foul by Ariel Martínez (Palestino).,2025-04-05 08:47:55
13117,734673,55,44985921,53',Foul by Jonathan Benítez (Palestino).,2025-04-05 08:47:55
13117,734673,56,44985921,53',Nicolás Dávila (Mushuc Runa) wins a free kick on the right wing.,2025-04-05 08:47:55
13117,734673,57,44985922,54',Attempt saved. Ángel Gracia (Mushuc Runa) left footed shot from long range on the right is saved in the bottom right corner.,2025-04-05 08:47:55
13117,734673,58,44985923,54',"Corner, Mushuc Runa. Conceded by Sebastián Pérez.",2025-04-05 08:47:55
13117,734673,59,44985925,55',Attempt missed. Cristian Penilla (Mushuc Runa) right footed shot from outside the box misses to the left following a corner.,2025-04-05 08:47:55
13117,734673,60,44985929,55',Attempt blocked. Renny Simisterra (Mushuc Runa) left footed shot from outside the box is blocked. Assisted by Carlos Orejuela.,2025-04-05 08:47:55
13117,734673,61,44985931,56',Foul by Jonathan Benítez (Palestino).,2025-04-05 08:47:55
13117,734673,62,44985931,56',Nicolás Dávila (Mushuc Runa) wins a free kick in the attacking half.,2025-04-05 08:47:55
13117,734673,63,44985933,58',"Attempt missed. Ángel Gracia (Mushuc Runa) left footed shot from outside the box is close, but misses to the right from a direct free kick.",2025-04-05 08:47:55
13117,734673,64,44985934,58',"Offside, Mushuc Runa. Bryan Angulo is caught offside.",2025-04-05 08:47:55
13117,734673,65,-1,59',Delay in match (Palestino).,2025-04-05 08:47:55
13117,734673,66,-1,59',Delay over. They are ready to continue.,2025-04-05 08:47:55
13117,734673,67,44985936,59',Foul by Bryan Carrasco (Palestino).,2025-04-05 08:47:55
13117,734673,68,44985936,59',Ángel Gracia (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,69,44985938,60',Ariel Martínez (Palestino) wins a free kick in the defensive half.,2025-04-05 08:47:55
13117,734673,70,44985938,60',Foul by Nicolás Dávila (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,71,44985939,60',Nicolás Dávila (Mushuc Runa) is shown the yellow card for a bad foul.,2025-04-06 04:57:44
13117,734673,72,44985941,61',Foul by Steven Tapiero (Mushuc Runa).,2025-04-05 08:47:55
13117,734673,73,44985941,61',Joe Abrigo (Palestino) wins a free kick in the attacking half.,2025-04-05 08:47:55
13117,734673,74,44985943,62',Cristian Penilla (Mushuc Runa) wins a free kick on the left wing.,2025-04-05 08:47:55
13117,734673,75,44985943,62',Foul by Ariel Martínez (Palestino).,2025-04-05 08:47:55
13117,734673,76,44985944,63',"Substitution, Palestino. Gonzalo Tapia replaces Jonathan Benítez.",2025-04-05 08:47:55
13117,734673,77,44985945,63',"Substitution, Palestino. Pablo Parra replaces Ariel Martínez.",2025-04-06 04:57:44
13117,734673,78,44985951,65',"Corner, Palestino. Conceded by Ángel Gracia.",2025-04-05 08:47:55
13117,734673,79,44985952,66',"Corner, Mushuc Runa. Conceded by Joe Abrigo.",2025-04-05 08:47:55
13117,734673,80,44985954,67',"Substitution, Mushuc Runa. Kevin Peralta replaces Carlos Orejuela.",2025-04-06 04:57:44
13117,734673,81,44985956,69',Bryan Bentaberry (Mushuc Runa) wins a free kick in the defensive half.,2025-04-05 08:47:55
