seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13148,735658,1,45230176,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-05-12 04:51:47
13148,735658,2,45230266,70,1,187,4',1,0,"Goal! San Lorenzo 1, Tigre 0. Andrés Vombergar (San Lorenzo) left footed shot from very close range to the bottom left corner. Assisted by Ezequiel Cerutti following a fast break.",Andrés Vombergar Goal,18,0.0,0.0,0.024,0.458,0.0,0.461,1.0,212843.0,2025-05-12 04:51:47
13148,735658,2,45230266,70,1,187,4',1,0,"Goal! San Lorenzo 1, Tigre 0. Andrés Vombergar (San Lorenzo) left footed shot from very close range to the bottom left corner. Assisted by Ezequiel Cerutti following a fast break.",Andrés Vombergar Goal,18,0.0,0.0,0.024,0.458,0.0,0.461,2.0,147573.0,2025-05-12 04:51:47
13148,735658,3,45231428,94,1,300,5',0,0,Lorenzo Scipioni (Tigre) is shown the yellow card for a bad foul.,Lorenzo Scipioni Yellow Card,7767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,340198.0,2025-05-12 04:51:47
13148,735658,4,45230367,93,1,703,12',0,0,Elián Irala (San Lorenzo) is shown the red card.,Elian Mateo Irala Red Card,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,343803.0,2025-05-12 04:51:47
13148,735658,5,45230908,81,1,2700,45'+4',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-05-12 04:51:47
13148,735658,6,45231173,82,2,2700,45',0,0,"Second Half begins San Lorenzo 1, Tigre 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-05-12 04:51:47
13148,735658,7,45231246,70,2,2929,49',1,0,"Goal! San Lorenzo 1, Tigre 1. Héctor Fértoli (Tigre) left footed shot from very close range to the bottom left corner. Assisted by Ignacio Russo.",Héctor Fertoli Goal,7767,0.0,0.0,0.056,0.479,0.0,0.47,1.0,203877.0,2025-05-12 04:51:47
13148,735658,7,45231246,70,2,2929,49',1,0,"Goal! San Lorenzo 1, Tigre 1. Héctor Fértoli (Tigre) left footed shot from very close range to the bottom left corner. Assisted by Ignacio Russo.",Héctor Fertoli Goal,7767,0.0,0.0,0.056,0.479,0.0,0.47,2.0,309475.0,2025-05-12 04:51:47
13148,735658,8,45231330,94,2,3122,53',0,0,Andrés Vombergar (San Lorenzo) is shown the yellow card for a bad foul.,Andrés Vombergar Yellow Card,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212843.0,2025-05-12 04:51:47
13148,735658,9,45231399,94,2,3394,57',0,0,Ezequiel Cerutti (San Lorenzo) is shown the yellow card for a bad foul.,Ezequiel Cerutti Yellow Card,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147573.0,2025-05-12 04:51:47
13148,735658,10,45231466,76,2,3656,61',0,0,"Substitution, Tigre. Elías Cabrera replaces Jabes Saralegui.",Elías Cabrera Substitution,7767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,339197.0,2025-05-12 04:51:47
