seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13231,731064,1,44696016,70,1,180,3',1,0,Nicolas Johansen (Coquimbo Unido) Goal at 3',Nicolas Johansen Goal,8186,0.0,0.0,0.0,0.0,0.0,0.0,1,379438.0,2025-02-15 05:51:54
13231,731064,2,44696034,94,1,720,12',0,0,Nicolas Johansen (Coquimbo Unido) Yellow Card at 12',Nicolas Johansen Yellow Card,8186,0.0,0.0,0.0,0.0,0.0,0.0,1,379438.0,2025-02-15 05:51:54
13231,731064,3,44696062,94,1,960,16',0,0,Diego Orellana (Deportes Iquique) Yellow Card at 16',Diego Orellana Yellow Card,10142,0.0,0.0,0.0,0.0,0.0,0.0,1,149465.0,2025-02-15 05:51:54
13231,731064,4,44696112,174,1,2280,38',0,0,Álvaro Ramos (Deportes Iquique) Penalty - Saved at 38',Álvaro Ramos Penalty - Saved,10142,0.0,0.0,0.0,0.0,0.0,0.0,1,135162.0,2025-02-15 05:51:54
13231,731064,5,44696444,76,2,2700,45',0,0,Misael Dávila (Deportes Iquique) Substitution at 45',Misael Dávila Substitution,10142,0.0,0.0,0.0,0.0,0.0,0.0,1,131385.0,2025-02-15 05:51:54
13231,731064,5,44696444,76,2,2700,45',0,0,Misael Dávila (Deportes Iquique) Substitution at 45',Misael Dávila Substitution,10142,0.0,0.0,0.0,0.0,0.0,0.0,2,149465.0,2025-02-15 05:51:54
13231,731064,6,44696481,76,2,3360,56',0,0,Sebastián Cabrera (Coquimbo Unido) Substitution at 56',Sebastián Cabrera Substitution,8186,0.0,0.0,0.0,0.0,0.0,0.0,1,205395.0,2025-02-15 05:51:54
13231,731064,6,44696481,76,2,3360,56',0,0,Sebastián Cabrera (Coquimbo Unido) Substitution at 56',Sebastián Cabrera Substitution,8186,0.0,0.0,0.0,0.0,0.0,0.0,2,181860.0,2025-02-15 05:51:54
13231,731064,8,44696521,76,2,3600,60',0,0,Salvador Cordero (Coquimbo Unido) Substitution at 60',Salvador Cordero Substitution,8186,0.0,0.0,0.0,0.0,0.0,0.0,1,233029.0,2025-02-15 05:51:54
13231,731064,7,44696520,76,2,3600,60',0,0,Marcelo Jorquera (Deportes Iquique) Substitution at 60',Marcelo Jorquera Substitution,10142,0.0,0.0,0.0,0.0,0.0,0.0,1,168414.0,2025-02-15 05:51:54
13231,731064,9,44696522,76,2,3600,60',0,0,Cecilio Waterman (Coquimbo Unido) Substitution at 60',Cecilio Waterman Substitution,8186,0.0,0.0,0.0,0.0,0.0,0.0,1,155913.0,2025-02-15 05:51:54
