seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13190,730086,1,44662136,70,1,540,9',1,0,Erick Noriega (Alianza Lima) Goal at 9',Erick Noriega Goal,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,303030.0,2025-02-09 05:52:49
13190,730086,2,44662188,70,1,1080,18',1,0,Pablo Lavandeira (Alianza Lima) Goal at 18',Pablo Lavandeira Goal,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,116144.0,2025-02-09 05:52:49
13190,730086,3,44662572,98,2,3300,55',1,0,Erick Castillo (Alianza Lima) Penalty - Scored at 55',Erick Castillo Penalty - Scored,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,181208.0,2025-02-09 05:52:49
13190,730086,4,44662616,94,2,3480,58',0,0,Aldair Fuentes (Cusco FC) Yellow Card at 58',Aldair Fuentes Yellow Card,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,252644.0,2025-02-09 05:52:49
13190,730086,8,44662747,76,2,4080,68',0,0,Miguel Aucca (Cusco FC) Substitution at 68',Miguel Aucca Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,241236.0,2025-02-09 05:52:49
13190,730086,6,44662730,76,2,4080,68',0,0,Julián Aquino (Cusco FC) Substitution at 68',Julián Aquino Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,398336.0,2025-02-09 05:52:49
13190,730086,7,44662731,76,2,4080,68',0,0,Matías Succar (Alianza Lima) Substitution at 68',Matías Succar Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,267501.0,2025-02-09 05:52:49
13190,730086,5,44662729,76,2,4080,68',0,0,Marlon Ruidías (Cusco FC) Substitution at 68',Marlon Ruidías Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,301928.0,2025-02-09 05:52:49
13190,730086,6,44662730,76,2,4080,68',0,0,Julián Aquino (Cusco FC) Substitution at 68',Julián Aquino Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,2,225603.0,2025-02-09 05:52:49
13190,730086,7,44662731,76,2,4080,68',0,0,Matías Succar (Alianza Lima) Substitution at 68',Matías Succar Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,2,72655.0,2025-02-09 05:52:49
13190,730086,8,44662747,76,2,4080,68',0,0,Miguel Aucca (Cusco FC) Substitution at 68',Miguel Aucca Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,2,235839.0,2025-02-09 05:52:49
13190,730086,5,44662729,76,2,4080,68',0,0,Marlon Ruidías (Cusco FC) Substitution at 68',Marlon Ruidías Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,2,277356.0,2025-02-09 05:52:49
13190,730086,9,44662732,76,2,4140,69',0,0,Fernando Gaibor (Alianza Lima) Substitution at 69',Fernando Gaibor Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,144576.0,2025-02-09 05:52:49
13190,730086,9,44662732,76,2,4140,69',0,0,Fernando Gaibor (Alianza Lima) Substitution at 69',Fernando Gaibor Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,2,132344.0,2025-02-09 05:52:49
13190,730086,10,44662782,76,2,4380,73',0,0,Alan Cantero (Alianza Lima) Substitution at 73',Alan Cantero Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,309130.0,2025-02-09 05:52:49
13190,730086,10,44662782,76,2,4380,73',0,0,Alan Cantero (Alianza Lima) Substitution at 73',Alan Cantero Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,2,181208.0,2025-02-09 05:52:49
13190,730086,11,44662783,76,2,4440,74',0,0,Jhamir D´Arrigo (Alianza Lima) Substitution at 74',Jhamir D´Arrigo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,302295.0,2025-02-09 05:52:49
13190,730086,11,44662783,76,2,4440,74',0,0,Jhamir D´Arrigo (Alianza Lima) Substitution at 74',Jhamir D´Arrigo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,2,240043.0,2025-02-09 05:52:49
13190,730086,12,44662841,76,2,4800,80',0,0,Jesús Castillo (Alianza Lima) Substitution at 80',Jesús Castillo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,288619.0,2025-02-09 05:52:49
13190,730086,12,44662841,76,2,4800,80',0,0,Jesús Castillo (Alianza Lima) Substitution at 80',Jesús Castillo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,288463.0,2025-02-09 05:52:49
13190,730086,12,44662841,76,2,4800,80',0,0,Jesús Castillo (Alianza Lima) Substitution at 80',Jesús Castillo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,1,286654.0,2025-02-09 05:52:49
13190,730086,12,44662841,76,2,4800,80',0,0,Jesús Castillo (Alianza Lima) Substitution at 80',Jesús Castillo Substitution,2680,0.0,0.0,0.0,0.0,0.0,0.0,2,251993.0,2025-02-09 05:52:49
13190,730086,13,44681611,94,2,4860,81',0,0,Oswaldo Valenzuela (Cusco FC) Yellow Card at 81',Oswaldo Valenzuela Yellow Card,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,284831.0,2025-02-13 05:52:56
13190,730086,14,44662867,93,2,4980,83',0,0,Aldair Fuentes (Cusco FC) Red Card at 83',Aldair Fuentes Red Card,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,252644.0,2025-02-13 05:52:56
13190,730086,15,44662902,76,2,5100,85',0,0,Carlos Gamarra (Cusco FC) Substitution at 85',Carlos Gamarra Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,1,19469.0,2025-02-13 05:52:56
13190,730086,15,44662902,76,2,5100,85',0,0,Carlos Gamarra (Cusco FC) Substitution at 85',Carlos Gamarra Substitution,11995,0.0,0.0,0.0,0.0,0.0,0.0,2,400930.0,2025-02-13 05:52:56
