seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13354,735715,271,home,1,4-2-3-1,1,1,36,310130,Pepijn Van De Merbel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,18,292770,Rik Mulders,Right Back,2,0,0,-1,,,,1,305460,6,305460.0,5340.0,89',2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,14,195965,Nick De Groot,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,33,365029,Mees Laros,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,15,297940,Teun van Grunsven,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,5,324740,Stan Hendrikx,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,17,291732,Byron Burgering,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,23,338305,Mikulás Bakala,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,7,243173,Konstantinos Doumtsios,Forward,9,0,0,-1,,,,1,355504,47,355504.0,4200.0,70',2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,11,130516,Danny Verbeek,Attacking Midfielder,10,0,0,-1,,,,1,365025,21,365025.0,4260.0,71',2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,1,22,159256,Danzell Gravenberch,Attacking Midfielder Left,11,0,0,-1,,,,1,281179,20,281179.0,1800.0,30',2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,24,308027,Stan Maas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,6,305460,Markus Soomets,Substitute,0,1,292770,18,292770.0,5340.0,89',0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,29,388507,Zaid El Bakkali,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,31,374525,Tjemme Bijlsma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,34,365031,Yannick Keijser,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
13354,735715,271,home,1,4-2-3-1,1,0,3,251734,Victor van den Bogert,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-13 04:52:45
