seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13086,725802,2339,home,0,4-2-3-1,1,1,35,203266,Jacob Rinne,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,18,269457,Adam Stahl,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,27,371596,Keita Kosugi,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,13,334021,Daniel Stensson,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,4,237053,Jacob Larsson,Center Right Defender,5,0,0,-1,,,,1,289721,5,289721.0,4620.0,77',2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,3,172855,Marcus Danielsson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,22,378837,Patric Åslund,Attacking Midfielder Right,7,0,0,-1,,,,1,289519,23,289519.0,3780.0,63',2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,6,136911,Rasmus Schüller,Right Midfielder,8,0,0,-1,,,,1,364226,20,364226.0,3780.0,63',2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,10,164556,Tokmac Nguen,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,7,295863,Tobias Fjeld Gulliksen,Attacking Midfielder,10,0,0,-1,,,,1,275575,29,275575.0,5280.0,88',2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,1,15,312383,Oskar Fallenius,Attacking Midfielder Left,11,0,0,-1,,,,1,372767,11,372767.0,4620.0,77',2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,9,330460,August Priske,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,5,289721,Miro Tenho,Substitute,0,1,237053,4,237053.0,4620.0,77',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,12,357136,Theo Bergvall,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,40,360151,Max Croon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,20,364226,Matias Siltanen,Substitute,0,1,136911,6,136911.0,3780.0,63',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,23,289519,Nino Zugelj,Substitute,0,1,378837,22,378837.0,3780.0,63',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,11,372767,Zakaria Sawo,Substitute,0,1,312383,15,312383.0,4620.0,77',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,29,275575,Santeri Haarala,Substitute,0,1,295863,7,295863.0,5280.0,88',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2339,home,0,4-2-3-1,1,0,8,120652,Albin Ekdal,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,1,198227,Ricardo Henrique Schuck Friedrich,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,17,193186,Jens Stryger Larsen,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,25,301219,Busanello,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725802,2720,away,1,4-2-3-1,1,1,7,315679,Otto Rosengren,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,18,135579,Pontus Jansson,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,19,279135,Colin Rösler,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,8,255228,Arnór Sigurdsson,Attacking Midfielder Right,7,0,0,-1,,,,1,330239,38,330239.0,3660.0,61',2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,23,286434,Lasser Berg Johnsen,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,9,166657,Isaac Kiese Thelin,Forward,9,0,0,-1,,,,1,239925,20,239925.0,3660.0,61',2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,10,149538,Anders Christiansen,Attacking Midfielder,10,0,0,-1,,,,1,218450,29,218450.0,2700.0,45'+11',2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,1,22,314164,Taha Abdi Ali,Attacking Midfielder Left,11,0,0,-1,,,,1,138055,16,138055.0,4920.0,82',2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,38,330239,Hugo Bolin,Substitute,0,1,255228,8,255228.0,3660.0,61',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,2,9101,Johan Karlsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,35,380679,Nils Zätterström,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,13,75987,Martin Olsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,33,307800,Melker Ellborg,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,20,239925,Erik Botheim,Substitute,0,1,166657,9,166657.0,3660.0,61',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,29,218450,Sead Haksabanovic,Substitute,0,1,149538,10,149538.0,2700.0,45'+11',0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,11,308880,Emmanuel Ekong,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-30 04:53:40
13086,725802,2720,away,1,4-2-3-1,1,0,16,138055,Oliver Berg,Substitute,0,1,314164,22,314164.0,4920.0,82',0,0,-1,,,,2025-03-30 04:53:40
13086,725803,529,home,0,4-2-3-1,1,1,31,250169,Isak Pettersson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,6,286729,Rasmus Wikstrom,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,23,134644,Niklas Hult,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,10,245883,Simon Olsson,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,8,194092,Sebastian Holmén,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,2,380023,Terry Yegbe,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,15,173040,Simon Hedlund,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,18,305401,Júlíus Magnússon,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,11,303614,Taylor Silverholt,Forward,9,0,0,-1,,,,1,304180,24,304180.0,4440.0,74',2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,27,334024,Besfort Zeneli,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,1,20,362584,Gottfrid Rapp,Attacking Midfielder Left,11,0,0,-1,,,,1,342093,25,342093.0,4440.0,74',2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,26,380321,Ludvig Richtnér,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,28,389426,Frode Aronsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,16,402326,Altti Hellemaa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,30,176191,Lucas Hagg Johansson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,24,304180,Frederik Ihler,Substitute,0,1,303614,11,303614.0,4440.0,74',0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,19,240486,Rami Kaib,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,4,202682,Daniel Granli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,13,146012,Johan Larsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-31 04:50:43
13086,725803,529,home,0,4-2-3-1,1,0,25,342093,Ari Sigurpálsson,Substitute,0,1,362584,20,362584.0,4440.0,74',0,0,-1,,,,2025-03-31 04:50:43
13086,725803,20301,away,0,3-4-2-1,1,1,1,301377,Noel Tornqvist,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,14,312876,Herman Johansson,Right Midfielder,2,0,0,-1,,,,1,357118,26,357118.0,3960.0,66',2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,17,357145,Elliot Stroud,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,5,356281,Abdullah Iqbal,Center Left Defender,4,0,0,-1,,,,1,342493,33,342493.0,5160.0,86',2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,13,259548,Jakob Kiilerich,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,4,306289,Axel Norén,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,22,192793,Jesper Gustavsson,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,10,249171,Nicklas Rojkjaer,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,18,293925,Jacob Bergstrom,Forward,9,0,0,-1,,,,1,301382,16,301382.0,3960.0,66',2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,7,303651,Viktor Gustafson,Center Right Forward,10,0,0,-1,,,,1,356408,6,356408.0,5160.0,86',2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,1,19,380320,Abdoulie Manneh,Center Left Forward,11,0,0,-1,,,,1,361860,15,361860.0,4500.0,75',2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,9,330245,Calvin Kabuye,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,39,389637,Romeo Leandersson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,15,361860,Bork Bang-Kittilsen,Substitute,0,1,380320,19,380320.0,4500.0,75',0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,26,357118,Uba Charles,Substitute,0,1,312876,14,312876.0,3960.0,66',0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,6,356408,Ludwig Thorell,Substitute,0,1,303651,7,303651.0,5160.0,86',0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,27,346501,Ludvig Tidstrand,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,33,342493,Tony Miettinen,Substitute,0,1,356281,5,356281.0,5160.0,86',0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,16,301382,Alexander Johansson,Substitute,0,1,293925,18,293925.0,3960.0,66',0,0,-1,,,,2025-04-17 04:53:19
13086,725803,20301,away,0,3-4-2-1,1,0,35,151931,Alexander Lundin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-17 04:53:19
13086,725804,8222,home,0,4-3-3,1,1,1,312877,Mergim Krasniqi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,6,378806,August Wängberg,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,12,356377,Robin Frej,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,18,313931,Kevin Holmen,Center Midfielder,4,0,0,-1,,,,1,359795,32,359795.0,4440.0,74',2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,4,333728,Oskar Agren,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,24,378826,Filip Beckman,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,21,315674,Axel Henriksson,Right Midfielder,7,0,0,-1,,,,1,241105,26,241105.0,4440.0,74',2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,8,312852,William Milovanovic,Left Midfielder,8,0,0,-1,,,,1,149765,25,149765.0,5100.0,85',2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,28,235766,Lucas Hedlund,Forward,9,0,0,-1,,,,1,308726,19,308726.0,5100.0,85',2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,9,378816,Gustav Lundgren,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,1,11,334033,Edvin Becirovic,Left Forward,11,0,0,-1,,,,1,347031,10,347031.0,3600.0,60',2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,0,32,359795,Harun Ibrahim,Substitute,0,1,313931,18,313931.0,4440.0,74',0,0,-1,,,,2025-04-01 04:55:30
13086,725804,8222,home,0,4-3-3,1,0,19,308726,Ibrahim Diabate,Substitute,0,1,235766,28,235766.0,5100.0,85',0,0,-1,,,,2025-04-01 04:55:30
